Name;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
38;;;;;71.58263215;39.64843296;3892.849;0.013;0.013;0.011;0.018;2.134;m;FIX;2022-07-24 14:56:13.0 UTC+06:00;2022-07-24 14:56:19.0 UTC+06:00;7;1.2;;;;71.58104311;39.64925064;3854.582;168.828;Global CS
39;;;;;71.58267296;39.64840369;3894.936;0.015;0.013;0.011;0.02;2.134;m;FIX;2022-07-24 14:56:36.0 UTC+06:00;2022-07-24 14:56:41.0 UTC+06:00;6;1.2;;;;71.58104311;39.64925064;3854.582;173.946;Global CS
40;;;;;71.58271189;39.64837748;3896.795;0.012;0.022;0.011;0.025;2.134;m;FIX;2022-07-24 14:56:56.0 UTC+06:00;2022-07-24 14:57:01.0 UTC+06:00;6;1.2;;;;71.58104311;39.64925064;3854.582;178.663;Global CS
41;;;;;71.58275099;39.64834663;3898.398;0.019;0.011;0.011;0.022;2.134;m;FIX;2022-07-24 14:57:15.0 UTC+06:00;2022-07-24 14:57:20.0 UTC+06:00;6;1.1;;;;71.58104311;39.64925064;3854.582;183.595;Global CS
42;;;;;71.58279122;39.64831685;3899.577;0.013;0.02;0.011;0.024;2.134;m;FIX;2022-07-24 14:57:41.0 UTC+06:00;2022-07-24 14:57:47.0 UTC+06:00;7;1.1;;;;71.58104311;39.64925064;3854.582;188.48;Global CS
43;;;;;71.5828304;39.64828711;3901.237;0.026;0.012;0.01;0.029;2.134;m;FIX;2022-07-24 14:58:02.0 UTC+06:00;2022-07-24 14:58:08.0 UTC+06:00;7;1.1;;;;71.58104311;39.64925064;3854.582;193.401;Global CS
44;;;;;71.58286321;39.64825735;3903.722;0.011;0.015;0.011;0.018;2.134;m;FIX;2022-07-24 14:58:31.0 UTC+06:00;2022-07-24 14:58:36.0 UTC+06:00;6;1.1;;;;71.58104311;39.64925064;3854.582;198.092;Global CS
45;;;;;71.58289817;39.64822656;3905.909;0.015;0.015;0.011;0.021;2.134;m;FIX;2022-07-24 14:58:55.0 UTC+06:00;2022-07-24 14:59:00.0 UTC+06:00;6;1.1;;;;71.58104311;39.64925064;3854.582;202.932;Global CS
46;;;;;71.58293349;39.64819851;3908.122;0.017;0.014;0.011;0.022;2.134;m;FIX;2022-07-24 14:59:42.0 UTC+06:00;2022-07-24 14:59:48.0 UTC+06:00;7;1.1;;;;71.58104311;39.64925064;3854.582;207.655;Global CS
47;;;;;71.58296959;39.64816894;3910.403;0.03;0.013;0.011;0.033;2.134;m;FIX;2022-07-24 15:00:09.0 UTC+06:00;2022-07-24 15:00:15.0 UTC+06:00;7;1.3;;;;71.58104311;39.64925064;3854.582;212.564;Global CS
48;;;;;71.58300746;39.64814461;3912.692;0.015;0.014;0.01;0.02;2.134;m;FIX;2022-07-24 15:00:45.0 UTC+06:00;2022-07-24 15:00:51.0 UTC+06:00;7;1.1;;;;71.58104311;39.64925064;3854.582;217.23;Global CS
