Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
24,,,,,71.58362798,39.65186587,3866.016,0.011,0.011,0.011,0.016,2.134,m,FIX,2022-07-26 11:44:20.1 UTC+06:00,2022-07-26 11:44:25.2 UTC+06:00,6,1.4,,,,71.58390014,39.65183881,3870.069,23.65,Global CS
25,,,,,71.58369802,39.65187317,3867.014,0.011,0.012,0.01,0.017,2.134,m,FIX,2022-07-26 11:44:43.2 UTC+06:00,2022-07-26 11:44:49.2 UTC+06:00,7,1.4,,,,71.58390014,39.65183881,3870.069,17.804,Global CS
26,,,,,71.58375372,39.65188503,3867.802,0.011,0.012,0.01,0.016,2.134,m,FIX,2022-07-26 11:45:05.2 UTC+06:00,2022-07-26 11:45:11.2 UTC+06:00,7,1.4,,,,71.58390014,39.65183881,3870.069,13.586,Global CS
27,,,,,71.58380796,39.65189713,3868.51,0.013,0.012,0.013,0.017,2.134,m,FIX,2022-07-26 11:45:26.2 UTC+06:00,2022-07-26 11:45:31.2 UTC+06:00,6,1.4,,,,71.58390014,39.65183881,3870.069,10.24,Global CS
28,,,,,71.5838627,39.65191427,3869.013,0.011,0.013,0.01,0.017,2.134,m,FIX,2022-07-26 11:45:52.2 UTC+06:00,2022-07-26 11:45:57.2 UTC+06:00,6,1.4,,,,71.58390014,39.65183881,3870.069,9.046,Global CS
29,,,,,71.58391582,39.65193067,3869.134,0.011,0.01,0.01,0.015,2.134,m,FIX,2022-07-26 11:46:18.2 UTC+06:00,2022-07-26 11:46:23.2 UTC+06:00,6,1.4,,,,71.58390014,39.65183881,3870.069,10.362,Global CS
30,,,,,71.58397092,39.65194548,3868.957,0.012,0.014,0.011,0.018,2.134,m,FIX,2022-07-26 11:46:42.2 UTC+06:00,2022-07-26 11:46:47.2 UTC+06:00,6,1.4,,,,71.58390014,39.65183881,3870.069,13.348,Global CS
31,,,,,71.58402627,39.65195878,3868.692,0.01,0.011,0.01,0.015,2.134,m,FIX,2022-07-26 11:47:03.2 UTC+06:00,2022-07-26 11:47:09.2 UTC+06:00,7,1.4,,,,71.58390014,39.65183881,3870.069,17.186,Global CS
32,,,,,71.58408068,39.65197605,3868.571,0.01,0.011,0.01,0.015,2.134,m,FIX,2022-07-26 11:47:25.2 UTC+06:00,2022-07-26 11:47:31.2 UTC+06:00,7,1.4,,,,71.58390014,39.65183881,3870.069,21.755,Global CS
33,,,,,71.5841341,39.65199313,3868.205,0.01,0.012,0.01,0.016,2.134,m,FIX,2022-07-26 11:47:53.2 UTC+06:00,2022-07-26 11:47:59.2 UTC+06:00,7,1.4,,,,71.58390014,39.65183881,3870.069,26.416,Global CS
