ORIG_FID,Shape_Length,Longitude,Latitude
25,0.002602412180145,74.495139641000037,42.484664738000049
25,0.002602412180145,74.495087988000080,42.484694553000054
25,0.002602412180145,74.495036334000076,42.484724368000059
25,0.002602412180145,74.494984681000062,42.484754183000064
25,0.002602412180145,74.494933028000048,42.484783999000058
25,0.002602412180145,74.494881375000034,42.484813814000063
25,0.002602412180145,74.494829721000031,42.484843629000068
25,0.002602412180145,74.494778068000073,42.484873444000073
25,0.002602412180145,74.494726415000059,42.484903259000077
25,0.002602412180145,74.494674761000056,42.484933074000025
25,0.002602412180145,74.494623108000042,42.484962890000077
25,0.002602412180145,74.494571455000084,42.484992705000025
25,0.002602412180145,74.494519802000070,42.485022520000030
25,0.002602412180145,74.494468148000067,42.485052335000034
25,0.002602412180145,74.494416495000053,42.485082150000039
25,0.002602412180145,74.494364842000039,42.485111965000044
25,0.002602412180145,74.494313188000035,42.485141781000038
25,0.002602412180145,74.494261535000078,42.485171596000043
25,0.002602412180145,74.494209882000064,42.485201411000048
25,0.002602412180145,74.494158228000060,42.485231226000053
25,0.002602412180145,74.494106575000046,42.485261041000058
25,0.002602412180145,74.494054922000032,42.485290856000063
25,0.002602412180145,74.494003269000075,42.485320672000057
25,0.002602412180145,74.493951615000071,42.485350487000062
25,0.002602412180145,74.493899962000057,42.485380302000067
25,0.002602412180145,74.493848309000043,42.485410117000072
25,0.002602412180145,74.493796655000040,42.485439932000077
25,0.002602412180145,74.493745002000082,42.485469747000025
25,0.002602412180145,74.493693349000068,42.485499563000076
25,0.002602412180145,74.493641696000054,42.485529378000081
25,0.002602412180145,74.493590042000051,42.485559193000029
25,0.002602412180145,74.493538389000037,42.485589008000034
25,0.002602412180145,74.493486736000079,42.485618823000038
25,0.002602412180145,74.493435082000076,42.485648638000043
25,0.002602412180145,74.493383429000062,42.485678454000038
25,0.002602412180145,74.493331776000048,42.485708269000042
25,0.002602412180145,74.493280123000034,42.485738084000047
25,0.002602412180145,74.493228469000030,42.485767899000052
25,0.002602412180145,74.493176816000073,42.485797714000057
25,0.002602412180145,74.493125163000059,42.485827529000062
25,0.002602412180145,74.493073509000055,42.485857345000056
25,0.002602412180145,74.493021856000041,42.485887160000061
25,0.002602412180145,74.492970203000084,42.485916975000066
25,0.002602412180145,74.492918550000070,42.485946790000071
25,0.002602412180145,74.492885756000078,42.485965719000035
,0.000000000000000,74.492865292000033,42.485981103000029
,0.000000000000000,74.492939381000042,42.485934582000027
,0.000000000000000,74.495168629000034,42.484647911000025
