Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,731991.162,4635794.993,3737.039,6pr._1,77.79412001,41.84007402,3737.039,Global,0.56,0.48,1.1,0.738,1.934,m,SINGLE,2024-08-19 14:46:09.0 UTC+06:00,2024-08-19 14:46:09.0 UTC+06:00,1,1.6,1.8,,,,,,,,,WGS 84 / UTM zone 43N,,,,,
2,,731986.838,4635793.139,3738.679,6pr._2,77.79406727,41.84005861,3738.679,Global,0.46,0.41,0.96,0.616,1.934,m,SINGLE,2024-08-19 14:46:35.0 UTC+06:00,2024-08-19 14:46:35.0 UTC+06:00,1,1.4,1.6,,,,,,,,,WGS 84 / UTM zone 43N,,,,,
3,,731982.166,4635790.578,3740.788,6pr._3,77.79401007,41.84003694,3740.788,Global,0.44,0.39,0.92,0.588,1.934,m,SINGLE,2024-08-19 14:46:46.0 UTC+06:00,2024-08-19 14:46:46.0 UTC+06:00,1,1.4,1.6,,,,,,,,,WGS 84 / UTM zone 43N,,,,,
4,,731978.609,4635788.548,3740.798,6pr._4,77.79396647,41.84001971,3740.798,Global,0.43,0.38,0.89,0.574,1.934,m,SINGLE,2024-08-19 14:46:56.0 UTC+06:00,2024-08-19 14:46:56.0 UTC+06:00,1,1.3,1.5,,,,,,,,,WGS 84 / UTM zone 43N,,,,,
5,,731974.254,4635785.962,3740.182,6pr._5,77.79391308,41.83999772,3740.182,Global,0.42,0.37,0.87,0.56,1.934,m,SINGLE,2024-08-19 14:47:07.0 UTC+06:00,2024-08-19 14:47:07.0 UTC+06:00,1,1.3,1.5,,,,,,,,,WGS 84 / UTM zone 43N,,,,,
6,,731970.107,4635783.54,3740.161,6pr._6,77.79386224,41.83997715,3740.161,Global,0.43,0.37,0.87,0.567,1.934,m,SINGLE,2024-08-19 14:47:16.0 UTC+06:00,2024-08-19 14:47:16.0 UTC+06:00,1,1.3,1.5,,,,,,,,,WGS 84 / UTM zone 43N,,,,,
7,,731965.844,4635781.182,3740.442,6pr._7,77.79381003,41.83995719,3740.442,Global,0.42,0.36,0.86,0.553,1.934,m,SINGLE,2024-08-19 14:47:26.0 UTC+06:00,2024-08-19 14:47:26.0 UTC+06:00,1,1.3,1.5,,,,,,,,,WGS 84 / UTM zone 43N,,,,,
8,,731961.911,4635778.403,3740.332,6pr._8,77.79376162,41.83993334,3740.332,Global,0.42,0.36,0.86,0.553,1.934,m,SINGLE,2024-08-19 14:47:34.0 UTC+06:00,2024-08-19 14:47:34.0 UTC+06:00,1,1.3,1.5,,,,,,,,,WGS 84 / UTM zone 43N,,,,,
9,,731957.75,4635775.879,3740.25,6pr._9,77.79371058,41.83991185,3740.25,Global,0.42,0.36,0.85,0.553,1.934,m,SINGLE,2024-08-19 14:47:45.0 UTC+06:00,2024-08-19 14:47:45.0 UTC+06:00,1,1.3,1.5,,,,,,,,,WGS 84 / UTM zone 43N,,,,,
10,,731953.467,4635772.948,3740.001,6pr._10,77.7936579,41.83988674,3740.001,Global,0.42,0.36,0.86,0.553,1.934,m,SINGLE,2024-08-19 14:47:54.0 UTC+06:00,2024-08-19 14:47:54.0 UTC+06:00,1,1.3,1.5,,,,,,,,,WGS 84 / UTM zone 43N,,,,,
