Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
E25,,,,2022-08-17,78.06569192,41.81573176,3539.537,0.342,0.235,0.587,0.415,2.134,m,SINGLE,2022-08-17 11:34:24.1 UTC+06:00,2022-08-17 11:34:36.1 UTC+06:00,13,1.0,,,,,,,,Global CS
E26,,,,2022-08-17,78.06573992,41.81570402,3540.103,0.304,0.225,0.578,0.378,2.134,m,SINGLE,2022-08-17 11:34:53.1 UTC+06:00,2022-08-17 11:35:08.1 UTC+06:00,16,1.0,,,,,,,,Global CS
E27,,,,2022-08-17,78.06578359,41.81568128,3540.448,0.320,0.275,0.579,0.422,2.134,m,SINGLE,2022-08-17 11:35:29.1 UTC+06:00,2022-08-17 11:35:51.1 UTC+06:00,23,1.0,,,,,,,,Global CS
E28,,,,2022-08-17,78.06583237,41.81565553,3540.186,0.519,0.286,0.758,0.593,2.134,m,SINGLE,2022-08-17 11:36:04.1 UTC+06:00,2022-08-17 11:36:26.1 UTC+06:00,23,1.0,,,,,,,,Global CS
E29,,,,2022-08-17,78.06589042,41.81562841,3538.763,0.301,0.225,0.594,0.376,2.134,m,SINGLE,2022-08-17 11:36:45.1 UTC+06:00,2022-08-17 11:36:57.1 UTC+06:00,13,1.1,,,,,,,,Global CS
E30,,,,2022-08-17,78.06593102,41.81560567,3539.160,0.308,0.256,0.609,0.401,2.134,m,SINGLE,2022-08-17 11:37:15.1 UTC+06:00,2022-08-17 11:37:29.1 UTC+06:00,15,1.1,,,,,,,,Global CS
E31,,,,2022-08-17,78.06599114,41.81557377,3539.021,0.326,0.232,0.611,0.400,2.134,m,SINGLE,2022-08-17 11:37:46.1 UTC+06:00,2022-08-17 11:38:01.1 UTC+06:00,16,1.1,,,,,,,,Global CS
E32,,,,2022-08-17,78.06603677,41.81555304,3538.631,0.296,0.221,0.586,0.370,2.134,m,SINGLE,2022-08-17 11:38:17.1 UTC+06:00,2022-08-17 11:38:28.1 UTC+06:00,12,1.0,,,,,,,,Global CS
E33,,,,2022-08-17,78.06608135,41.81553056,3538.622,0.358,0.241,0.609,0.432,2.134,m,SINGLE,2022-08-17 11:38:44.1 UTC+06:00,2022-08-17 11:38:59.1 UTC+06:00,16,1.1,,,,,,,,Global CS
E34,,,,2022-08-17,78.06613930,41.81549954,3537.892,0.316,0.243,0.660,0.398,2.134,m,SINGLE,2022-08-17 11:39:19.1 UTC+06:00,2022-08-17 11:39:30.3 UTC+06:00,12,1.1,,,,,,,,Global CS
