Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E23;E24;G24;RST;;;73.44253826;39.20252118;4233.379;Global;0.01;0.011;0.011;0.015;1.134;m;FIX;2023-08-07 06:49:38.0 UTC+02:00;2023-08-07 06:49:48.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;8.05;Global CS
E24;E23;G23;;;;73.44256146;39.20248024;4233.185;Global;0.014;0.015;0.01;0.021;1.134;m;FIX;2023-08-07 06:49:57.2 UTC+02:00;2023-08-07 06:50:07.2 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;3.388;Global CS
E25;E22;G22;;;;73.44258875;39.20244029;4232.996;Global;0.014;0.021;0.011;0.026;1.134;m;FIX;2023-08-07 06:50:18.4 UTC+02:00;2023-08-07 06:50:28.4 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;2.996;Global CS
E26;E21;G21;;;;73.44261846;39.20240161;4232.763;Global;0.015;0.013;0.011;0.02;1.134;m;FIX;2023-08-07 06:50:37.8 UTC+02:00;2023-08-07 06:50:47.8 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;7.591;Global CS
E27;E20;G20;;;;73.44264865;39.20236316;4232.564;Global;0.013;0.026;0.012;0.029;1.134;m;FIX;2023-08-07 06:50:57.0 UTC+02:00;2023-08-07 06:51:07.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;12.496;Global CS
E28;E19;G19;;;;73.44267852;39.20232468;4232.332;Global;0.014;0.012;0.011;0.018;1.134;m;FIX;2023-08-07 06:51:16.0 UTC+02:00;2023-08-07 06:51:26.0 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;17.464;Global CS
E29;E18;G18;;;;73.44270737;39.20228607;4232.091;Global;0.02;0.016;0.011;0.026;1.134;m;FIX;2023-08-07 06:51:34.8 UTC+02:00;2023-08-07 06:51:44.8 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;22.403;Global CS
E30;E17;G17;;;;73.44273748;39.20224786;4231.792;Global;0.017;0.022;0.01;0.028;1.134;m;FIX;2023-08-07 06:51:54.0 UTC+02:00;2023-08-07 06:52:04.0 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;27.379;Global CS
E31;E16;G16;;;;73.44276908;39.20221033;4231.506;Global;0.011;0.011;0.01;0.016;1.134;m;FIX;2023-08-07 06:52:15.4 UTC+02:00;2023-08-07 06:52:25.4 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;32.367;Global CS
E32;E15;G15;;;;73.44280006;39.20217285;4231.137;Global;0.025;0.034;0.01;0.042;1.134;m;FIX;2023-08-07 06:52:33.8 UTC+02:00;2023-08-07 06:52:43.8 UTC+02:00;51;1.2;;;;73.44255927;39.20245161;4233.187;37.316;Global CS
E33;E14;G14;;;;73.44283225;39.20213598;4230.524;Global;0.029;0.02;0.011;0.035;1.134;m;FIX;2023-08-07 06:52:53.2 UTC+02:00;2023-08-07 06:53:03.2 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;42.293;Global CS
E34;E13;G13;;;;73.44286329;39.20209813;4230.09;Global;0.023;0.028;0.01;0.037;1.134;m;FIX;2023-08-07 06:53:12.6 UTC+02:00;2023-08-07 06:53:22.6 UTC+02:00;51;1.1;;;;73.44255927;39.20245161;4233.187;47.292;Global CS
