ORIG_FID,Shape_Length,Longitude,Latitude,Ellipsoidal height
1,0.002550406,71.58361521,39.6486946,3850
2,0.002550406,71.58356301,39.64866636,3850.2
3,0.002550406,71.58351081,39.64863811,3850.3
4,0.002550406,71.5834586,39.64860987,3850.1
5,0.002550406,71.5834064,39.64858162,3850.1
6,0.002550406,71.5833542,39.64855338,3849.9
7,0.002550406,71.58330199,39.64852513,3849.9
8,0.002550406,71.58324979,39.64849689,3850.1
9,0.002550406,71.58319759,39.64846864,3849.7
10,0.002550406,71.58314538,39.6484404,3849.7
11,0.002550406,71.58309318,39.64841215,3850
12,0.002550406,71.58304098,39.64838391,3850.8
13,0.002550406,71.58298878,39.64835566,3851
14,0.002550406,71.58293657,39.64832741,3851.6
15,0.002550406,71.58288437,39.64829917,3852.2
16,0.002550406,71.58283217,39.64827092,3852.6
17,0.002550406,71.58277996,39.64824268,3853.4
18,0.002550406,71.58272776,39.64821443,3854.4
19,0.002550406,71.58267556,39.64818619,3855.5
20,0.002550406,71.58262335,39.64815794,3855.4
21,0.002550406,71.58257115,39.6481297,3855.8
22,0.002550406,71.58251895,39.64810145,3856.7
23,0.002550406,71.58246674,39.64807321,3855.7
24,0.002550406,71.58241454,39.64804496,3856.3
25,0.002550406,71.58236234,39.64801672,3857.2
26,0.002550406,71.58231014,39.64798847,3859.1
27,0.002550406,71.58225793,39.64796023,3859.8
28,0.002550406,71.58220573,39.64793198,3860.6
29,0.002550406,71.58215353,39.64790374,3859.9
30,0.002550406,71.58210132,39.64787549,3858.2
31,0.002550406,71.58204912,39.64784724,3858.8
32,0.002550406,71.58199692,39.647819,3858.8
33,0.002550406,71.58194471,39.64779075,3859.1
34,0.002550406,71.58189251,39.64776251,3861.1
35,0.002550406,71.58184031,39.64773426,3862.8
36,0.002550406,71.5817881,39.64770602,3863.5
37,0.002550406,71.5817359,39.64767777,3864.1
38,0.002550406,71.5816837,39.64764953,3864.9
39,0.002550406,71.58163149,39.64762128,3865.2
40,0.002550406,71.58157929,39.64759304,3865.6
41,0.002550406,71.58152709,39.64756479,3865.9
42,0.002550406,71.58147489,39.64753655,3866.1
43,0.002550406,71.58142268,39.6475083,3866.2
44,0.002550406,71.5813721,39.64748093,3866.3
45,0,71.58186552,39.64774529,3866.3
46,0,71.58217944,39.6479163,3865.6
47,0,71.58337802,39.64856079,3865.1
48,0,71.58312227,39.64841955,3864.5
