ORIG_FID,Shape_Length,Longitude,Latitude,Ellipsoidal height
1,0.003339572,71.57882004,39.64874282,3875.667
2,0.003339572,71.57879764,39.64868786,3875.647
3,0.003339572,71.57877523,39.6486329,3875.977
4,0.003339572,71.57875283,39.64857793,3876.317
5,0.003339572,71.57873042,39.64852297,3876.627
6,0.003339572,71.57870802,39.64846801,3876.707
7,0.003339572,71.57868561,39.64841304,3876.977
8,0.003339572,71.57866321,39.64835808,3877.187
9,0.003339572,71.57864081,39.64830311,3877.367
10,0.003339572,71.5786184,39.64824815,3877.557
11,0.003339572,71.578596,39.64819319,3877.787
12,0.003339572,71.57857359,39.64813822,3878.137
13,0.003339572,71.57855119,39.64808326,3878.517
14,0.003339572,71.57852878,39.6480283,3879.087
15,0.003339572,71.57850638,39.64797333,3879.497
16,0.003339572,71.57848398,39.64791837,3880.247
17,0.003339572,71.57846157,39.64786341,3880.047
18,0.003339572,71.57843917,39.64780844,3880.207
19,0.003339572,71.57841676,39.64775348,3880.667
20,0.003339572,71.57839436,39.64769851,3880.547
21,0.003339572,71.57837195,39.64764355,3880.237
22,0.003339572,71.57834955,39.64758859,3880.397
23,0.003339572,71.57832714,39.64753362,3880.337
24,0.003339572,71.57830474,39.64747866,3880.607
25,0.003339572,71.57828234,39.6474237,3880.937
26,0.003339572,71.57825993,39.64736873,3881.207
27,0.003339572,71.57823753,39.64731377,3881.477
28,0.003339572,71.57821512,39.64725881,3881.747
29,0.003339572,71.57819272,39.64720384,3882.087
30,0.003339572,71.57817031,39.64714888,3882.437
31,0.003339572,71.57814791,39.64709391,3882.767
32,0.003339572,71.5781255,39.64703895,3883.057
33,0.003339572,71.5781031,39.64698399,3883.347
34,0.003339572,71.5780807,39.64692902,3883.707
35,0.003339572,71.57805829,39.64687406,3884.017
36,0.003339572,71.57803589,39.6468191,3884.417
37,0.003339572,71.57801348,39.64676413,3884.687
38,0.003339572,71.57799108,39.64670917,3884.997
39,0.003339572,71.57796867,39.6466542,3885.347
40,0.003339572,71.57794627,39.64659924,3885.577
41,0.003339572,71.57792386,39.64654428,3885.977
42,0.003339572,71.57790146,39.64648931,3886.237
43,0.003339572,71.57787906,39.64643435,3886.427
44,0.003339572,71.57785665,39.64637939,3886.807
45,0.003339572,71.57783425,39.64632442,3887.327
46,0.003339572,71.57781184,39.64626946,3887.857
47,0.003339572,71.57778944,39.6462145,3888.207
48,0.003339572,71.57776703,39.64615953,3888.667
49,0.003339572,71.57774463,39.64610457,3888.937
50,0.003339572,71.57772222,39.6460496,3889.227
51,0.003339572,71.57769982,39.64599464,3889.547
52,0.003339572,71.57767742,39.64593968,3889.647
53,0.003339572,71.57765501,39.64588471,3889.847
54,0.003339572,71.57763261,39.64582975,3890.297
55,0.003339572,71.5776102,39.64577479,3890.777
56,0.003339572,71.5775878,39.64571982,3891.027
57,0.003339572,71.57756539,39.64566486,3891.087
58,0.003339572,71.57755946,39.6456503,3891.377
,0,71.57784549,39.64634816,3891.777
,0,71.5778287,39.64628866,3892.257
,0,71.5778104,39.64623832,3892.487
,0,71.57825436,39.64733983,3892.607
,0,71.57821316,39.64722235,3892.897
,0,71.57879133,39.64865683,3893.227
,0,71.57871774,39.64849205,3893.567
,0,71.57875293,39.64854804,3893.727
,0,71.57877213,39.64860243,3893.897
,0,71.57854497,39.64805212,3894.037
,0,71.57856736,39.64811291,3894.157
,0,71.57858976,39.6481657,3894.307
,0,71.57842849,39.64778066,3894.387
,0,71.57838349,39.64766818,3894.577
