Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,728978.743,4631886.207,3810.461,2pr._1,77.75636925,41.8057852,3810.461,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-18 15:48:47.2 UTC+06:00,2024-08-18 15:48:47.2 UTC+06:00,1,1.7,2,728540.271,4631775.734,3823.33,77.7510544,41.8049178,3823.33,452.467,,WGS 84 / UTM zone 43N,7,7,7,0,0
2,,728973.941,4631887.296,3810.527,2pr._2,77.75631193,41.80579638,3810.527,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-18 15:48:58.2 UTC+06:00,2024-08-18 15:48:58.2 UTC+06:00,1,1.5,1.7,728540.271,4631775.734,3823.33,77.7510544,41.8049178,3823.33,448.08,,WGS 84 / UTM zone 43N,7,8,7,0,0
3,,728969.029,4631887.966,3810.647,2pr._3,77.75625312,41.80580383,3810.647,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-18 15:49:07.2 UTC+06:00,2024-08-18 15:49:07.2 UTC+06:00,1,1.5,1.7,728540.271,4631775.734,3823.33,77.7510544,41.8049178,3823.33,443.491,,WGS 84 / UTM zone 43N,7,8,7,0,0
4,,728964.16,4631888.89,3810.744,2pr._4,77.75619494,41.80581354,3810.744,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2024-08-18 15:49:15.2 UTC+06:00,2024-08-18 15:49:15.2 UTC+06:00,1,1.5,1.7,728540.271,4631775.734,3823.33,77.7510544,41.8049178,3823.33,439.017,,WGS 84 / UTM zone 43N,7,8,7,0,0
5,,728959.205,4631889.7,3810.878,2pr._5,77.75613567,41.80582227,3810.878,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-18 15:49:23.2 UTC+06:00,2024-08-18 15:49:23.2 UTC+06:00,1,1.5,1.7,728540.271,4631775.734,3823.33,77.7510544,41.8049178,3823.33,434.44,,WGS 84 / UTM zone 43N,7,8,7,0,0
6,,728954.295,4631890.656,3811.018,2pr._6,77.756077,41.80583228,3811.018,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2024-08-18 15:49:30.2 UTC+06:00,2024-08-18 15:49:30.2 UTC+06:00,1,1.5,1.7,728540.271,4631775.734,3823.33,77.7510544,41.8049178,3823.33,429.955,,WGS 84 / UTM zone 43N,7,7,7,0,0
7,,728949.394,4631891.576,3811.263,2pr._7,77.75601843,41.80584198,3811.263,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2024-08-18 15:49:38.2 UTC+06:00,2024-08-18 15:49:38.2 UTC+06:00,1,1.5,1.7,728540.271,4631775.734,3823.33,77.7510544,41.8049178,3823.33,425.479,,WGS 84 / UTM zone 43N,7,7,7,0,0
8,,728944.399,4631892.39,3811.608,2pr._8,77.75595867,41.80585074,3811.608,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2024-08-18 15:49:46.2 UTC+06:00,2024-08-18 15:49:46.2 UTC+06:00,1,1.5,1.7,728540.271,4631775.734,3823.33,77.7510544,41.8049178,3823.33,420.891,,WGS 84 / UTM zone 43N,7,7,7,0,0
9,,728939.528,4631893.332,3811.769,2pr._9,77.75590047,41.80586062,3811.769,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2024-08-18 15:49:55.2 UTC+06:00,2024-08-18 15:49:55.2 UTC+06:00,1,1.5,1.7,728540.271,4631775.734,3823.33,77.7510544,41.8049178,3823.33,416.474,,WGS 84 / UTM zone 43N,7,7,0,0,0
10,,728934.601,4631894.133,3811.861,2pr._10,77.75584154,41.80586925,3811.861,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2024-08-18 15:50:03.2 UTC+06:00,2024-08-18 15:50:03.2 UTC+06:00,1,1.5,1.7,728540.271,4631775.734,3823.33,77.7510544,41.8049178,3823.33,411.978,,WGS 84 / UTM zone 43N,7,7,7,0,0
