KAR04_2024-08-18_DD5m.binx
         5.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
1022
 2
0
4  0.00  0.00 5.00  0.00 10.00  0.00 15.00  0.00 312.31 
4  0.00  0.00 5.00  0.00 15.00  0.00 20.00  0.00 442.38 
4  0.00  0.00 5.00  0.00 20.00  0.00 25.00  0.00 481.15 
4  0.00  0.00 5.00  0.00 25.00  0.00 30.00  0.00 608.53 
4  0.00  0.00 5.00  0.00 30.00  0.00 35.00  0.00 964.65 
4  0.00  0.00 5.00  0.00 35.00  0.00 40.00  0.00 761.65 
4  0.00  0.00 5.00  0.00 40.00  0.00 45.00  0.00 1268.04 
4  0.00  0.00 5.00  0.00 45.00  0.00 50.00  0.00 1029.32 
4  0.00  0.00 5.00  0.00 50.00  0.00 55.00  0.00 1153.82 
4  0.00  0.00 5.00  0.00 55.00  0.00 60.00  0.00 1020.65 
4  0.00  0.00 5.00  0.00 60.00  0.00 65.00  0.00 1152.65 
4  0.00  0.00 5.00  0.00 65.00  0.00 70.00  0.00 949.23 
4  0.00  0.00 5.00  0.00 70.00  0.00 75.00  0.00 1505.92 
4  0.00  0.00 5.00  0.00 75.00  0.00 80.00  0.00 939.02 
4  0.00  0.00 5.00  0.00 80.00  0.00 85.00  0.00 767.35 
4  0.00  0.00 5.00  0.00 85.00  0.00 90.00  0.00 799.90 
4  0.00  0.00 5.00  0.00 90.00  0.00 95.00  0.00 1376.59 
4  0.00  0.00 5.00  0.00 95.00  0.00 100.00  0.00 1109.37 
4  0.00  0.00 5.00  0.00 100.00  0.00 105.00  0.00 546.29 
4  0.00  0.00 5.00  0.00 105.00  0.00 110.00  0.00 271.14 
4  0.00  0.00 5.00  0.00 110.00  0.00 115.00  0.00 609.14 
4  0.00  0.00 5.00  0.00 115.00  0.00 120.00  0.00 1077.95 
4  0.00  0.00 5.00  0.00 120.00  0.00 125.00  0.00 989.58 
4  0.00  0.00 5.00  0.00 125.00  0.00 130.00  0.00 1342.54 
4  0.00  0.00 5.00  0.00 130.00  0.00 135.00  0.00 1443.69 
4  0.00  0.00 5.00  0.00 135.00  0.00 140.00  0.00 1435.52 
4  0.00  0.00 5.00  0.00 140.00  0.00 145.00  0.00 1596.64 
4  0.00  0.00 5.00  0.00 145.00  0.00 150.00  0.00 876.42 
4  0.00  0.00 5.00  0.00 150.00  0.00 155.00  0.00 1003.62 
4  0.00  0.00 5.00  0.00 155.00  0.00 160.00  0.00 840.40 
4  0.00  0.00 5.00  0.00 160.00  0.00 165.00  0.00 1129.59 
4  0.00  0.00 5.00  0.00 165.00  0.00 170.00  0.00 980.18 
4  0.00  0.00 5.00  0.00 170.00  0.00 175.00  0.00 1155.19 
4  0.00  0.00 5.00  0.00 175.00  0.00 180.00  0.00 578.78 
4  0.00  0.00 5.00  0.00 180.00  0.00 185.00  0.00 852.61 
4  0.00  0.00 5.00  0.00 185.00  0.00 190.00  0.00 771.47 
4  0.00  0.00 5.00  0.00 190.00  0.00 195.00  0.00 786.61 
4  0.00  0.00 5.00  0.00 195.00  0.00 200.00  0.00 1314.40 
4  0.00  0.00 5.00  0.00 200.00  0.00 205.00  0.00 1915.83 
4  0.00  0.00 5.00  0.00 205.00  0.00 210.00  0.00 2153.27 
4  0.00  0.00 5.00  0.00 210.00  0.00 215.00  0.00 1829.47 
4  0.00  0.00 5.00  0.00 215.00  0.00 220.00  0.00 1963.40 
4  0.00  0.00 5.00  0.00 220.00  0.00 225.00  0.00 1142.47 
4  0.00  0.00 5.00  0.00 225.00  0.00 230.00  0.00 670.45 
4  0.00  0.00 5.00  0.00 230.00  0.00 235.00  0.00 567.95 
4  5.00  0.00 10.00  0.00 15.00  0.00 20.00  0.00 253.50 
