4  15.00 0.00 10.00  0.00 100.00  0.00 105.00  0.00 51004.42 
4  15.00 0.00 10.00  0.00 105.00  0.00 110.00  0.00 54043.86 
4  15.00 0.00 10.00  0.00 110.00  0.00 115.00  0.00 71127.33 
4  15.00 0.00 10.00  0.00 115.00  0.00 120.00  0.00 74845.98 
4  15.00 0.00 10.00  0.00 120.00  0.00 125.00  0.00 70100.07 
4  15.00 0.00 10.00  0.00 125.00  0.00 130.00  0.00 79796.59 
4  15.00 0.00 10.00  0.00 130.00  0.00 135.00  0.00 75693.40 
4  15.00 0.00 10.00  0.00 135.00  0.00 140.00  0.00 90338.45 
4  15.00 0.00 10.00  0.00 140.00  0.00 145.00  0.00 87651.80 
4  15.00 0.00 10.00  0.00 145.00  0.00 150.00  0.00 114791.59 
4  15.00 0.00 10.00  0.00 150.00  0.00 155.00  0.00 86185.58 
4  15.00 0.00 10.00  0.00 155.00  0.00 160.00  0.00 108735.06 
4  15.00 0.00 10.00  0.00 160.00  0.00 165.00  0.00 64563.68 
4  15.00 0.00 10.00  0.00 165.00  0.00 170.00  0.00 104761.96 
4  15.00 0.00 10.00  0.00 170.00  0.00 175.00  0.00 67359.41 
4  15.00 0.00 10.00  0.00 175.00  0.00 180.00  0.00 63618.34 
4  20.00 0.00 15.00  0.00 25.00  0.00 30.00  0.00 7424.26 
4  20.00 0.00 15.00  0.00 30.00  0.00 35.00  0.00 7516.49 
4  20.00 0.00 15.00  0.00 35.00  0.00 40.00  0.00 6275.36 
4  20.00 0.00 15.00  0.00 40.00  0.00 45.00  0.00 9206.73 
4  20.00 0.00 15.00  0.00 45.00  0.00 50.00  0.00 17420.45 
4  20.00 0.00 15.00  0.00 50.00  0.00 55.00  0.00 11407.43 
4  20.00 0.00 15.00  0.00 55.00  0.00 60.00  0.00 6643.71 
4  20.00 0.00 15.00  0.00 60.00  0.00 65.00  0.00 11308.45 
4  20.00 0.00 15.00  0.00 65.00  0.00 70.00  0.00 9732.35 
4  20.00 0.00 15.00  0.00 70.00  0.00 75.00  0.00 11210.90 
4  20.00 0.00 15.00  0.00 75.00  0.00 80.00  0.00 14020.83 
4  20.00 0.00 15.00  0.00 80.00  0.00 85.00  0.00 13061.92 
4  20.00 0.00 15.00  0.00 85.00  0.00 90.00  0.00 24859.64 
4  20.00 0.00 15.00  0.00 90.00  0.00 95.00  0.00 21965.96 
4  20.00 0.00 15.00  0.00 95.00  0.00 100.00  0.00 20681.08 
4  20.00 0.00 15.00  0.00 100.00  0.00 105.00  0.00 27894.51 
4  20.00 0.00 15.00  0.00 105.00  0.00 110.00  0.00 29880.75 
4  20.00 0.00 15.00  0.00 110.00  0.00 115.00  0.00 40686.70 
4  20.00 0.00 15.00  0.00 115.00  0.00 120.00  0.00 38204.43 
4  20.00 0.00 15.00  0.00 120.00  0.00 125.00  0.00 38539.55 
4  20.00 0.00 15.00  0.00 125.00  0.00 130.00  0.00 43035.20 
4  20.00 0.00 15.00  0.00 130.00  0.00 135.00  0.00 41489.30 
4  20.00 0.00 15.00  0.00 135.00  0.00 140.00  0.00 49551.13 
4  20.00 0.00 15.00  0.00 140.00  0.00 145.00  0.00 48249.68 
4  20.00 0.00 15.00  0.00 145.00  0.00 150.00  0.00 62602.49 
4  20.00 0.00 15.00  0.00 150.00  0.00 155.00  0.00 47808.74 
4  20.00 0.00 15.00  0.00 155.00  0.00 160.00  0.00 59046.33 
4  20.00 0.00 15.00  0.00 160.00  0.00 165.00  0.00 35573.86 
4  20.00 0.00 15.00  0.00 165.00  0.00 170.00  0.00 57441.13 
4  20.00 0.00 15.00  0.00 170.00  0.00 175.00  0.00 37104.07 
4  20.00 0.00 15.00  0.00 175.00  0.00 180.00  0.00 33865.55 
4  20.00 0.00 15.00  0.00 180.00  0.00 185.00  0.00 36625.90 
4  25.00 0.00 20.00  0.00 30.00  0.00 35.00  0.00 8811.84 
4  25.00 0.00 20.00  0.00 35.00  0.00 40.00  0.00 6300.55 
4  25.00 0.00 20.00  0.00 40.00  0.00 45.00  0.00 10632.83 
4  25.00 0.00 20.00  0.00 45.00  0.00 50.00  0.00 21869.40 
4  25.00 0.00 20.00  0.00 50.00  0.00 55.00  0.00 15220.51 
4  25.00 0.00 20.00  0.00 55.00  0.00 60.00  0.00 9405.23 
4  25.00 0.00 20.00  0.00 60.00  0.00 65.00  0.00 14808.50 
4  25.00 0.00 20.00  0.00 65.00  0.00 70.00  0.00 14439.17 
4  25.00 0.00 20.00  0.00 70.00  0.00 75.00  0.00 15888.17 
4  25.00 0.00 20.00  0.00 75.00  0.00 80.00  0.00 20152.49 
4  25.00 0.00 20.00  0.00 80.00  0.00 85.00  0.00 18091.57 
4  25.00 0.00 20.00  0.00 85.00  0.00 90.00  0.00 35946.52 
4  25.00 0.00 20.00  0.00 90.00  0.00 95.00  0.00 30855.02 
4  25.00 0.00 20.00  0.00 95.00  0.00 100.00  0.00 26985.24 
4  25.00 0.00 20.00  0.00 100.00  0.00 105.00  0.00 42805.93 
4  25.00 0.00 20.00  0.00 105.00  0.00 110.00  0.00 43543.04 
4  25.00 0.00 20.00  0.00 110.00  0.00 115.00  0.00 46798.59 
4  25.00 0.00 20.00  0.00 115.00  0.00 120.00  0.00 73639.29 
4  25.00 0.00 20.00  0.00 120.00  0.00 125.00  0.00 57010.87 
4  25.00 0.00 20.00  0.00 125.00  0.00 130.00  0.00 64320.48 
4  25.00 0.00 20.00  0.00 130.00  0.00 135.00  0.00 58890.06 
4  25.00 0.00 20.00  0.00 135.00  0.00 140.00  0.00 73388.84 
4  25.00 0.00 20.00  0.00 140.00  0.00 145.00  0.00 74099.37 
4  25.00 0.00 20.00  0.00 145.00  0.00 150.00  0.00 96582.05 
4  25.00 0.00 20.00  0.00 150.00  0.00 155.00  0.00 74978.87 
4  25.00 0.00 20.00  0.00 155.00  0.00 160.00  0.00 86873.43 
4  25.00 0.00 20.00  0.00 160.00  0.00 165.00  0.00 53851.77 
4  25.00 0.00 20.00  0.00 165.00  0.00 170.00  0.00 86846.88 
4  25.00 0.00 20.00  0.00 170.00  0.00 175.00  0.00 57998.10 
4  25.00 0.00 20.00  0.00 175.00  0.00 180.00  0.00 50499.35 
4  25.00 0.00 20.00  0.00 180.00  0.00 185.00  0.00 58928.17 
4  25.00 0.00 20.00  0.00 185.00  0.00 190.00  0.00 78987.55 
4  30.00 0.00 25.00  0.00 35.00  0.00 40.00  0.00 4974.12 
