4  20.00 0.00 15.00  0.00 70.00  0.00 75.00  0.00 2628.14
4  20.00 0.00 15.00  0.00 75.00  0.00 80.00  0.00 3937.65
4  20.00 0.00 15.00  0.00 80.00  0.00 85.00  0.00 3433.97
4  20.00 0.00 15.00  0.00 85.00  0.00 90.00  0.00 3823.02
4  20.00 0.00 15.00  0.00 90.00  0.00 95.00  0.00 4246.58
4  20.00 0.00 15.00  0.00 95.00  0.00 100.00  0.00 3216.10
4  20.00 0.00 15.00  0.00 100.00  0.00 105.00  0.00 6380.11
4  20.00 0.00 15.00  0.00 105.00  0.00 110.00  0.00 4784.41
4  20.00 0.00 15.00  0.00 110.00  0.00 115.00  0.00 10115.21
4  20.00 0.00 15.00  0.00 115.00  0.00 120.00  0.00 1240.82
4  20.00 0.00 15.00  0.00 120.00  0.00 125.00  0.00 5122.07
4  20.00 0.00 15.00  0.00 125.00  0.00 130.00  0.00 6123.87
4  20.00 0.00 15.00  0.00 130.00  0.00 135.00  0.00 7373.61
4  20.00 0.00 15.00  0.00 135.00  0.00 140.00  0.00 6132.89
4  20.00 0.00 15.00  0.00 140.00  0.00 145.00  0.00 7415.27
4  20.00 0.00 15.00  0.00 145.00  0.00 150.00  0.00 5250.89
4  20.00 0.00 15.00  0.00 150.00  0.00 155.00  0.00 9513.34
4  20.00 0.00 15.00  0.00 155.00  0.00 160.00  0.00 11092.11
4  20.00 0.00 15.00  0.00 160.00  0.00 165.00  0.00 5144.02
4  20.00 0.00 15.00  0.00 165.00  0.00 170.00  0.00 9966.99
4  20.00 0.00 15.00  0.00 170.00  0.00 175.00  0.00 20944.42
4  20.00 0.00 15.00  0.00 175.00  0.00 180.00  0.00 3360.39
4  20.00 0.00 15.00  0.00 180.00  0.00 185.00  0.00 8050.77
4  25.00 0.00 20.00  0.00 30.00  0.00 35.00  0.00 6652.94
4  25.00 0.00 20.00  0.00 35.00  0.00 40.00  0.00 4418.52
4  25.00 0.00 20.00  0.00 40.00  0.00 45.00  0.00 5551.58
4  25.00 0.00 20.00  0.00 45.00  0.00 50.00  0.00 3841.70
4  25.00 0.00 20.00  0.00 50.00  0.00 55.00  0.00 3679.99
4  25.00 0.00 20.00  0.00 55.00  0.00 60.00  0.00 3833.61
4  25.00 0.00 20.00  0.00 60.00  0.00 65.00  0.00 5662.12
4  25.00 0.00 20.00  0.00 65.00  0.00 70.00  0.00 2830.68
4  25.00 0.00 20.00  0.00 70.00  0.00 75.00  0.00 2453.80
4  25.00 0.00 20.00  0.00 75.00  0.00 80.00  0.00 4078.51
4  25.00 0.00 20.00  0.00 80.00  0.00 85.00  0.00 4110.86
4  25.00 0.00 20.00  0.00 85.00  0.00 90.00  0.00 3433.35
4  25.00 0.00 20.00  0.00 90.00  0.00 95.00  0.00 4762.02
4  25.00 0.00 20.00  0.00 95.00  0.00 100.00  0.00 3395.74
4  25.00 0.00 20.00  0.00 100.00  0.00 105.00  0.00 4329.80
4  25.00 0.00 20.00  0.00 105.00  0.00 110.00  0.00 6022.88
4  25.00 0.00 20.00  0.00 110.00  0.00 115.00  0.00 4329.43
4  25.00 0.00 20.00  0.00 115.00  0.00 120.00  0.00 5461.38
4  25.00 0.00 20.00  0.00 125.00  0.00 130.00  0.00 4519.71
4  25.00 0.00 20.00  0.00 130.00  0.00 135.00  0.00 6499.03
4  25.00 0.00 20.00  0.00 135.00  0.00 140.00  0.00 4892.20
4  25.00 0.00 20.00  0.00 140.00  0.00 145.00  0.00 3922.43
4  25.00 0.00 20.00  0.00 145.00  0.00 150.00  0.00 4713.53
4  25.00 0.00 20.00  0.00 155.00  0.00 160.00  0.00 8719.12
4  25.00 0.00 20.00  0.00 160.00  0.00 165.00  0.00 4731.66
4  25.00 0.00 20.00  0.00 165.00  0.00 170.00  0.00 5609.02
4  25.00 0.00 20.00  0.00 180.00  0.00 185.00  0.00 6948.34
4  30.00 0.00 25.00  0.00 35.00  0.00 40.00  0.00 5153.51
4  30.00 0.00 25.00  0.00 40.00  0.00 45.00  0.00 6428.84
4  30.00 0.00 25.00  0.00 45.00  0.00 50.00  0.00 4487.53
4  30.00 0.00 25.00  0.00 50.00  0.00 55.00  0.00 4396.51
4  30.00 0.00 25.00  0.00 55.00  0.00 60.00  0.00 4602.53
4  30.00 0.00 25.00  0.00 60.00  0.00 65.00  0.00 6740.68
4  30.00 0.00 25.00  0.00 65.00  0.00 70.00  0.00 3331.41
4  30.00 0.00 25.00  0.00 70.00  0.00 75.00  0.00 2937.51
4  30.00 0.00 25.00  0.00 75.00  0.00 80.00  0.00 4746.13
4  30.00 0.00 25.00  0.00 80.00  0.00 85.00  0.00 4761.19
4  30.00 0.00 25.00  0.00 85.00  0.00 90.00  0.00 3939.88
4  30.00 0.00 25.00  0.00 90.00  0.00 95.00  0.00 5307.44
4  30.00 0.00 25.00  0.00 95.00  0.00 100.00  0.00 3766.09
4  30.00 0.00 25.00  0.00 100.00  0.00 105.00  0.00 5172.69
4  30.00 0.00 25.00  0.00 105.00  0.00 110.00  0.00 5908.48
4  30.00 0.00 25.00  0.00 110.00  0.00 115.00  0.00 6440.79
4  30.00 0.00 25.00  0.00 115.00  0.00 120.00  0.00 3810.78
4  30.00 0.00 25.00  0.00 125.00  0.00 130.00  0.00 5802.83
4  30.00 0.00 25.00  0.00 130.00  0.00 135.00  0.00 6931.79
4  30.00 0.00 25.00  0.00 140.00  0.00 145.00  0.00 5505.51
4  30.00 0.00 25.00  0.00 145.00  0.00 150.00  0.00 4680.25
4  30.00 0.00 25.00  0.00 150.00  0.00 155.00  0.00 5443.23
4  30.00 0.00 25.00  0.00 155.00  0.00 160.00  0.00 9158.54
4  30.00 0.00 25.00  0.00 160.00  0.00 165.00  0.00 4743.61
4  30.00 0.00 25.00  0.00 170.00  0.00 175.00  0.00 13028.75
4  30.00 0.00 25.00  0.00 180.00  0.00 185.00  0.00 6890.01
4  30.00 0.00 25.00  0.00 185.00  0.00 190.00  0.00 12597.89
4  35.00 0.00 30.00  0.00 40.00  0.00 45.00  0.00 10735.39
4  35.00 0.00 30.00  0.00 45.00  0.00 50.00  0.00 5784.28
4  35.00 0.00 30.00  0.00 50.00  0.00 55.00  0.00 5561.91
4  35.00 0.00 30.00  0.00 55.00  0.00 60.00  0.00 5844.73
4  35.00 0.00 30.00  0.00 60.00  0.00 65.00  0.00 8711.40
4  35.00 0.00 30.00  0.00 65.00  0.00 70.00  0.00 4323.79
4  35.00 0.00 30.00  0.00 70.00  0.00 75.00  0.00 3798.52
4  35.00 0.00 30.00  0.00 80.00  0.00 85.00  0.00 6208.29
4  35.00 0.00 30.00  0.00 85.00  0.00 90.00  0.00 4957.31
4  35.00 0.00 30.00  0.00 90.00  0.00 95.00  0.00 6752.53
4  35.00 0.00 30.00  0.00 95.00  0.00 100.00  0.00 4653.44
4  35.00 0.00 30.00  0.00 100.00  0.00 105.00  0.00 5860.56
4  35.00 0.00 30.00  0.00 110.00  0.00 115.00  0.00 5306.93
4  35.00 0.00 30.00  0.00 115.00  0.00 120.00  0.00 4359.25
4  35.00 0.00 30.00  0.00 120.00  0.00 125.00  0.00 4208.31
4  35.00 0.00 30.00  0.00 125.00  0.00 130.00  0.00 5806.01
4  35.00 0.00 30.00  0.00 130.00  0.00 135.00  0.00 7538.67
4  35.00 0.00 30.00  0.00 135.00  0.00 140.00  0.00 5414.67
4  35.00 0.00 30.00  0.00 140.00  0.00 145.00  0.00 5173.41
4  35.00 0.00 30.00  0.00 145.00  0.00 150.00  0.00 5248.99
4  35.00 0.00 30.00  0.00 150.00  0.00 155.00  0.00 4110.55
4  35.00 0.00 30.00  0.00 155.00  0.00 160.00  0.00 9341.32
4  35.00 0.00 30.00  0.00 160.00  0.00 165.00  0.00 5338.67
4  35.00 0.00 30.00  0.00 165.00  0.00 170.00  0.00 5035.18
4  35.00 0.00 30.00  0.00 170.00  0.00 175.00  0.00 10736.84
4  35.00 0.00 30.00  0.00 175.00  0.00 180.00  0.00 5225.09
4  35.00 0.00 30.00  0.00 180.00  0.00 185.00  0.00 6994.74
4  35.00 0.00 30.00  0.00 185.00  0.00 190.00  0.00 7717.05
4  35.00 0.00 30.00  0.00 190.00  0.00 195.00  0.00 18449.18
4  35.00 0.00 30.00  0.00 195.00  0.00 200.00  0.00 13635.27
4  40.00 0.00 35.00  0.00 45.00  0.00 50.00  0.00 8662.16
4  40.00 0.00 35.00  0.00 50.00  0.00 55.00  0.00 6649.04
4  40.00 0.00 35.00  0.00 55.00  0.00 60.00  0.00 5972.09
4  40.00 0.00 35.00  0.00 60.00  0.00 65.00  0.00 8832.77
4  40.00 0.00 35.00  0.00 65.00  0.00 70.00  0.00 13227.90
4  40.00 0.00 35.00  0.00 70.00  0.00 75.00  0.00 4089.12
4  40.00 0.00 35.00  0.00 85.00  0.00 90.00  0.00 5137.46
4  40.00 0.00 35.00  0.00 90.00  0.00 95.00  0.00 6861.18
4  40.00 0.00 35.00  0.00 95.00  0.00 100.00  0.00 4666.09
4  40.00 0.00 35.00  0.00 100.00  0.00 105.00  0.00 5043.48
4  40.00 0.00 35.00  0.00 105.00  0.00 110.00  0.00 7208.98
4  40.00 0.00 35.00  0.00 110.00  0.00 115.00  0.00 2899.80
4  40.00 0.00 35.00  0.00 115.00  0.00 120.00  0.00 5772.13
4  40.00 0.00 35.00  0.00 120.00  0.00 125.00  0.00 3338.71
4  40.00 0.00 35.00  0.00 125.00  0.00 130.00  0.00 5064.75
4  40.00 0.00 35.00  0.00 130.00  0.00 135.00  0.00 6686.61
4  40.00 0.00 35.00  0.00 135.00  0.00 140.00  0.00 4812.55
4  40.00 0.00 35.00  0.00 140.00  0.00 145.00  0.00 4080.40
4  40.00 0.00 35.00  0.00 145.00  0.00 150.00  0.00 4356.01
4  40.00 0.00 35.00  0.00 150.00  0.00 155.00  0.00 2489.53
4  45.00 0.00 40.00  0.00 50.00  0.00 55.00  0.00 10189.94
