KAR02_2024-08-18_DD5m.binx
         5.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
717
 2
0
4  25.00  0.00 30.00  0.00 90.00  0.00 95.00  0.00 1343.56 
4  25.00  0.00 30.00  0.00 95.00  0.00 100.00  0.00 111.94 
4  25.00  0.00 30.00  0.00 105.00  0.00 110.00  0.00 3316.55 
4  25.00  0.00 30.00  0.00 115.00  0.00 120.00  0.00 2367.60 
4  25.00  0.00 30.00  0.00 140.00  0.00 145.00  0.00 988.30 
4  25.00  0.00 30.00  0.00 150.00  0.00 155.00  0.00 1917.82 
4  25.00  0.00 30.00  0.00 170.00  0.00 175.00  0.00 3957.61 
4  25.00  0.00 30.00  0.00 190.00  0.00 195.00  0.00 1474.43 
4  25.00  0.00 30.00  0.00 230.00  0.00 235.00  0.00 2829.70 
4  30.00  0.00 35.00  0.00 40.00  0.00 45.00  0.00 1204.81 
4  30.00  0.00 35.00  0.00 45.00  0.00 50.00  0.00 1321.60 
4  30.00  0.00 35.00  0.00 50.00  0.00 55.00  0.00 1710.68 
4  30.00  0.00 35.00  0.00 55.00  0.00 60.00  0.00 1122.70 
4  30.00  0.00 35.00  0.00 60.00  0.00 65.00  0.00 1460.68 
4  30.00  0.00 35.00  0.00 65.00  0.00 70.00  0.00 1717.95 
4  30.00  0.00 35.00  0.00 70.00  0.00 75.00  0.00 1565.04 
4  30.00  0.00 35.00  0.00 75.00  0.00 80.00  0.00 844.73 
4  30.00  0.00 35.00  0.00 80.00  0.00 85.00  0.00 2861.57 
4  30.00  0.00 35.00  0.00 90.00  0.00 95.00  0.00 2312.36 
4  30.00  0.00 35.00  0.00 110.00  0.00 115.00  0.00 3821.93 
4  30.00  0.00 35.00  0.00 130.00  0.00 135.00  0.00 2233.27 
4  30.00  0.00 35.00  0.00 140.00  0.00 145.00  0.00 2980.14 
4  30.00  0.00 35.00  0.00 150.00  0.00 155.00  0.00 3389.57 
4  30.00  0.00 35.00  0.00 160.00  0.00 165.00  0.00 6110.52 
4  30.00  0.00 35.00  0.00 200.00  0.00 205.00  0.00 2775.33 
4  30.00  0.00 35.00  0.00 220.00  0.00 225.00  0.00 5823.18 
4  35.00  0.00 40.00  0.00 45.00  0.00 50.00  0.00 1412.20 
4  35.00  0.00 40.00  0.00 50.00  0.00 55.00  0.00 2303.69 
4  35.00  0.00 40.00  0.00 55.00  0.00 60.00  0.00 1957.87 
4  35.00  0.00 40.00  0.00 60.00  0.00 65.00  0.00 1904.68 
4  35.00  0.00 40.00  0.00 65.00  0.00 70.00  0.00 2680.39 
4  35.00  0.00 40.00  0.00 70.00  0.00 75.00  0.00 1943.34 
4  35.00  0.00 40.00  0.00 75.00  0.00 80.00  0.00 2098.72 
4  35.00  0.00 40.00  0.00 80.00  0.00 85.00  0.00 421.67 
4  35.00  0.00 40.00  0.00 85.00  0.00 90.00  0.00 1658.16 
4  35.00  0.00 40.00  0.00 90.00  0.00 95.00  0.00 228.25 
4  35.00  0.00 40.00  0.00 95.00  0.00 100.00  0.00 1701.70 
4  35.00  0.00 40.00  0.00 100.00  0.00 105.00  0.00 494.42 
4  35.00  0.00 40.00  0.00 110.00  0.00 115.00  0.00 71.76 
4  35.00  0.00 40.00  0.00 115.00  0.00 120.00  0.00 347.83 
4  35.00  0.00 40.00  0.00 125.00  0.00 130.00  0.00 872.97 
4  35.00  0.00 40.00  0.00 135.00  0.00 140.00  0.00 1538.75 
4  35.00  0.00 40.00  0.00 145.00  0.00 150.00  0.00 4288.39 
4  35.00  0.00 40.00  0.00 155.00  0.00 160.00  0.00 2362.99 
4  35.00  0.00 40.00  0.00 165.00  0.00 170.00  0.00 5064.20 
4  35.00  0.00 40.00  0.00 185.00  0.00 190.00  0.00 3458.49 
4  35.00  0.00 40.00  0.00 195.00  0.00 200.00  0.00 2099.37 
