48 	 # Number of sensors 
# x z 
0	-28.72
5	-28.23
10	-27.8
15	-27.02
20	-26.61
25	-25.95
30	-25.65
35	-25.07
40	-24.57
45	-23.9
50	-23.37
55	-22.74
60	-22.68
65	-22.05
70	-21.6
75	-20.95
80	-20.5
85	-19.5
90	-18.46
95	-17.36
100	-16.34
105	-15.24
110	-14.23
115	-13.08
120	-12.16
125	-11.65
130	-11.02
135	-10.25
140	-9.69
145	-8.9
150	-8.13
155	-7.36
160	-6.64
165	-6.01
170	-5.29
175	-4.91
180	-4.6
185	-4.52
190	-4.55
195	-4.33
200	-4.08
205	-3.7
210	-3.06
215	-2.05
220	-1.49
225	-0.68
230	-0.17
235	0
887 	 # Number of measurements 
# a b m n rhoa err
30 31 35 36 3808.40 0.040 
31 32 36 37 4243.20 0.040 
32 33 37 38 3298.10 0.040 
33 34 38 39 3952.20 0.040 
34 35 39 40 3951.30 0.040 
35 36 40 41 3522.50 0.040 
36 37 41 42 3010.70 0.040 
37 38 42 43 2135.40 0.040 
38 39 43 44 3097.20 0.040 
39 40 44 45 3140.40 0.040 
40 41 45 46 2682.00 0.040 
41 42 46 47 2721.10 0.040 
42 43 47 48 1708.80 0.040 
1 2 7 8 1259.80 0.040 
2 3 8 9 999.87 0.040 
3 4 9 10 867.31 0.040 
4 5 10 11 912.94 0.040 
5 6 11 12 1051.40 0.040 
6 7 12 13 1098.90 0.040 
7 8 13 14 1016.80 0.040 
8 9 14 15 889.97 0.040 
9 10 15 16 996.23 0.040 
10 11 16 17 1290.30 0.040 
11 12 17 18 1583.50 0.040 
12 13 18 19 1658.90 0.040 
13 14 19 20 1363.00 0.040 
14 15 20 21 1160.10 0.040 
15 16 21 22 1227.00 0.040 
16 17 22 23 1655.10 0.040 
17 18 23 24 1711.80 0.040 
18 19 24 25 1864.40 0.040 
19 20 25 26 1654.00 0.040 
20 21 26 27 1978.50 0.040 
21 22 27 28 1958.90 0.040 
22 23 28 29 2874.20 0.040 
23 24 29 30 2709.10 0.040 
24 25 30 31 2892.80 0.040 
25 26 31 32 3151.90 0.040 
26 27 32 33 2983.90 0.040 
27 28 33 34 2908.60 0.040 
28 29 34 35 3829.90 0.040 
29 30 35 36 3811.80 0.040 
30 31 36 37 4295.30 0.040 
31 32 37 38 4001.80 0.040 
32 33 38 39 4020.40 0.040 
33 34 39 40 3999.00 0.040 
34 35 40 41 3730.90 0.040 
35 36 41 42 3300.60 0.040 
36 37 42 43 2491.90 0.040 
37 38 43 44 2802.30 0.040 
38 39 44 45 2880.90 0.040 
39 40 45 46 2703.00 0.040 
40 41 46 47 2691.70 0.040 
41 42 47 48 2071.20 0.040 
1 2 8 9 1408.80 0.040 
2 3 9 10 1060.20 0.040 
3 4 10 11 1155.00 0.040 
4 5 11 12 1159.30 0.040 
5 6 12 13 1405.30 0.040 
6 7 13 14 1267.70 0.040 
7 8 14 15 1137.40 0.040 
8 9 15 16 1218.30 0.040 
9 10 16 17 1468.70 0.040 
10 11 17 18 1743.00 0.040 
11 12 18 19 1803.40 0.040 
12 13 19 20 1636.70 0.040 
13 14 20 21 1430.90 0.040 
14 15 21 22 1216.30 0.040 
15 16 22 23 1431.20 0.040 
16 17 23 24 1694.70 0.040 
17 18 24 25 1933.50 0.040 
18 19 25 26 1986.10 0.040 
19 20 26 27 2113.50 0.040 
20 21 27 28 2259.40 0.040 
21 22 28 29 2963.60 0.040 
22 23 29 30 3141.40 0.040 
23 24 30 31 3414.70 0.040 
24 25 31 32 4211.80 0.040 
25 26 32 33 3189.20 0.040 
26 27 33 34 3503.90 0.040 
27 28 34 35 3259.40 0.040 
28 29 35 36 4172.50 0.040 
29 30 36 37 4069.40 0.040 
30 31 37 38 3857.40 0.040 
31 32 38 39 4672.50 0.040 
32 33 39 40 4046.60 0.040 
33 34 40 41 3518.50 0.040 
34 35 41 42 3118.50 0.040 
35 36 42 43 2512.20 0.040 
36 37 43 44 3098.90 0.040 
37 38 44 45 2466.70 0.040 
38 39 45 46 2259.00 0.040 
40 41 47 48 1800.90 0.040 
1 2 9 10 1468.70 0.040 
2 3 10 11 1395.60 0.040 
3 4 11 12 1426.60 0.040 
4 5 12 13 1527.50 0.040 
5 6 13 14 1585.20 0.040 
6 7 14 15 1406.50 0.040 
7 8 15 16 1535.70 0.040 
8 9 16 17 1776.10 0.040 
9 10 17 18 1990.60 0.040 
10 11 18 19 1916.70 0.040 
11 12 19 20 1730.40 0.040 
12 13 20 21 1688.60 0.040 
13 14 21 22 1449.50 0.040 
14 15 22 23 1372.00 0.040 
15 16 23 24 1409.10 0.040 
16 17 24 25 1847.90 0.040 
17 18 25 26 1990.10 0.040 
18 19 26 27 2463.70 0.040 
19 20 27 28 2283.00 0.040 
20 21 28 29 3305.00 0.040 
21 22 29 30 3242.30 0.040 
22 23 30 31 3853.30 0.040 
23 24 31 32 4810.70 0.040 
24 25 32 33 4103.30 0.040 
25 26 33 34 3822.00 0.040 
26 27 34 35 3855.00 0.040 
27 28 35 36 3499.40 0.040 
28 29 36 37 4269.80 0.040 
29 30 37 38 3538.80 0.040 
30 31 38 39 4380.80 0.040 
31 32 39 40 4579.40 0.040 
32 33 40 41 3349.40 0.040 
33 34 41 42 2787.40 0.040 
34 35 42 43 2437.50 0.040 
35 36 43 44 3170.50 0.040 
36 37 44 45 2763.40 0.040 
37 38 45 46 2035.30 0.040 
1 2 10 11 1886.50 0.040 
2 3 11 12 1692.40 0.040 
3 4 12 13 1874.10 0.040 
4 5 13 14 1702.80 0.040 
5 6 14 15 1723.90 0.040 
6 7 15 16 1873.50 0.040 
7 8 16 17 2198.50 0.040 
8 9 17 18 2362.70 0.040 
9 10 18 19 2115.00 0.040 
10 11 19 20 1798.20 0.040 
11 12 20 21 1715.70 0.040 
12 13 21 22 1611.00 0.040 
13 14 22 23 1597.90 0.040 
14 15 23 24 1314.40 0.040 
15 16 24 25 1507.30 0.040 
16 17 25 26 1890.90 0.040 
17 18 26 27 2380.80 0.040 
18 19 27 28 2582.10 0.040 
19 20 28 29 3337.40 0.040 
20 21 29 30 3459.60 0.040 
21 22 30 31 3626.50 0.040 
22 23 31 32 5218.80 0.040 
23 24 32 33 4584.60 0.040 
24 25 33 34 4559.10 0.040 
25 26 34 35 3673.50 0.040 
26 27 35 36 3989.30 0.040 
27 28 36 37 3490.60 0.040 
28 29 37 38 3569.70 0.040 
29 30 38 39 3910.10 0.040 
30 31 39 40 4208.80 0.040 
31 32 40 41 3708.20 0.040 
32 33 41 42 2828.90 0.040 
33 34 42 43 2425.70 0.040 
34 35 43 44 2782.50 0.040 
35 36 44 45 2671.10 0.040 
36 37 45 46 2200.30 0.040 
37 38 46 47 1629.90 0.040 
1 2 11 12 2296.60 0.040 
2 3 12 13 2203.20 0.040 
3 4 13 14 2066.40 0.040 
4 5 14 15 1840.50 0.040 
5 6 15 16 2275.80 0.040 
6 7 16 17 2657.30 0.040 
7 8 17 18 2867.90 0.040 
8 9 18 19 2463.90 0.040 
9 10 19 20 1979.30 0.040 
10 11 20 21 1698.80 0.040 
11 12 21 22 1644.90 0.040 
12 13 22 23 1797.30 0.040 
13 14 23 24 1512.60 0.040 
14 15 24 25 1388.80 0.040 
15 16 25 26 1516.30 0.040 
16 17 26 27 2184.80 0.040 
17 18 27 28 2450.40 0.040 
18 19 28 29 3735.30 0.040 
19 20 29 30 3311.60 0.040 
20 21 30 31 3903.40 0.040 
21 22 31 32 5131.10 0.040 
22 23 32 33 4889.40 0.040 
23 24 33 34 5069.60 0.040 
24 25 34 35 4777.50 0.040 
25 26 35 36 4261.90 0.040 
26 27 36 37 4048.40 0.040 
27 28 37 38 2960.30 0.040 
28 29 38 39 3834.30 0.040 
29 30 39 40 3705.20 0.040 
30 31 40 41 3358.70 0.040 
31 32 41 42 3159.10 0.040 
32 33 42 43 2029.70 0.040 
33 34 43 44 2165.10 0.040 
34 35 44 45 2617.60 0.040 
35 36 45 46 2090.30 0.040 
36 37 46 47 1504.90 0.040 
37 38 47 48 1354.30 0.040 
1 2 12 13 2917.90 0.040 
2 3 13 14 2398.10 0.040 
3 4 14 15 2221.60 0.040 
4 5 15 16 2411.30 0.040 
5 6 16 17 3163.60 0.040 
6 7 17 18 3390.00 0.040 
7 8 18 19 2936.30 0.040 
8 9 19 20 2257.90 0.040 
9 10 20 21 1860.40 0.040 
10 11 21 22 1670.40 0.040 
11 12 22 23 1770.00 0.040 
12 13 23 24 1644.20 0.040 
13 14 24 25 1555.80 0.040 
14 15 25 26 1399.50 0.040 
15 16 26 27 1730.10 0.040 
16 17 27 28 2228.60 0.040 
17 18 28 29 3445.80 0.040 
18 19 29 30 3612.60 0.040 
19 20 30 31 3822.40 0.040 
20 21 31 32 5319.80 0.040 
21 22 32 33 4386.50 0.040 
22 23 33 34 5166.10 0.040 
23 24 34 35 5069.40 0.040 
24 25 35 36 4796.50 0.040 
25 26 36 37 4721.20 0.040 
26 27 37 38 3303.00 0.040 
27 28 38 39 2964.10 0.040 
28 29 39 40 3573.40 0.040 
29 30 40 41 2919.90 0.040 
30 31 41 42 2752.60 0.040 
31 32 42 43 2058.60 0.040 
32 33 43 44 2461.20 0.040 
33 34 44 45 2820.80 0.040 
35 36 46 47 1730.10 0.040 
36 37 47 48 1907.10 0.040 
1 2 13 14 3145.80 0.040 
2 3 14 15 2566.90 0.040 
3 4 15 16 2897.60 0.040 
4 5 16 17 3333.80 0.040 
5 6 17 18 3954.60 0.040 
6 7 18 19 3424.60 0.040 
7 8 19 20 2637.00 0.040 
8 9 20 21 2117.70 0.040 
9 10 21 22 1750.40 0.040 
10 11 22 23 1685.50 0.040 
11 12 23 24 1620.40 0.040 
12 13 24 25 1702.80 0.040 
13 14 25 26 1595.40 0.040 
14 15 26 27 1570.40 0.040 
15 16 27 28 1736.30 0.040 
16 17 28 29 3076.80 0.040 
17 18 29 30 3288.40 0.040 
18 19 30 31 4123.80 0.040 
19 20 31 32 4888.90 0.040 
20 21 32 33 4466.10 0.040 
21 22 33 34 5738.10 0.040 
22 23 34 35 5305.40 0.040 
23 24 35 36 5252.10 0.040 
26 27 38 39 3165.10 0.040 
27 28 39 40 2881.70 0.040 
28 29 40 41 2760.90 0.040 
29 30 41 42 2402.90 0.040 
30 31 42 43 1916.70 0.040 
31 32 43 44 2765.80 0.040 
32 33 44 45 2211.00 0.040 
33 34 45 46 1338.90 0.040 
35 36 47 48 1147.50 0.040 
1 2 14 15 3305.10 0.040 
2 3 15 16 3302.20 0.040 
3 4 16 17 3980.90 0.040 
4 5 17 18 4156.60 0.040 
5 6 18 19 3948.60 0.040 
6 7 19 20 3043.60 0.040 
7 8 20 21 2424.40 0.040 
8 9 21 22 1925.80 0.040 
9 10 22 23 1836.20 0.040 
10 11 23 24 1461.90 0.040 
11 12 24 25 1587.50 0.040 
12 13 25 26 1634.90 0.040 
13 14 26 27 1757.00 0.040 
14 15 27 28 1575.30 0.040 
15 16 28 29 2394.30 0.040 
16 17 29 30 2918.50 0.040 
17 18 30 31 3679.70 0.040 
18 19 31 32 5217.40 0.040 
19 20 32 33 4343.70 0.040 
20 21 33 34 5072.50 0.040 
22 23 35 36 5128.20 0.040 
23 24 36 37 4820.40 0.040 
26 27 39 40 3135.20 0.040 
27 28 40 41 2171.30 0.040 
28 29 41 42 2216.10 0.040 
29 30 42 43 1581.50 0.040 
30 31 43 44 2386.50 0.040 
31 32 44 45 2214.20 0.040 
32 33 45 46 1662.40 0.040 
1 2 15 16 4236.80 0.040 
2 3 16 17 4516.00 0.040 
3 4 17 18 4996.90 0.040 
4 5 18 19 4072.60 0.040 
5 6 19 20 3421.90 0.040 
6 7 20 21 2824.70 0.040 
7 8 21 22 2247.20 0.040 
8 9 22 23 2039.30 0.040 
9 10 23 24 1620.10 0.040 
10 11 24 25 1744.10 0.040 
11 12 25 26 1657.40 0.040 
12 13 26 27 1919.60 0.040 
13 14 27 28 1768.80 0.040 
14 15 28 29 2158.60 0.040 
15 16 29 30 2225.40 0.040 
16 17 30 31 3184.10 0.040 
17 18 31 32 4589.10 0.040 
18 19 32 33 4613.50 0.040 
19 20 33 34 4283.90 0.040 
20 21 34 35 4263.00 0.040 
21 22 35 36 5571.90 0.040 
22 23 36 37 4973.10 0.040 
23 24 37 38 4028.70 0.040 
25 26 39 40 3250.80 0.040 
26 27 40 41 2453.70 0.040 
27 28 41 42 1855.50 0.040 
28 29 42 43 1502.20 0.040 
29 30 43 44 2102.50 0.040 
30 31 44 45 2163.20 0.040 
31 32 45 46 1758.90 0.040 
1 2 16 17 5676.20 0.040 
2 3 17 18 5588.60 0.040 
3 4 18 19 4807.10 0.040 
4 5 19 20 3541.30 0.040 
5 6 20 21 3071.70 0.040 
6 7 21 22 2374.00 0.040 
7 8 22 23 2294.80 0.040 
8 9 23 24 1750.90 0.040 
9 10 24 25 1663.60 0.040 
10 11 25 26 1648.50 0.040 
11 12 26 27 1847.00 0.040 
12 13 27 28 1827.30 0.040 
13 14 28 29 2404.70 0.040 
14 15 29 30 1984.30 0.040 
15 16 30 31 2423.50 0.040 
16 17 31 32 4028.80 0.040 
17 18 32 33 3961.60 0.040 
18 19 33 34 4565.40 0.040 
19 20 34 35 4468.40 0.040 
20 21 35 36 5225.00 0.040 
22 23 37 38 3725.00 0.040 
23 24 38 39 4052.70 0.040 
24 25 39 40 3760.50 0.040 
25 26 40 41 2006.90 0.040 
26 27 41 42 1896.20 0.040 
27 28 42 43 1048.70 0.040 
28 29 43 44 1868.80 0.040 
29 30 44 45 1795.60 0.040 
30 31 45 46 1529.90 0.040 
31 32 46 47 1324.70 0.040 
2 3 18 19 5337.40 0.040 
3 4 19 20 4172.90 0.040 
4 5 20 21 3142.90 0.040 
5 6 21 22 2811.70 0.040 
6 7 22 23 2573.60 0.040 
7 8 23 24 1957.60 0.040 
8 9 24 25 1850.60 0.040 
9 10 25 26 1746.20 0.040 
10 11 26 27 1726.70 0.040 
11 12 27 28 1796.60 0.040 
12 13 28 29 2636.70 0.040 
