48 	 # Number of sensors 
# x z 
0	-32.46
5	-31.02
10	-28.94
15	-26.69
20	-24.77
25	-22.97
30	-22.75
35	-22.8
40	-23.02
45	-22.56
50	-22.3
55	-21.71
60	-21.96
65	-22.1
70	-22.31
75	-21.34
80	-21.12
85	-20.5
90	-20
95	-19.88
100	-20.14
105	-18.01
110	-18.18
115	-16.69
120	-16.31
125	-15.62
130	-15.12
135	-15.27
140	-14.74
145	-14.24
150	-13.85
155	-13.35
160	-12.54
165	-9.96
170	-7.31
175	-5.9
180	-5.32
185	-2.81
190	-1.65
195	-1.31
200	-0.88
205	-1.63
210	-2.43
215	-3.02
220	-0.83
225	0
230	-0.76
235	-3.44
301 	 # Number of measurements 
# a b m n rhoa err
1 19 7 13 106780.00 0.040 
2 20 8 14 108108.00 0.040 
3 21 9 15 146656.00 0.040 
4 22 10 16 133900.00 0.040 
5 23 11 17 105513.00 0.040 
6 24 12 18 109136.00 0.040 
8 26 14 20 101153.00 0.040 
9 27 15 21 89213.00 0.040 
10 28 16 22 120136.00 0.040 
15 33 21 27 94940.00 0.040 
16 34 22 28 67262.00 0.040 
17 35 23 29 99191.00 0.040 
18 36 24 30 101991.00 0.040 
19 37 25 31 118615.00 0.040 
20 38 26 32 123606.00 0.040 
21 39 27 33 127186.00 0.040 
22 40 28 34 172631.00 0.040 
23 41 29 35 108023.00 0.040 
25 43 31 37 83144.00 0.040 
26 44 32 38 68335.00 0.040 
27 45 33 39 62122.00 0.040 
28 46 34 40 70894.00 0.040 
29 47 35 41 86340.00 0.040 
1 22 8 15 109493.00 0.040 
2 23 9 16 122957.00 0.040 
3 24 10 17 133049.00 0.040 
4 25 11 18 128713.00 0.040 
5 26 12 19 115135.00 0.040 
6 27 13 20 121265.00 0.040 
9 30 16 23 114114.00 0.040 
10 31 17 24 123466.00 0.040 
12 33 19 26 101579.00 0.040 
13 34 20 27 87772.00 0.040 
14 35 21 28 87637.00 0.040 
15 36 22 29 109454.00 0.040 
16 37 23 30 126482.00 0.040 
17 38 24 31 138736.00 0.040 
18 39 25 32 136349.00 0.040 
19 40 26 33 133573.00 0.040 
20 41 27 34 153868.00 0.040 
23 44 30 37 94834.00 0.040 
24 45 31 38 76534.00 0.040 
25 46 32 39 71436.00 0.040 
26 47 33 40 116427.00 0.040 
27 48 34 41 69592.00 0.040 
1 25 9 17 120335.00 0.040 
2 26 10 18 128513.00 0.040 
3 27 11 19 135888.00 0.040 
4 28 12 20 154962.00 0.040 
5 29 13 21 134598.00 0.040 
6 30 14 22 140122.00 0.040 
7 31 15 23 119528.00 0.040 
8 32 16 24 130416.00 0.040 
9 33 17 25 105677.00 0.040 
10 34 18 26 89000.00 0.040 
11 35 19 27 101205.00 0.040 
12 36 20 28 97826.00 0.040 
13 37 21 29 129086.00 0.040 
14 38 22 30 136824.00 0.040 
15 39 23 31 155161.00 0.040 
16 40 24 32 146046.00 0.040 
17 41 25 33 148492.00 0.040 
20 44 28 36 150344.00 0.040 
21 45 29 37 117278.00 0.040 
22 46 30 38 110496.00 0.040 
23 47 31 39 85043.00 0.040 
24 48 32 40 115478.00 0.040 
1 28 10 19 133196.00 0.040 
2 29 11 20 105263.00 0.040 
3 30 12 21 116102.00 0.040 
4 31 13 22 141850.00 0.040 
5 32 14 23 127522.00 0.040 
6 33 15 24 133566.00 0.040 
7 34 16 25 128043.00 0.040 
8 35 17 26 107374.00 0.040 
9 36 18 27 97581.00 0.040 
10 37 19 28 100874.00 0.040 
11 38 20 29 154883.00 0.040 
12 39 21 30 154842.00 0.040 
13 40 22 31 159934.00 0.040 
14 41 23 32 164762.00 0.040 
17 44 26 35 162409.00 0.040 
18 45 27 36 162376.00 0.040 
19 46 28 37 160398.00 0.040 
20 47 29 38 119762.00 0.040 
21 48 30 39 122910.00 0.040 
1 31 11 21 87341.00 0.040 
2 32 12 22 92778.00 0.040 
3 33 13 23 111341.00 0.040 
4 34 14 24 125005.00 0.040 
5 35 15 25 113823.00 0.040 
6 36 16 26 121525.00 0.040 
7 37 17 27 136657.00 0.040 
8 38 18 28 117750.00 0.040 
9 39 19 29 140637.00 0.040 
10 40 20 30 158581.00 0.040 
11 41 21 31 188941.00 0.040 
13 43 23 33 220324.00 0.040 
14 44 24 34 177839.00 0.040 
15 45 25 35 169025.00 0.040 
16 46 26 36 170644.00 0.040 
17 47 27 37 167243.00 0.040 
18 48 28 38 210947.00 0.040 
1 34 12 23 84456.00 0.040 
2 35 13 24 99032.00 0.040 
3 36 14 25 115462.00 0.040 
4 37 15 26 136823.00 0.040 
5 38 16 27 124277.00 0.040 
6 39 17 28 130503.00 0.040 
8 41 19 30 168001.00 0.040 
11 44 22 33 188525.00 0.040 
12 45 23 34 203128.00 0.040 
13 46 24 35 177779.00 0.040 
14 47 25 36 177955.00 0.040 
15 48 26 37 198293.00 0.040 
1 37 13 25 104945.00 0.040 
2 38 14 26 111834.00 0.040 
3 39 15 27 133259.00 0.040 
4 40 16 28 138932.00 0.040 
5 41 17 29 157974.00 0.040 
7 43 19 31 221485.00 0.040 
8 44 20 32 195930.00 0.040 
9 45 21 33 188064.00 0.040 
10 46 22 34 202407.00 0.040 
11 47 23 35 219543.00 0.040 
12 48 24 36 236537.00 0.040 
1 40 14 27 106587.00 0.040 
2 41 15 28 105880.00 0.040 
3 42 16 29 157657.00 0.040 
4 43 17 30 201153.00 0.040 
5 44 18 31 182230.00 0.040 
6 45 19 32 208688.00 0.040 
7 46 20 33 260713.00 0.040 
8 47 21 34 230810.00 0.040 
9 48 22 35 228384.00 0.040 
1 43 15 29 137340.00 0.040 
2 44 16 30 150805.00 0.040 
3 45 17 31 196799.00 0.040 
4 46 18 32 212966.00 0.040 
5 47 19 33 197810.00 0.040 
6 48 20 34 267856.00 0.040 
1 46 16 31 185884.00 0.040 
2 47 17 32 202683.00 0.040 
3 48 18 33 181725.00 0.040 
