48 	 # Number of sensors 
# x z 
0.00 3834.70 
3.00 3834.66 
6.00 3834.58 
9.00 3834.50 
12.00 3834.34 
15.00 3834.28 
18.00 3834.52 
21.00 3834.95 
24.00 3835.46 
27.00 3835.94 
30.00 3835.97 
33.00 3836.30 
36.00 3836.67 
39.00 3836.84 
42.00 3836.64 
45.00 3836.77 
48.00 3837.01 
51.00 3836.62 
54.00 3836.89 
57.00 3836.94 
60.00 3837.05 
63.00 3837.36 
66.00 3837.51 
69.00 3837.62 
72.00 3837.60 
75.00 3837.51 
78.00 3837.19 
81.00 3837.12 
84.00 3836.99 
87.00 3836.73 
90.00 3836.48 
93.00 3836.14 
96.00 3835.62 
99.00 3834.99 
102.00 3834.72 
105.00 3834.53 
108.00 3834.21 
111.00 3833.96 
114.00 3833.75 
117.00 3833.44 
120.00 3833.09 
123.00 3832.68 
126.00 3831.98 
129.00 3831.40 
132.00 3830.81 
135.00 3830.11 
138.00 3829.62 
141.00 3829.10 
358 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 1119.38 0.040 
1 43 15 29 1095.93 0.040 
1 40 14 27 1209.81 0.040 
1 37 13 25 1415.04 0.040 
1 34 12 23 1823.44 0.040 
1 31 11 21 1492.58 0.040 
1 28 10 19 1245.99 0.040 
1 25 9 17 1377.53 0.040 
1 22 8 15 2096.33 0.040 
1 19 7 13 2743.19 0.040 
1 16 6 11 3372.30 0.040 
1 13 5 9 3281.12 0.040 
1 10 4 7 3940.83 0.040 
1 7 3 5 2746.02 0.040 
1 4 2 3 99.62 0.040 
2 47 17 32 479.62 0.040 
2 44 16 30 1055.58 0.040 
2 41 15 28 1108.96 0.040 
2 38 14 26 1686.07 0.040 
2 35 13 24 1773.09 0.040 
2 32 12 22 1673.54 0.040 
2 29 11 20 1390.05 0.040 
2 26 10 18 1418.95 0.040 
2 23 9 16 10731.68 0.040 
2 17 7 12 3134.50 0.040 
2 14 6 10 2396.47 0.040 
2 11 5 8 2575.71 0.040 
2 5 3 4 3222.77 0.040 
3 48 18 33 775.32 0.040 
3 45 17 31 1096.58 0.040 
3 42 16 29 1271.99 0.040 
3 39 15 27 1399.62 0.040 
3 36 14 25 1767.61 0.040 
3 33 13 23 2053.98 0.040 
3 30 12 21 1647.94 0.040 
3 27 11 19 1284.02 0.040 
3 24 10 17 1548.94 0.040 
3 21 9 15 2351.48 0.040 
3 18 8 13 4041.67 0.040 
3 15 7 11 3444.07 0.040 
3 12 6 9 3246.60 0.040 
3 9 5 7 6806.57 0.040 
3 6 4 5 2920.15 0.040 
4 46 18 32 937.39 0.040 
4 43 17 30 1291.73 0.040 
4 40 16 28 1415.42 0.040 
4 37 15 26 1776.03 0.040 
4 34 14 24 2348.78 0.040 
4 31 13 22 1990.63 0.040 
4 28 12 20 1656.89 0.040 
4 25 11 18 1573.12 0.040 
4 22 10 16 2175.20 0.040 
4 19 9 14 3888.50 0.040 
4 16 8 12 5736.33 0.040 
4 13 7 10 3011.82 0.040 
4 10 6 8 6066.17 0.040 
4 7 5 6 4731.65 0.040 
5 47 19 33 997.31 0.040 
5 44 18 31 1137.32 0.040 
5 41 17 29 1481.78 0.040 
5 38 16 27 1781.26 0.040 
5 35 15 25 2153.89 0.040 
5 32 14 23 2341.45 0.040 
5 29 13 21 2171.97 0.040 
5 26 12 19 1705.55 0.040 
5 23 11 17 2006.81 0.040 
5 20 10 15 3364.97 0.040 
5 17 9 13 6464.94 0.040 
5 14 8 11 4047.94 0.040 
5 11 7 9 3358.99 0.040 
5 8 6 7 13384.75 0.040 
6 48 20 34 1061.59 0.040 
6 45 19 32 1323.65 0.040 
6 42 18 30 1927.89 0.040 
6 39 17 28 1908.77 0.040 
6 36 16 26 2229.28 0.040 
6 33 15 24 2653.11 0.040 
6 30 14 22 2298.12 0.040 
6 27 13 20 2017.45 0.040 
6 24 12 18 1927.08 0.040 
6 21 11 16 2714.81 0.040 
6 18 10 14 5955.14 0.040 
6 15 9 12 6672.74 0.040 
6 12 8 10 3680.32 0.040 
6 9 7 8 8476.14 0.040 
7 46 20 33 1384.40 0.040 
7 43 19 31 1845.81 0.040 
7 40 18 29 2265.20 0.040 
7 37 17 27 2280.34 0.040 
7 34 16 25 2989.34 0.040 
7 31 15 23 2678.68 0.040 
7 28 14 21 2742.09 0.040 
7 25 13 19 2240.09 0.040 
7 22 12 17 2812.50 0.040 
7 19 11 15 6023.56 0.040 
7 16 10 13 8917.59 0.040 
7 13 9 11 7797.00 0.040 
7 10 8 9 15703.52 0.040 
8 47 21 34 1216.38 0.040 
8 44 20 32 1468.63 0.040 
8 41 19 30 1894.71 0.040 
8 38 18 28 2090.32 0.040 
8 35 17 26 2716.93 0.040 
8 32 16 24 3096.07 0.040 
8 29 15 22 2939.48 0.040 
8 26 14 20 2846.49 0.040 
8 23 13 18 3263.95 0.040 
8 20 12 16 4288.77 0.040 
8 17 11 14 9591.38 0.040 
8 14 10 12 10329.56 0.040 
8 11 9 10 8018.09 0.040 
9 48 22 35 1586.34 0.040 
9 45 21 33 1541.47 0.040 
9 42 20 31 1866.81 0.040 
9 39 19 29 2129.60 0.040 
9 36 18 27 2557.69 0.040 
9 33 17 25 3360.05 0.040 
9 30 16 23 2992.77 0.040 
9 27 15 21 2992.68 0.040 
9 24 14 19 3256.94 0.040 
9 21 13 17 3860.73 0.040 
9 18 12 15 8537.89 0.040 
9 15 11 13 8167.76 0.040 
9 12 10 11 9577.70 0.040 
10 46 22 34 1220.21 0.040 
10 43 21 32 1432.96 0.040 
10 40 20 30 1958.25 0.040 
10 37 19 28 2190.62 0.040 
10 34 18 26 3067.93 0.040 
10 31 17 24 3357.06 0.040 
10 28 16 22 3394.36 0.040 
10 25 15 20 3484.83 0.040 
10 22 14 18 3977.47 0.040 
10 19 13 16 6897.57 0.040 
10 16 12 14 8800.28 0.040 
10 13 11 12 7264.62 0.040 
11 47 23 35 1490.71 0.040 
11 44 22 33 1485.88 0.040 
11 41 21 31 1739.87 0.040 
11 38 20 29 2256.24 0.040 
11 35 19 27 2928.98 0.040 
11 32 18 25 3512.26 0.040 
11 29 17 23 4057.88 0.040 
11 26 16 21 4575.30 0.040 
11 23 15 19 4745.96 0.040 
11 20 14 17 5563.13 0.040 
11 17 13 15 12776.17 0.040 
11 14 12 13 6445.82 0.040 
12 48 24 36 1223.30 0.040 
12 45 23 34 1350.71 0.040 
12 42 22 32 1753.46 0.040 
12 39 21 30 2392.20 0.040 
12 36 20 28 2972.94 0.040 
12 33 19 26 3949.31 0.040 
12 30 18 24 4446.02 0.040 
12 27 17 22 6204.20 0.040 
12 24 16 20 7436.93 0.040 
12 21 15 18 7395.49 0.040 
12 18 14 16 10729.05 0.040 
12 15 13 14 9045.30 0.040 
13 46 24 35 1302.95 0.040 
13 43 23 33 1605.24 0.040 
13 40 22 31 2200.99 0.040 
13 37 21 29 2775.30 0.040 
13 34 20 27 3923.00 0.040 
13 31 19 25 4544.27 0.040 
13 28 18 23 5774.57 0.040 
13 25 17 21 8701.99 0.040 
13 22 16 19 8738.76 0.040 
13 19 15 17 8577.59 0.040 
13 16 14 15 11872.37 0.040 
14 47 25 36 1244.07 0.040 
14 44 24 34 1550.28 0.040 
14 41 23 32 2076.10 0.040 
14 38 22 30 2895.72 0.040 
14 35 21 28 3551.93 0.040 
14 32 20 26 4177.95 0.040 
14 29 19 24 5947.17 0.040 
14 26 18 22 7622.07 0.040 
14 23 17 20 11635.72 0.040 
14 20 16 18 10686.29 0.040 
14 17 15 16 9732.17 0.040 
15 48 26 37 1326.10 0.040 
15 45 25 35 1488.60 0.040 
15 42 24 33 1934.32 0.040 
15 39 23 31 2835.64 0.040 
15 36 22 29 3812.20 0.040 
15 33 21 27 4471.77 0.040 
15 30 20 25 4899.82 0.040 
15 27 19 23 7185.39 0.040 
15 24 18 21 11177.79 0.040 
15 21 17 19 13128.02 0.040 
15 18 16 17 10290.68 0.040 
16 46 26 36 1267.47 0.040 
16 43 25 34 1597.53 0.040 
16 40 24 32 2286.27 0.040 
16 37 23 30 3487.17 0.040 
16 34 22 28 4504.18 0.040 
16 31 21 26 4221.36 0.040 
16 28 20 24 5665.31 0.040 
16 25 19 22 8504.56 0.040 
16 22 18 20 10537.13 0.040 
16 19 17 18 14506.80 0.040 
17 47 27 37 1484.77 0.040 
17 44 26 35 1452.85 0.040 
17 41 25 33 1874.12 0.040 
17 38 24 31 2752.13 0.040 
17 35 23 29 4159.42 0.040 
17 32 22 27 4309.43 0.040 
17 29 21 25 4818.88 0.040 
17 26 20 23 6144.96 0.040 
17 23 19 21 10297.02 0.040 
17 20 18 19 8521.55 0.040 
18 48 28 38 1175.31 0.040 
18 45 27 36 1383.00 0.040 
18 42 26 34 1735.05 0.040 
18 39 25 32 2439.90 0.040 
18 36 24 30 4032.86 0.040 
18 33 23 28 4620.28 0.040 
18 30 22 26 4223.28 0.040 
18 27 21 24 5072.42 0.040 
18 24 20 22 7895.03 0.040 
18 21 19 20 11270.82 0.040 
19 46 28 37 1661.14 0.040 
19 43 27 35 1582.51 0.040 
19 40 26 33 2094.09 0.040 
19 37 25 31 3090.37 0.040 
19 34 24 29 4884.25 0.040 
19 31 23 27 4602.83 0.040 
19 28 22 25 5127.91 0.040 
19 25 21 23 6373.37 0.040 
19 22 20 21 7796.18 0.040 
20 47 29 38 1781.05 0.040 
20 44 28 36 1753.91 0.040 
20 41 27 34 1915.40 0.040 
20 38 26 32 2753.84 0.040 
20 35 25 30 4754.40 0.040 
20 32 24 28 4931.60 0.040 
20 29 23 26 5992.92 0.040 
20 26 22 24 7049.20 0.040 
20 23 21 22 7260.66 0.040 
21 48 30 39 1699.46 0.040 
21 45 29 37 2204.21 0.040 
21 42 28 35 2354.70 0.040 
21 39 27 33 2659.67 0.040 
21 36 26 31 4457.01 0.040 
21 33 25 29 5619.52 0.040 
21 30 24 27 5610.51 0.040 
21 27 23 25 6801.83 0.040 
21 24 22 23 7730.20 0.040 
22 46 30 38 2327.60 0.040 
22 43 29 36 2377.75 0.040 
22 40 28 34 2641.93 0.040 
22 37 27 32 3350.78 0.040 
22 34 26 30 6170.71 0.040 
22 31 25 28 5397.83 0.040 
22 28 24 26 6637.08 0.040 
22 25 23 24 8607.51 0.040 
23 47 31 39 2654.39 0.040 
23 44 30 37 2454.27 0.040 
23 41 29 35 2796.65 0.040 
23 38 28 33 3261.89 0.040 
23 35 27 31 4655.44 0.040 
23 32 26 29 5804.62 0.040 
23 29 25 27 7164.74 0.040 
23 26 24 25 8926.37 0.040 
24 48 32 40 2527.54 0.040 
24 45 31 38 2822.99 0.040 
24 42 30 36 2699.50 0.040 
24 39 29 34 3172.11 0.040 
24 36 28 32 4575.59 0.040 
24 33 27 30 5761.07 0.040 
24 30 26 28 6077.86 0.040 
24 27 25 26 7478.25 0.040 
25 46 32 39 3104.80 0.040 
25 43 31 37 3136.22 0.040 
25 40 30 35 2826.80 0.040 
25 37 29 33 3636.58 0.040 
25 34 28 31 5566.65 0.040 
25 31 27 29 4746.34 0.040 
25 28 26 27 8080.43 0.040 
26 47 33 40 3245.60 0.040 
26 44 32 38 3229.47 0.040 
26 41 31 36 2951.48 0.040 
26 38 30 34 2729.42 0.040 
26 35 29 32 4725.31 0.040 
26 32 28 30 5757.85 0.040 
26 29 27 28 6900.01 0.040 
27 48 34 41 3554.11 0.040 
27 45 33 39 4302.77 0.040 
27 42 32 37 3887.61 0.040 
27 39 31 35 3296.09 0.040 
27 36 30 33 3646.98 0.040 
27 33 29 31 5821.26 0.040 
