48 	 # Number of sensors 
# x z 
0.00 3853.46 
5.00 3851.36 
10.00 3849.27 
15.00 3847.14 
20.00 3844.88 
25.00 3842.81 
30.00 3840.61 
35.00 3838.30 
40.00 3835.83 
45.00 3833.39 
50.00 3830.97 
55.00 3828.79 
60.00 3826.43 
65.00 3824.25 
70.00 3821.90 
75.00 3819.85 
80.00 3817.60 
85.00 3815.58 
90.00 3813.53 
95.00 3811.37 
100.00 3809.87 
105.00 3809.78 
110.00 3809.52 
115.00 3809.16 
120.00 3808.53 
125.00 3808.22 
130.00 3807.97 
135.00 3807.69 
140.00 3807.39 
145.00 3807.07 
150.00 3806.83 
155.00 3806.50 
160.00 3806.07 
165.00 3805.52 
170.00 3805.00 
175.00 3804.79 
180.00 3805.13 
185.00 3805.27 
190.00 3805.32 
195.00 3805.35 
200.00 3805.38 
205.00 3805.36 
210.00 3805.22 
215.00 3805.16 
220.00 3805.04 
225.00 3804.85 
230.00 3804.81 
235.00 3804.69 
331 	 # Number of measurements 
# a b m n rhoa err
2 17 7 12 57217.52 0.040 
3 18 8 13 10217.66 0.040 
4 19 9 14 49764.32 0.040 
5 20 10 15 37027.46 0.040 
6 21 11 16 30723.49 0.040 
7 22 12 17 31193.85 0.040 
8 23 13 18 11623.89 0.040 
9 24 14 19 37832.80 0.040 
10 25 15 20 41072.58 0.040 
11 26 16 21 43938.66 0.040 
12 27 17 22 37723.28 0.040 
13 28 18 23 36951.92 0.040 
14 29 19 24 25323.48 0.040 
15 30 20 25 8261.22 0.040 
17 32 22 27 1698.40 0.040 
18 33 23 28 1638.38 0.040 
19 34 24 29 1719.13 0.040 
20 35 25 30 1667.70 0.040 
22 37 27 32 1547.76 0.040 
23 38 28 33 1510.81 0.040 
24 39 29 34 1463.73 0.040 
25 40 30 35 1457.12 0.040 
26 41 31 36 1414.29 0.040 
27 42 32 37 1433.54 0.040 
28 43 33 38 1414.08 0.040 
29 44 34 39 1440.34 0.040 
30 45 35 40 1402.47 0.040 
31 46 36 41 1567.96 0.040 
32 47 37 42 1698.30 0.040 
33 48 38 43 1753.34 0.040 
1 19 7 13 36966.07 0.040 
3 21 9 15 18503.98 0.040 
4 22 10 16 22018.32 0.040 
5 23 11 17 24071.39 0.040 
6 24 12 18 24489.04 0.040 
7 25 13 19 25098.07 0.040 
9 27 15 21 32582.80 0.040 
10 28 16 22 33956.12 0.040 
11 29 17 23 30054.57 0.040 
12 30 18 24 28786.65 0.040 
13 31 19 25 36584.74 0.040 
14 32 20 26 6930.58 0.040 
15 33 21 27 1691.75 0.040 
16 34 22 28 1610.92 0.040 
17 35 23 29 1674.10 0.040 
18 36 24 30 1707.69 0.040 
19 37 25 31 1070.47 0.040 
20 38 26 32 1816.49 0.040 
21 39 27 33 1812.52 0.040 
22 40 28 34 1755.18 0.040 
23 41 29 35 1640.48 0.040 
24 42 30 36 1530.44 0.040 
25 43 31 37 1559.06 0.040 
26 44 32 38 1479.38 0.040 
27 45 33 39 1481.82 0.040 
28 46 34 40 1418.52 0.040 
29 47 35 41 1546.76 0.040 
30 48 36 42 1648.51 0.040 
2 23 9 16 13016.38 0.040 
3 24 10 17 13849.19 0.040 
4 25 11 18 16678.09 0.040 
