48 	 # Number of sensors 
# x z 
0	-21.8
5	-22.17
10	-22.98
15	-24.16
20	-24.67
25	-24.54
30	-24.01
35	-23.17
40	-22.54
45	-21.95
50	-21.14
55	-20.25
60	-19.56
65	-18.55
70	-17.02
75	-16.26
80	-15.19
85	-14.19
90	-13.23
95	-12.53
100	-11.21
105	-10.51
110	-9.63
115	-9.14
120	-8.66
125	-8.31
130	-7.86
135	-7.09
140	-6.68
145	-6.01
150	-5.21
155	-4.83
160	-4.47
165	-3.93
170	-3.16
175	-2.99
180	-2.86
185	-1.77
190	-1.19
195	-0.49
200	-0.05
205	0
210	-0.08
215	-0.2
220	-0.68
225	-0.8
230	-0.6
235	-0.47
354 	 # Number of measurements 
# a b m n rhoa err
32 44 36 40 152005.58 0.001 
33 45 37 41 158036.30 0.001 
34 46 38 42 141111.81 0.001 
35 47 39 43 134937.48 0.001 
36 48 40 44 122059.83 0.001 
1 16 6 11 123770.70 0.001 
2 17 7 12 139606.39 0.001 
3 18 8 13 129021.82 0.001 
4 19 9 14 136261.09 0.001 
5 20 10 15 142715.73 0.001 
6 21 11 16 134621.73 0.001 
7 22 12 17 131766.25 0.001 
8 23 13 18 145377.20 0.001 
9 24 14 19 144356.19 0.001 
10 25 15 20 136205.84 0.001 
11 26 16 21 125726.53 0.001 
12 27 17 22 155651.06 0.001 
13 28 18 23 160688.53 0.001 
14 29 19 24 156448.00 0.001 
15 30 20 25 164901.41 0.001 
16 31 21 26 151218.61 0.001 
17 32 22 27 150006.94 0.001 
18 33 23 28 145729.22 0.001 
19 34 24 29 160068.52 0.001 
20 35 25 30 153446.75 0.001 
21 36 26 31 171333.16 0.001 
22 37 27 32 187220.97 0.001 
23 38 28 33 178631.84 0.001 
24 39 29 34 179405.09 0.001 
25 40 30 35 160605.20 0.001 
26 41 31 36 165175.77 0.001 
27 42 32 37 145604.42 0.001 
28 43 33 38 159182.48 0.001 
29 44 34 39 162683.45 0.001 
30 45 35 40 175737.62 0.001 
31 46 36 41 175553.73 0.001 
32 47 37 42 182735.98 0.001 
33 48 38 43 160158.39 0.001 
1 19 7 13 146645.34 0.001 
2 20 8 14 161570.75 0.001 
3 21 9 15 162499.78 0.001 
4 22 10 16 156128.98 0.001 
5 23 11 17 154157.05 0.001 
6 24 12 18 155142.31 0.001 
7 25 13 19 158155.97 0.001 
8 26 14 20 166010.25 0.001 
9 27 15 21 167202.97 0.001 
10 28 16 22 168441.94 0.001 
11 29 17 23 186277.94 0.001 
12 30 18 24 169779.16 0.001 
13 31 19 25 175738.75 0.001 
14 32 20 26 174909.17 0.001 
15 33 21 27 175269.19 0.001 
16 34 22 28 167578.72 0.001 
17 35 23 29 171510.02 0.001 
18 36 24 30 186662.44 0.001 
19 37 25 31 176063.81 0.001 
20 38 26 32 190777.12 0.001 
21 39 27 33 199095.95 0.001 
22 40 28 34 205524.69 0.001 
23 41 29 35 198917.23 0.001 
24 42 30 36 187258.08 0.001 
25 43 31 37 166218.36 0.001 
26 44 32 38 175962.52 0.001 
27 45 33 39 187152.50 0.001 
28 46 34 40 189804.67 0.001 
29 47 35 41 190261.77 0.001 
30 48 36 42 193583.25 0.001 
1 22 8 15 174789.52 0.001 
2 23 9 16 173855.75 0.001 
3 24 10 17 175018.11 0.001 
4 25 11 18 174416.64 0.001 
5 26 12 19 176909.77 0.001 
6 27 13 20 181975.69 0.001 
7 28 14 21 182509.61 0.001 
9 30 16 23 195352.72 0.001 
10 31 17 24 178583.45 0.001 
11 32 18 25 197252.75 0.001 
12 33 19 26 191403.25 0.001 
13 34 20 27 191060.53 0.001 
14 35 21 28 184565.14 0.001 
15 36 22 29 200457.41 0.001 
16 37 23 30 200559.27 0.001 
17 38 24 31 199697.95 0.001 
18 39 25 32 186882.88 0.001 
19 40 26 33 211081.83 0.001 
20 41 27 34 214245.80 0.001 
21 42 28 35 221973.38 0.001 
22 43 29 36 216603.73 0.001 
23 44 30 37 204487.67 0.001 
24 45 31 38 205782.17 0.001 
25 46 32 39 182814.50 0.001 
26 47 33 40 211166.77 0.001 
27 48 34 41 206116.19 0.001 
1 25 9 17 184823.22 0.001 
2 26 10 18 191272.12 0.001 
3 27 11 19 197402.89 0.001 
4 28 12 20 194334.08 0.001 
5 29 13 21 207083.42 0.001 
6 30 14 22 202829.33 0.001 
7 31 15 23 197095.66 0.001 
9 33 17 25 206758.69 0.001 
10 34 18 26 201893.70 0.001 
11 35 19 27 188269.36 0.001 
12 36 20 28 204978.17 0.001 
13 37 21 29 206553.42 0.001 
14 38 22 30 208404.28 0.001 
15 39 23 31 218770.83 0.001 
16 40 24 32 223236.42 0.001 
18 42 26 34 212791.31 0.001 
19 43 27 35 227754.19 0.001 
20 44 28 36 232029.84 0.001 
21 45 29 37 231537.41 0.001 
22 46 30 38 225301.08 0.001 
23 47 31 39 225702.00 0.001 
24 48 32 40 222000.22 0.001 
1 28 10 19 207991.00 0.001 
2 29 11 20 212734.38 0.001 
3 30 12 21 215177.11 0.001 
4 31 13 22 215157.41 0.001 
5 32 14 23 211405.03 0.001 
6 33 15 24 205928.64 0.001 
7 34 16 25 215044.56 0.001 
8 35 17 26 213395.81 0.001 
9 36 18 27 214520.53 0.001 
10 37 19 28 214786.86 0.001 
11 38 20 29 218376.83 0.001 
12 39 21 30 222607.08 0.001 
13 40 22 31 220713.11 0.001 
14 41 23 32 230215.92 0.001 
15 42 24 33 236514.83 0.001 
16 43 25 34 220728.31 0.001 
18 45 27 36 239874.47 0.001 
19 46 28 37 240949.92 0.001 
20 47 29 38 239727.16 0.001 
21 48 30 39 237901.45 0.001 
1 31 11 21 215824.69 0.001 
2 32 12 22 215490.42 0.001 
3 33 13 23 227489.41 0.001 
4 34 14 24 218791.20 0.001 
5 35 15 25 224942.55 0.001 
6 36 16 26 220136.73 0.001 
7 37 17 27 219883.64 0.001 
8 38 18 28 223723.28 0.001 
9 39 19 29 223374.36 0.001 
10 40 20 30 229052.05 0.001 
11 41 21 31 234959.72 0.001 
13 43 23 33 233643.44 0.001 
14 44 24 34 243834.83 0.001 
15 45 25 35 219283.19 0.001 
16 46 26 36 244130.69 0.001 
17 47 27 37 202093.77 0.001 
18 48 28 38 252606.23 0.001 
1 34 12 23 221354.92 0.001 
2 35 13 24 228170.92 0.001 
3 36 14 25 247007.27 0.001 
4 37 15 26 223647.81 0.001 
5 38 16 27 227688.14 0.001 
6 39 17 28 218353.27 0.001 
7 40 18 29 219523.86 0.001 
8 41 19 30 233459.08 0.001 
9 42 20 31 237932.53 0.001 
10 43 21 32 242900.95 0.001 
11 44 22 33 246775.23 0.001 
12 45 23 34 223319.17 0.001 
13 46 24 35 249857.06 0.001 
14 47 25 36 237810.30 0.001 
15 48 26 37 248198.27 0.001 
1 37 13 25 258222.50 0.001 
2 38 14 26 235761.44 0.001 
3 39 15 27 223918.78 0.001 
4 40 16 28 220556.38 0.001 
5 41 17 29 223216.67 0.001 
6 42 18 30 231758.02 0.001 
7 43 19 31 233811.53 0.001 
8 44 20 32 249498.77 0.001 
9 45 21 33 249417.30 0.001 
10 46 22 34 248306.48 0.001 
11 47 23 35 258106.95 0.001 
12 48 24 36 251058.25 0.001 
1 40 14 27 222042.12 0.001 
2 41 15 28 219228.61 0.001 
3 42 16 29 223923.73 0.001 
4 43 17 30 234202.25 0.001 
5 44 18 31 236870.12 0.001 
6 45 19 32 246261.12 0.001 
7 46 20 33 241482.16 0.001 
8 47 21 34 249487.34 0.001 
9 48 22 35 244442.34 0.001 
1 43 15 29 221202.11 0.001 
2 44 16 30 237355.03 0.001 
3 45 17 31 242414.66 0.001 
4 46 18 32 245166.27 0.001 
5 47 19 33 241791.27 0.001 
6 48 20 34 245039.27 0.001 
1 46 16 31 230945.78 0.001 
2 47 17 32 243844.70 0.001 
3 48 18 33 237593.56 0.001 
