48 	 # Number of sensors 
# x z 
0	0
5	-1.369
10	-3.055
15	-4.783
20	-4.715
25	-5.281
30	-5.522
35	-6.631
40	-6.801
45	-6.848
50	-7.158
55	-8.252
60	-8.375
65	-9.641
70	-10.036
75	-11.028
80	-11.873
85	-11.796
90	-13.964
95	-14.551
100	-13.293
105	-14.114
110	-14.583
115	-15.756
120	-15.992
125	-17.052
130	-18.051
135	-17.988
140	-17.326
145	-17.961
150	-17.992
155	-17.705
160	-17.012
165	-16.159
170	-18.371
175	-19.946
180	-18.674
185	-18.774
190	-18.705
195	-20.053
200	-21.377
205	-22.27
210	-22.846
215	-23.111
220	-22.926
225	-23.811
230	-23.741
235	-23.55
356 	 # Number of measurements 
# a b m n rhoa err
45 33 41 37 5050.00 0.040 
46 34 42 38 4830.60 0.040 
47 35 43 39 5421.80 0.040 
48 36 44 40 5431.50 0.040 
16 1 11 6 11746.00 0.040 
17 2 12 7 11310.00 0.040 
18 3 13 8 9930.20 0.040 
19 4 14 9 12252.00 0.040 
20 5 15 10 10545.00 0.040 
21 6 16 11 11220.00 0.040 
22 7 17 12 10316.00 0.040 
23 8 18 13 9814.20 0.040 
24 9 19 14 7771.90 0.040 
25 10 20 15 8904.90 0.040 
26 11 21 16 8760.60 0.040 
27 12 22 17 8698.30 0.040 
28 13 23 18 7876.20 0.040 
29 14 24 19 7465.50 0.040 
30 15 25 20 6149.80 0.040 
31 16 26 21 6654.20 0.040 
32 17 27 22 6627.80 0.040 
33 18 28 23 6531.90 0.040 
34 19 29 24 7526.60 0.040 
35 20 30 25 7602.60 0.040 
36 21 31 26 7159.70 0.040 
37 22 32 27 6537.20 0.040 
38 23 33 28 5762.40 0.040 
39 24 34 29 5077.70 0.040 
40 25 35 30 5053.50 0.040 
41 26 36 31 5061.70 0.040 
42 27 37 32 5254.80 0.040 
43 28 38 33 5639.40 0.040 
44 29 39 34 6085.40 0.040 
45 30 40 35 5296.80 0.040 
46 31 41 36 5054.00 0.040 
47 32 42 37 5158.60 0.040 
48 33 43 38 5161.20 0.040 
19 1 13 7 9370.40 0.040 
20 2 14 8 10862.00 0.040 
21 3 15 9 10550.00 0.040 
22 4 16 10 10423.00 0.040 
23 5 17 11 8899.30 0.040 
24 6 18 12 9282.80 0.040 
25 7 19 13 10551.00 0.040 
26 8 20 14 7783.80 0.040 
27 9 21 15 7403.40 0.040 
28 10 22 16 7166.10 0.040 
29 11 23 17 7720.60 0.040 
30 12 24 18 7313.60 0.040 
31 13 25 19 5654.90 0.040 
32 14 26 20 6773.30 0.040 
33 15 27 21 7022.30 0.040 
34 16 28 22 7519.40 0.040 
35 17 29 23 6326.50 0.040 
36 18 30 24 6136.00 0.040 
37 19 31 25 6840.20 0.040 
38 20 32 26 6305.50 0.040 
39 21 33 27 5917.40 0.040 
40 22 34 28 4827.70 0.040 
41 23 35 29 5238.50 0.040 
42 24 36 30 4950.20 0.040 
43 25 37 31 4541.50 0.040 
44 26 38 32 4432.20 0.040 
45 27 39 33 4889.10 0.040 
46 28 40 34 5875.70 0.040 
47 29 41 35 5382.60 0.040 
48 30 42 36 5243.40 0.040 
22 1 15 8 9413.80 0.040 
23 2 16 9 9790.10 0.040 
24 3 17 10 9067.70 0.040 
25 4 18 11 9312.40 0.040 
26 5 19 12 8669.00 0.040 
27 6 20 13 9120.80 0.040 
28 7 21 14 6987.20 0.040 
29 8 22 15 7111.10 0.040 
30 9 23 16 6701.80 0.040 
31 10 24 17 6729.90 0.040 
32 11 25 18 6444.40 0.040 
33 12 26 19 6027.80 0.040 
34 13 27 20 6466.80 0.040 
35 14 28 21 7528.70 0.040 
36 15 29 22 6671.20 0.040 
37 16 30 23 5981.00 0.040 
38 17 31 24 6003.30 0.040 
39 18 32 25 6486.60 0.040 
40 19 33 26 6069.00 0.040 
41 20 34 27 4969.30 0.040 
42 21 35 28 4679.20 0.040 
43 22 36 29 4764.40 0.040 
44 23 37 30 4727.00 0.040 
45 24 38 31 4680.60 0.040 
46 25 39 32 4402.20 0.040 
47 26 40 33 4657.50 0.040 
48 27 41 34 5483.30 0.040 
25 1 17 9 9538.30 0.040 
26 2 18 10 9070.60 0.040 
27 3 19 11 8169.10 0.040 
28 4 20 12 7711.00 0.040 
29 5 21 13 7603.50 0.040 
30 6 22 14 6909.80 0.040 
31 7 23 15 7285.30 0.040 
32 8 24 16 6537.60 0.040 
33 9 25 17 5750.50 0.040 
34 10 26 18 6225.20 0.040 
35 11 27 19 6078.50 0.040 
36 12 28 20 6519.40 0.040 
37 13 29 21 6569.30 0.040 
38 14 30 22 6649.80 0.040 
39 15 31 23 5869.30 0.040 
40 16 32 24 5780.50 0.040 
41 17 33 25 6053.70 0.040 
42 18 34 26 5303.40 0.040 
43 19 35 27 5246.10 0.040 
44 20 36 28 4528.10 0.040 
45 21 37 29 4461.10 0.040 
46 22 38 30 4507.50 0.040 
47 23 39 31 4769.50 0.040 
48 24 40 32 4947.70 0.040 
28 1 19 10 8002.60 0.040 
29 2 20 11 7518.10 0.040 
30 3 21 12 7051.10 0.040 
31 4 22 13 7778.40 0.040 
33 6 24 15 6898.40 0.040 
34 7 25 16 6198.40 0.040 
35 8 26 17 5820.90 0.040 
36 9 27 18 5807.80 0.040 
37 10 28 19 6030.00 0.040 
38 11 29 20 6381.10 0.040 
39 12 30 21 6546.60 0.040 
40 13 31 22 5799.00 0.040 
41 14 32 23 5621.60 0.040 
42 15 33 24 5426.00 0.040 
43 16 34 25 5718.00 0.040 
44 17 35 26 5549.40 0.040 
45 18 36 27 5167.10 0.040 
46 19 37 28 4676.70 0.040 
47 20 38 29 4453.50 0.040 
48 21 39 30 4506.20 0.040 
31 1 21 11 7197.10 0.040 
32 2 22 12 7308.30 0.040 
34 4 24 14 6653.30 0.040 
35 5 25 15 5927.10 0.040 
36 6 26 16 5897.00 0.040 
37 7 27 17 6048.60 0.040 
38 8 28 18 6253.40 0.040 
39 9 29 19 5851.90 0.040 
40 10 30 20 5979.00 0.040 
41 11 31 21 6046.20 0.040 
42 12 32 22 5610.00 0.040 
43 13 33 23 5046.10 0.040 
44 14 34 24 5262.80 0.040 
45 15 35 25 5873.70 0.040 
46 16 36 26 5729.20 0.040 
47 17 37 27 5235.10 0.040 
48 18 38 28 4720.10 0.040 
34 1 23 12 7355.80 0.040 
35 2 24 13 7329.30 0.040 
36 3 25 14 5783.80 0.040 
37 4 26 15 6045.40 0.040 
38 5 27 16 5873.20 0.040 
39 6 28 17 6260.20 0.040 
40 7 29 18 6232.40 0.040 
