48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 0.30 
10.00 0.30 
15.00 0.00 
20.00 -0.30 
25.00 -0.20 
30.00 -0.20 
35.00 0.10 
40.00 0.10 
45.00 0.10 
50.00 -0.20 
55.00 -0.30 
60.00 -0.10 
65.00 -0.30 
70.00 -0.40 
74.90 0.40 
79.90 0.70 
84.90 0.60 
89.90 0.80 
94.90 1.10 
99.90 1.60 
104.90 1.70 
109.80 2.00 
114.80 2.40 
119.80 2.60 
124.80 2.90 
129.80 3.20 
134.80 3.60 
139.80 4.20 
144.70 4.40 
149.70 3.80 
154.70 3.80 
159.60 4.70 
164.50 5.80 
169.50 5.80 
174.50 5.40 
179.30 7.00 
183.90 8.90 
187.10 12.70 
192.10 13.00 
197.10 13.00 
202.10 13.10 
207.10 12.40 
212.00 12.20 
217.00 12.70 
221.90 14.00 
226.90 14.00 
231.90 14.00 
335 	 # Number of measurements 
# a b m n rhoa err
3 18 8 13 189368.00 0.040 
4 19 9 14 187422.00 0.040 
5 20 10 15 173372.00 0.040 
6 21 11 16 159104.00 0.040 
7 22 12 17 138110.00 0.040 
8 23 13 18 146294.00 0.040 
9 24 14 19 162944.00 0.040 
10 25 15 20 151514.00 0.040 
11 26 16 21 178521.00 0.040 
13 28 18 23 143086.00 0.040 
14 29 19 24 166076.00 0.040 
15 30 20 25 181994.00 0.040 
16 31 21 26 186532.00 0.040 
18 33 23 28 181006.00 0.040 
19 34 24 29 179259.00 0.040 
20 35 25 30 158459.00 0.040 
21 36 26 31 149967.00 0.040 
22 37 27 32 157788.00 0.040 
23 38 28 33 134715.00 0.040 
24 39 29 34 120042.00 0.040 
25 40 30 35 136575.00 0.040 
26 41 31 36 104245.00 0.040 
28 43 33 38 159808.00 0.040 
29 44 34 39 161451.00 0.040 
30 45 35 40 149447.00 0.040 
31 46 36 41 115799.00 0.040 
32 47 37 42 94814.00 0.040 
33 48 38 43 79367.00 0.040 
1 19 7 13 207991.00 0.040 
2 20 8 14 197433.00 0.040 
3 21 9 15 191555.00 0.040 
4 22 10 16 194224.00 0.040 
5 23 11 17 135853.00 0.040 
6 24 12 18 162379.00 0.040 
7 25 13 19 178613.00 0.040 
8 26 14 20 167275.00 0.040 
9 27 15 21 158218.00 0.040 
10 28 16 22 169249.00 0.040 
12 30 18 24 155725.00 0.040 
13 31 19 25 193285.00 0.040 
14 32 20 26 199328.00 0.040 
15 33 21 27 182178.00 0.040 
