48 	 # Number of sensors 
# x z 
0	-12.51
5	-12.37
10	-13.52
15	-13.47
20	-13.5
25	-12.88
30	-12.92
35	-12.82
40	-13.62
45	-12.96
50	-11.52
55	-10.64
60	-10.19
65	-8.64
70	-6.64
75	-5.66
80	-3.5
85	-3.17
90	-3.11
95	-2.78
100	-2.38
105	-1.68
110	-1.29
115	-0.21
120	-1.3
125	-1.96
130	-0.96
135	0
140	-1.19
145	-2.18
150	-3.3
155	-2.64
160	-3.05
165	-3.02
170	-3.01
175	-3.05
180	-3.48
185	-4.95
190	-6.02
195	-5.53
200	-5.44
205	-5.5
210	-6.38
215	-6.7
220	-7.74
225	-7.88
230	-8.12
235	-8.28
360 	 # Number of measurements 
# a b m n rhoa err
12 30 18 24 21436.66 0.001 
12 27 17 22 43540.78 0.001 
12 24 16 20 44356.12 0.001 
12 21 15 18 49988.32 0.001 
12 18 14 16 66638.65 0.001 
12 15 13 14 54507.46 0.001 
13 46 24 35 9961.09 0.001 
13 43 23 33 12364.62 0.001 
13 40 22 31 15371.26 0.001 
13 37 21 29 18199.57 0.001 
13 34 20 27 15019.80 0.001 
13 31 19 25 19287.58 0.001 
13 28 18 23 43308.00 0.001 
13 25 17 21 49345.30 0.001 
13 22 16 19 54262.98 0.001 
13 19 15 17 64320.67 0.001 
13 16 14 15 61799.32 0.001 
14 47 25 36 12637.38 0.001 
14 44 24 34 13039.13 0.001 
14 41 23 32 16399.11 0.001 
14 38 22 30 22102.45 0.001 
14 35 21 28 16409.01 0.001 
14 32 20 26 17815.02 0.001 
14 29 19 24 32322.94 0.001 
14 26 18 22 47119.23 0.001 
14 23 17 20 53655.00 0.001 
14 20 16 18 59068.61 0.001 
14 17 15 16 57496.27 0.001 
15 48 26 37 16456.74 0.001 
15 45 25 35 16305.63 0.001 
15 42 24 33 17626.72 0.001 
15 39 23 31 23680.63 0.001 
15 36 22 29 26268.20 0.001 
15 33 21 27 16505.93 0.001 
15 30 20 25 24782.33 0.001 
15 27 19 23 42983.90 0.001 
15 24 18 21 52409.89 0.001 
15 21 17 19 56204.56 0.001 
15 18 16 17 53053.30 0.001 
16 46 26 36 20211.71 0.001 
16 43 25 34 20390.54 0.001 
16 40 24 32 24275.83 0.001 
16 37 23 30 31564.88 0.001 
16 34 22 28 21814.37 0.001 
16 31 21 26 19504.96 0.001 
16 28 20 24 42788.49 0.001 
16 25 19 22 43198.66 0.001 
16 22 18 20 50855.62 0.001 
16 19 17 18 47311.34 0.001 
17 47 27 37 25245.92 0.001 
17 44 26 35 25748.49 0.001 
17 41 25 33 25491.22 0.001 
17 38 24 31 30708.36 0.001 
17 35 23 29 36439.08 0.001 
17 32 22 27 18553.74 0.001 
17 29 21 25 27877.71 0.001 
17 26 20 23 36885.33 0.001 
17 23 19 21 42569.37 0.001 
17 20 18 19 42477.42 0.001 
18 48 28 38 27673.79 0.001 
18 45 27 36 30906.02 0.001 
18 42 26 34 28605.90 0.001 
18 39 25 32 33003.13 0.001 
18 36 24 30 39874.72 0.001 
18 33 23 28 24148.14 0.001 
18 30 22 26 21487.22 0.001 
18 27 21 24 33784.77 0.001 
18 24 20 22 33671.26 0.001 
18 21 19 20 28519.05 0.001 
19 46 28 37 33082.55 0.001 
19 43 27 35 36696.42 0.001 
19 40 26 33 35740.54 0.001 
19 37 25 31 39633.67 0.001 
