48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 -0.50 
10.00 1.00 
15.00 2.20 
20.00 2.00 
25.00 3.70 
30.00 4.80 
35.00 5.20 
40.00 5.20 
45.00 5.40 
50.00 7.60 
55.00 8.70 
60.00 10.20 
65.00 10.50 
70.00 10.80 
75.00 10.30 
80.00 11.10 
85.00 13.40 
90.00 15.70 
95.00 15.90 
100.00 16.30 
105.00 16.00 
110.00 18.50 
115.00 19.50 
120.00 19.80 
125.00 20.00 
130.00 22.50 
135.00 23.40 
140.00 24.10 
145.00 25.00 
150.00 26.30 
155.00 26.90 
160.00 27.50 
165.00 28.60 
170.00 29.10 
175.00 30.20 
180.00 30.90 
185.00 31.20 
190.00 32.10 
195.00 32.80 
200.00 33.10 
205.00 34.10 
210.00 34.80 
215.00 35.30 
220.00 36.00 
225.00 36.40 
230.00 36.70 
235.00 37.30 
360 	 # Number of measurements 
# a b m n rhoa err
12 45 23 34 194171.88 0.040 
12 42 22 32 205665.86 0.040 
12 39 21 30 201272.27 0.040 
12 36 20 28 197013.48 0.040 
12 33 19 26 175049.55 0.040 
12 30 18 24 181542.97 0.040 
12 27 17 22 166730.52 0.040 
12 24 16 20 143385.41 0.040 
12 21 15 18 114548.96 0.040 
12 18 14 16 73410.89 0.040 
12 15 13 14 34738.31 0.040 
13 46 24 35 195453.14 0.040 
13 43 23 33 194524.48 0.040 
13 40 22 31 203169.45 0.040 
13 37 21 29 195575.66 0.040 
13 34 20 27 182479.66 0.040 
13 31 19 25 163666.89 0.040 
13 28 18 23 157619.14 0.040 
13 25 17 21 145585.23 0.040 
13 22 16 19 107787.92 0.040 
13 19 15 17 65408.06 0.040 
13 16 14 15 39337.58 0.040 
14 47 25 36 201875.55 0.040 
14 44 24 34 189810.48 0.040 
14 41 23 32 197394.55 0.040 
14 38 22 30 197300.81 0.040 
14 35 21 28 190809.70 0.040 
14 32 20 26 153962.38 0.040 
14 29 19 24 160774.36 0.040 
14 26 18 22 123466.55 0.040 
14 23 17 20 111557.35 0.040 
14 20 16 18 73769.02 0.040 
14 17 15 16 37570.73 0.040 
15 48 26 37 191505.39 0.040 
15 45 25 35 207137.09 0.040 
15 42 24 33 201477.66 0.040 
15 39 23 31 203138.66 0.040 
15 36 22 29 194721.36 0.040 
15 33 21 27 174040.86 0.040 
15 30 20 25 142219.89 0.040 
15 27 19 23 138624.02 0.040 
15 24 18 21 94440.12 0.040 
15 21 17 19 76007.45 0.040 
15 18 16 17 29480.39 0.040 
16 46 26 36 187840.16 0.040 
16 43 25 34 200587.30 0.040 
16 40 24 32 196385.98 0.040 
16 37 23 30 185394.95 0.040 
16 34 22 28 184831.59 0.040 
16 31 21 26 139269.22 0.040 
16 28 20 24 132476.69 0.040 
16 25 19 22 99835.17 0.040 
16 22 18 20 69784.34 0.040 
16 19 17 18 48502.82 0.040 
17 47 27 37 204557.38 0.040 
17 44 26 35 193591.16 0.040 
17 41 25 33 210089.61 0.040 
17 38 24 31 196021.59 0.040 
17 35 23 29 181354.22 0.040 
17 32 22 27 160405.56 0.040 
17 29 21 25 121469.77 0.040 
