48 	 # Number of sensors 
# x z 
0	-43
5	-42
10	-40.12
15	-39.05
20	-37.57
25	-36.09
30	-34.66
35	-33.26
40	-31.8
45	-30.3
50	-28.85
55	-27.58
60	-26.46
65	-25.23
70	-24.09
75	-23.11
80	-22.28
85	-21.57
90	-20.71
95	-19.75
100	-19.06
105	-17.94
110	-16.61
115	-15.56
120	-14.41
125	-13.02
130	-11.81
135	-10.72
140	-9.59
145	-8.52
150	-7.43
155	-6.25
160	-5.26
165	-4.57
170	-3.94
175	-3.5
180	-2.92
185	-2.5
190	-2.19
195	-1.82
200	-1.68
205	-1.65
210	-1.6
215	-1.34
220	-1.15
225	-1.01
230	-0.64
235	-0.38
842 	 # Number of measurements 
# a b m n rhoa err
41 40 45 46 69575.00 0.040 
42 41 46 47 61851.00 0.040 
43 42 47 48 62426.00 0.040 
2 1 7 8 18875.00 0.040 
3 2 8 9 12892.00 0.040 
4 3 9 10 18904.00 0.040 
5 4 10 11 16590.00 0.040 
6 5 11 12 19636.00 0.040 
7 6 12 13 14801.00 0.040 
8 7 13 14 15929.00 0.040 
9 8 14 15 15856.00 0.040 
10 9 15 16 15725.00 0.040 
11 10 16 17 22268.00 0.040 
12 11 17 18 24564.00 0.040 
13 12 18 19 17081.00 0.040 
14 13 19 20 13119.00 0.040 
15 14 20 21 25080.00 0.040 
16 15 21 22 23070.00 0.040 
17 16 22 23 25349.00 0.040 
18 17 23 24 25394.00 0.040 
19 18 24 25 22637.00 0.040 
20 19 25 26 17668.00 0.040 
21 20 26 27 31398.00 0.040 
22 21 27 28 32445.00 0.040 
23 22 28 29 20347.00 0.040 
24 23 29 30 22892.00 0.040 
25 24 30 31 37973.00 0.040 
26 25 31 32 35593.00 0.040 
27 26 32 33 29098.00 0.040 
28 27 33 34 33753.00 0.040 
29 28 34 35 36042.00 0.040 
30 29 35 36 33074.00 0.040 
31 30 36 37 46649.00 0.040 
32 31 37 38 46801.00 0.040 
33 32 38 39 53160.00 0.040 
34 33 39 40 63431.00 0.040 
35 34 40 41 69971.00 0.040 
36 35 41 42 60649.00 0.040 
37 36 42 43 69387.00 0.040 
38 37 43 44 59590.00 0.040 
39 38 44 45 61380.00 0.040 
40 39 45 46 67996.00 0.040 
41 40 46 47 71466.00 0.040 
42 41 47 48 61143.00 0.040 
2 1 8 9 20140.00 0.040 
3 2 9 10 15856.00 0.040 
4 3 10 11 19555.00 0.040 
5 4 11 12 18586.00 0.040 
6 5 12 13 21855.00 0.040 
7 6 13 14 16181.00 0.040 
8 7 14 15 18432.00 0.040 
9 8 15 16 15148.00 0.040 
10 9 16 17 26714.00 0.040 
11 10 17 18 25171.00 0.040 
12 11 18 19 20934.00 0.040 
13 12 19 20 15303.00 0.040 
14 13 20 21 28063.00 0.040 
15 14 21 22 28714.00 0.040 
16 15 22 23 19798.00 0.040 
17 16 23 24 28653.00 0.040 
18 17 24 25 33847.00 0.040 
19 18 25 26 22812.00 0.040 
20 19 26 27 16139.00 0.040 
21 20 27 28 39312.00 0.040 
22 21 28 29 35463.00 0.040 
23 22 29 30 22719.00 0.040 
24 23 30 31 32830.00 0.040 
25 24 31 32 43996.00 0.040 
26 25 32 33 43981.00 0.040 
27 26 33 34 35353.00 0.040 
28 27 34 35 42063.00 0.040 
29 28 35 36 37298.00 0.040 
30 29 36 37 41064.00 0.040 
31 30 37 38 53518.00 0.040 
32 31 38 39 55915.00 0.040 
33 32 39 40 74305.00 0.040 
34 33 40 41 74184.00 0.040 
35 34 41 42 72564.00 0.040 
36 35 42 43 73821.00 0.040 
37 36 43 44 66321.00 0.040 
38 37 44 45 64646.00 0.040 
39 38 45 46 67468.00 0.040 
40 39 46 47 67803.00 0.040 
41 40 47 48 72694.00 0.040 
2 1 9 10 25054.00 0.040 
3 2 10 11 16160.00 0.040 
4 3 11 12 21674.00 0.040 
5 4 12 13 20178.00 0.040 
6 5 13 14 22241.00 0.040 
7 6 14 15 17610.00 0.040 
