48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 1.10 
10.00 1.90 
15.00 1.80 
20.00 1.80 
25.00 1.30 
30.00 2.00 
35.00 2.50 
40.00 3.60 
45.00 3.30 
50.00 3.70 
55.00 4.60 
60.00 5.90 
65.00 6.50 
70.00 7.50 
75.00 8.30 
80.00 9.10 
85.00 10.10 
90.00 11.20 
95.00 12.20 
100.00 12.60 
105.00 12.80 
110.00 13.50 
115.00 14.40 
120.00 15.00 
125.00 16.00 
130.00 17.00 
135.00 18.30 
140.00 19.50 
145.00 20.30 
150.00 21.20 
155.00 21.70 
160.00 22.50 
165.00 23.20 
170.00 24.40 
175.00 24.80 
180.00 26.00 
185.00 27.40 
190.00 29.50 
195.00 30.40 
200.00 31.00 
205.00 32.40 
210.00 33.70 
215.00 35.00 
220.00 35.10 
225.00 35.60 
230.00 35.70 
235.00 35.20 
335 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 3202.60 0.040 
2 5 3 4 4127.40 0.040 
3 6 4 5 2643.00 0.040 
4 7 5 6 4694.40 0.040 
5 8 6 7 2037.80 0.040 
6 9 7 8 3160.00 0.040 
7 10 8 9 2806.00 0.040 
8 11 9 10 1741.70 0.040 
9 12 10 11 3106.50 0.040 
10 13 11 12 2126.00 0.040 
11 14 12 13 2600.00 0.040 
12 15 13 14 2140.30 0.040 
13 16 14 15 2773.40 0.040 
14 17 15 16 2312.20 0.040 
15 18 16 17 2697.00 0.040 
17 20 18 19 3210.70 0.040 
18 21 19 20 4690.70 0.040 
19 22 20 21 3729.30 0.040 
20 23 21 22 3901.00 0.040 
21 24 22 23 3504.90 0.040 
23 26 24 25 3255.80 0.040 
24 27 25 26 2857.50 0.040 
25 28 26 27 3638.50 0.040 
26 29 27 28 3806.00 0.040 
27 30 28 29 4301.90 0.040 
28 31 29 30 3684.50 0.040 
29 32 30 31 4413.90 0.040 
30 33 31 32 3612.80 0.040 
31 34 32 33 4213.90 0.040 
33 36 34 35 4809.40 0.040 
34 37 35 36 3541.90 0.040 
35 38 36 37 7050.20 0.040 
36 39 37 38 7637.60 0.040 
37 40 38 39 8409.80 0.040 
38 41 39 40 8345.70 0.040 
39 42 40 41 9244.70 0.040 
40 43 41 42 8110.80 0.040 
41 44 42 43 6541.40 0.040 
42 45 43 44 7021.70 0.040 
43 46 44 45 8069.70 0.040 
44 47 45 46 7388.50 0.040 
45 48 46 47 6718.40 0.040 
1 7 3 5 2682.90 0.040 
2 8 4 6 3149.30 0.040 
3 9 5 7 3252.30 0.040 
4 10 6 8 2753.70 0.040 
5 11 7 9 2410.20 0.040 
6 12 8 10 1982.00 0.040 
7 13 9 11 1967.40 0.040 
8 14 10 12 2312.20 0.040 
9 15 11 13 2165.90 0.040 
10 16 12 14 1898.40 0.040 
11 17 13 15 2223.70 0.040 
12 18 14 16 2626.90 0.040 
13 19 15 17 3120.20 0.040 
14 20 16 18 3684.30 0.040 
15 21 17 19 3807.40 0.040 
16 22 18 20 3793.90 0.040 
17 23 19 21 3887.80 0.040 
19 25 21 23 4436.40 0.040 
20 26 22 24 4749.20 0.040 
21 27 23 25 4466.20 0.040 
22 28 24 26 4193.30 0.040 
23 29 25 27 4451.10 0.040 
24 30 26 28 5546.70 0.040 
25 31 27 29 5683.10 0.040 
26 32 28 30 5709.40 0.040 
27 33 29 31 5898.90 0.040 
28 34 30 32 6226.50 0.040 
30 36 32 34 7040.00 0.040 
31 37 33 35 7529.00 0.040 
33 39 35 37 8611.90 0.040 
34 40 36 38 10255.00 0.040 
36 42 38 40 8977.50 0.040 
38 44 40 42 12764.00 0.040 
39 45 41 43 11381.00 0.040 
40 46 42 44 10627.00 0.040 
41 47 43 45 12805.00 0.040 
42 48 44 46 13909.00 0.040 
1 10 4 7 2496.30 0.040 
2 11 5 8 2946.40 0.040 
3 12 6 9 2429.40 0.040 
4 13 7 10 2234.00 0.040 
5 14 8 11 1946.80 0.040 
6 15 9 12 2152.10 0.040 
7 16 10 13 2249.70 0.040 
8 17 11 14 2058.40 0.040 
9 18 12 15 2269.70 0.040 
10 19 13 16 2569.50 0.040 
11 20 14 17 3027.60 0.040 
13 22 16 19 3619.40 0.040 
14 23 17 20 3535.60 0.040 
15 24 18 21 3235.80 0.040 
16 25 19 22 3627.60 0.040 
17 26 20 23 4137.40 0.040 
18 27 21 24 5036.20 0.040 
19 28 22 25 5330.20 0.040 
20 29 23 26 5256.60 0.040 
21 30 24 27 5509.30 0.040 
22 31 25 28 6037.00 0.040 
23 32 26 29 6949.00 0.040 
24 33 27 30 6930.20 0.040 
25 34 28 31 7103.50 0.040 
28 37 31 34 7946.10 0.040 
29 38 32 35 9305.70 0.040 
30 39 33 36 8742.00 0.040 
31 40 34 37 10595.00 0.040 
33 42 36 39 12365.00 0.040 
34 43 37 40 12535.00 0.040 
36 45 39 42 13736.00 0.040 
37 46 40 43 15037.00 0.040 
38 47 41 44 14911.00 0.040 
39 48 42 45 15812.00 0.040 
1 13 5 9 2390.30 0.040 
2 14 6 10 2149.60 0.040 
3 15 7 11 2293.60 0.040 
4 16 8 12 2171.80 0.040 
