48 	 # Number of sensors 
# x z 
0	-5.451
2	-5.775
3.8	-5.038
5.8	-4.953
7.8	-4.701
9.8	-4.549
11.8	-4.455
13.8	-4.514
15.8	-4.185
17.8	-4.249
19.8	-4.464
21.8	-4.706
23.7	-4.973
25.7	-5.242
27.7	-5.377
29.6	-5.897
31.6	-5.526
32.9	-5.4
34.9	-5.1
36.7	-4.269
38.7	-4.072
40.3	-2.888
42.1	-1.937
43.9	-1.247
45.9	-0.786
47.9	-0.828
49.9	-0.744
51.9	-0.705
53.9	-0.635
55.9	-0.626
57.9	-0.587
59.9	-0.573
61.9	-0.634
63.9	-0.858
65.9	-1.052
67.8	-0.821
69.8	-0.684
71.8	-0.389
73.8	-0.316
75.8	-0.669
77.8	-0.731
79.8	-0.739
81.8	-0.814
83.8	-0.741
85.8	-0.431
87.8	-0.533
89.7	0
91.7	-0.022
360 	 # Number of measurements 
# a b m n rhoa err
12 24 16 20 978.32 0.040 
12 21 15 18 1561.84 0.040 
12 18 14 16 1782.89 0.040 
12 15 13 14 1625.20 0.040 
13 46 24 35 202.63 0.040 
13 43 23 33 252.75 0.040 
13 40 22 31 354.96 0.040 
13 37 21 29 416.68 0.040 
13 34 20 27 443.73 0.040 
13 31 19 25 582.16 0.040 
13 28 18 23 977.23 0.040 
13 25 17 21 1002.07 0.040 
13 22 16 19 1434.89 0.040 
13 19 15 17 1689.12 0.040 
13 16 14 15 1692.95 0.040 
14 47 25 36 211.75 0.040 
14 44 24 34 286.17 0.040 
14 41 23 32 341.78 0.040 
14 38 22 30 431.94 0.040 
14 35 21 28 515.39 0.040 
14 32 20 26 515.21 0.040 
14 29 19 24 864.48 0.040 
14 26 18 22 1107.52 0.040 
14 23 17 20 1431.39 0.040 
14 20 16 18 1877.17 0.040 
14 17 15 16 1645.36 0.040 
15 48 26 37 218.48 0.040 
15 45 25 35 263.66 0.040 
15 42 24 33 319.46 0.040 
15 39 23 31 469.10 0.040 
15 36 22 29 531.91 0.040 
15 33 21 27 560.77 0.040 
15 30 20 25 785.01 0.040 
15 27 19 23 1270.68 0.040 
15 24 18 21 1213.01 0.040 
15 21 17 19 2040.11 0.040 
15 18 16 17 1554.63 0.040 
16 46 26 36 282.46 0.040 
16 43 25 34 330.89 0.040 
16 40 24 32 400.25 0.040 
16 37 23 30 472.11 0.040 
16 34 22 28 614.20 0.040 
16 31 21 26 663.99 0.040 
16 28 20 24 1223.02 0.040 
16 25 19 22 1292.22 0.040 
16 22 18 20 1851.03 0.040 
16 19 17 18 1961.87 0.040 
17 47 27 37 296.74 0.040 
17 44 26 35 379.94 0.040 
17 41 25 33 415.62 0.040 
17 38 24 31 572.46 0.040 
17 35 23 29 667.19 0.040 
17 32 22 27 646.72 0.040 
17 29 21 25 1034.05 0.040 
17 26 20 23 1437.96 0.040 
17 23 19 21 1577.71 0.040 
17 20 18 19 1769.75 0.040 
18 48 28 38 270.99 0.040 
18 45 27 36 412.30 0.040 
18 42 26 34 484.91 0.040 
18 39 25 32 589.91 0.040 
18 36 24 30 639.49 0.040 
18 33 23 28 773.88 0.040 
18 30 22 26 930.77 0.040 
18 27 21 24 1730.42 0.040 
18 24 20 22 1677.46 0.040 
18 21 19 20 2044.86 0.040 
19 46 28 37 407.41 0.040 
19 43 27 35 499.39 0.040 
19 40 26 33 574.92 0.040 
19 37 25 31 702.98 0.040 
19 34 24 29 836.01 0.040 
19 31 23 27 804.85 0.040 
19 28 22 25 1433.60 0.040 
19 25 21 23 1740.26 0.040 
19 22 20 21 1627.39 0.040 
20 47 29 38 351.04 0.040 
20 44 28 36 592.70 0.040 
20 41 27 34 707.06 0.040 
20 38 26 32 828.76 0.040 
20 35 25 30 885.05 0.040 
20 32 24 28 871.79 0.040 
20 29 23 26 1029.02 0.040 
20 26 22 24 1678.88 0.040 
20 23 21 22 1822.21 0.040 
21 48 30 39 356.05 0.040 
21 45 29 37 528.96 0.040 
21 42 28 35 673.67 0.040 
21 39 27 33 871.77 0.040 
21 36 26 31 1038.12 0.040 
21 33 25 29 1052.51 0.040 
21 30 24 27 892.05 0.040 
21 27 23 25 1339.89 0.040 
21 24 22 23 1283.29 0.040 
22 46 30 38 476.07 0.040 
22 43 29 36 673.12 0.040 
22 40 28 34 883.46 0.040 
22 37 27 32 1078.00 0.040 
22 34 26 30 1197.27 0.040 
22 31 25 28 1053.97 0.040 
22 28 24 26 979.23 0.040 
22 25 23 24 1183.74 0.040 
23 47 31 39 485.49 0.040 
23 44 30 37 782.44 0.040 
23 41 29 35 858.26 0.040 
23 38 28 33 1138.17 0.040 
23 35 27 31 1551.59 0.040 
23 32 26 29 1355.71 0.040 
23 29 25 27 946.80 0.040 
23 26 24 25 756.46 0.040 
24 48 32 40 481.98 0.040 
24 45 31 38 603.10 0.040 
24 42 30 36 903.65 0.040 
24 39 29 34 1111.10 0.040 
24 36 28 32 1369.30 0.040 
24 33 27 30 1554.19 0.040 
24 30 26 28 1370.99 0.040 
24 27 25 26 625.04 0.040 
25 46 32 39 599.74 0.040 
25 43 31 37 804.64 0.040 
25 40 30 35 944.92 0.040 
25 37 29 33 1033.46 0.040 
25 34 28 31 1586.04 0.040 
25 31 27 29 1535.92 0.040 
25 28 26 27 918.69 0.040 
26 47 33 40 612.41 0.040 
26 44 32 38 748.94 0.040 
26 41 31 36 966.14 0.040 
26 38 30 34 1157.98 0.040 
26 35 29 32 1228.18 0.040 
26 32 28 30 1188.86 0.040 
26 29 27 28 1137.06 0.040 
27 48 34 41 569.79 0.040 
27 45 33 39 804.33 0.040 
27 42 32 37 1020.94 0.040 
27 39 31 35 1112.15 0.040 
27 36 30 33 1178.99 0.040 
27 33 29 31 1434.55 0.040 
27 30 28 29 1500.32 0.040 
28 46 34 40 898.87 0.040 
28 43 33 38 966.95 0.040 
28 40 32 36 1209.23 0.040 
28 37 31 34 1180.40 0.040 
28 34 30 32 1462.44 0.040 
28 31 29 30 1114.01 0.040 
29 47 35 41 922.43 0.040 
29 44 34 39 1273.32 0.040 
29 41 33 37 1528.14 0.040 
29 38 32 35 1389.72 0.040 
29 35 31 33 1240.28 0.040 
29 32 30 31 1345.06 0.040 
30 48 36 42 831.06 0.040 
30 45 35 40 1281.27 0.040 
30 42 34 38 1276.16 0.040 
30 39 33 36 1728.19 0.040 
30 36 32 34 1325.27 0.040 
30 33 31 32 951.12 0.040 
31 46 36 41 1239.03 0.040 
31 43 35 39 1511.33 0.040 
31 40 34 37 1758.67 0.040 
31 37 33 35 1428.94 0.040 
31 34 32 33 851.86 0.040 
32 47 37 42 1101.21 0.040 
32 44 36 40 1729.99 0.040 
32 41 35 38 1566.24 0.040 
32 38 34 36 1685.77 0.040 
32 35 33 34 1138.83 0.040 
33 48 38 43 1174.38 0.040 
33 45 37 41 1444.91 0.040 
33 42 36 39 1653.64 0.040 
33 39 35 37 1976.70 0.040 
33 36 34 35 1012.14 0.040 
34 46 38 42 1637.39 0.040 
34 43 37 40 1721.15 0.040 
34 40 36 38 1403.11 0.040 
34 37 35 36 1276.50 0.040 
35 47 39 43 1682.54 0.040 
35 44 38 41 2131.31 0.040 
35 41 37 39 1588.10 0.040 
35 38 36 37 1418.32 0.040 
36 48 40 44 1378.83 0.040 
36 45 39 42 2233.01 0.040 
36 42 38 40 2384.28 0.040 
36 39 37 38 926.40 0.040 
37 46 40 43 2050.54 0.040 
37 43 39 41 2251.90 0.040 
37 40 38 39 1437.24 0.040 
38 47 41 44 1729.16 0.040 
38 44 40 42 1989.18 0.040 
38 41 39 40 1798.60 0.040 
39 48 42 45 2183.05 0.040 
39 45 41 43 2579.63 0.040 
39 42 40 41 1543.76 0.040 
40 46 42 44 2158.46 0.040 
40 43 41 42 1761.48 0.040 
41 47 43 45 2573.86 0.040 
41 44 42 43 2342.34 0.040 
42 48 44 46 2919.12 0.040 
42 45 43 44 1476.63 0.040 
43 46 44 45 2970.03 0.040 
44 47 45 46 2466.89 0.040 
45 48 46 47 2662.66 0.040 
