Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E21 test1;G9;;;;;72.81003946;37.41500795;4523.197;Global;0.013;0.017;0.012;0.021;1.134;m;FIX;2023-08-16 06:15:51.0 UTC+02:00;2023-08-16 06:16:01.0 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;17.431;Global CS
E22 test1;G10;;;;;72.80999701;37.41503755;4523.78;Global;0.02;0.017;0.01;0.026;1.134;m;FIX;2023-08-16 06:16:22.0 UTC+02:00;2023-08-16 06:16:32.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;12.411;Global CS
E23 test1;G11;;;;;72.80995216;37.41506528;4524.401;Global;0.016;0.018;0.011;0.024;1.134;m;FIX;2023-08-16 06:16:52.0 UTC+02:00;2023-08-16 06:17:02.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;7.393;Global CS
E24 test1;G12;;;;;72.8099115;37.41509395;4525.369;Global;0.023;0.021;0.014;0.031;1.134;m;FIX;2023-08-16 06:17:29.0 UTC+02:00;2023-08-16 06:17:39.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;2.83;Global CS
E25 test1;G13;;;;;72.80986615;37.41512224;4525.99;Global;0.027;0.013;0.011;0.03;1.134;m;FIX;2023-08-16 06:18:28.2 UTC+02:00;2023-08-16 06:18:38.2 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;3.084;Global CS
E26 test1;G14;;;;;72.80982478;37.41515171;4526.717;Global;0.025;0.016;0.01;0.029;1.134;m;FIX;2023-08-16 06:19:01.0 UTC+02:00;2023-08-16 06:19:11.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;7.844;Global CS
E27 test1;G15;;;;;72.80978218;37.41518122;4527.107;Global;0.025;0.022;0.012;0.033;1.134;m;FIX;2023-08-16 06:19:36.0 UTC+02:00;2023-08-16 06:19:46.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;12.772;Global CS
E28 test1;G16;;;;;72.80973951;37.41521067;4527.628;Global;0.023;0.013;0.014;0.026;1.134;m;FIX;2023-08-16 06:20:08.0 UTC+02:00;2023-08-16 06:20:18.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;17.755;Global CS
E29 test1;G17;;;;;72.80969563;37.41523808;4528.239;Global;0.012;0.019;0.011;0.023;1.134;m;FIX;2023-08-16 06:20:44.0 UTC+02:00;2023-08-16 06:20:54.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;22.711;Global CS
E30 test1;G18;;;;;72.8096521;37.41526644;4528.756;Global;0.026;0.02;0.012;0.033;1.134;m;FIX;2023-08-16 06:21:17.6 UTC+02:00;2023-08-16 06:21:27.6 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;27.703;Global CS
E31 test1;G19;;;;;72.80960977;37.4152964;4529.443;Global;0.013;0.013;0.011;0.018;1.134;m;FIX;2023-08-16 06:21:46.8 UTC+02:00;2023-08-16 06:21:56.8 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;32.765;Global CS
E32 test1;G20;;;;;72.80956881;37.41532596;4529.93;Global;0.014;0.02;0.011;0.024;1.134;m;FIX;2023-08-16 06:22:18.0 UTC+02:00;2023-08-16 06:22:28.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;37.665;Global CS
E33 test1;G21;;;;;72.80952762;37.41535632;4530.513;Global;0.011;0.018;0.013;0.021;1.134;m;FIX;2023-08-16 06:22:50.8 UTC+02:00;2023-08-16 06:23:00.8 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;42.663;Global CS
E34 test1;G22;;;;;72.80948594;37.41538644;4531.057;Global;0.012;0.012;0.012;0.017;1.134;m;FIX;2023-08-16 06:23:22.2 UTC+02:00;2023-08-16 06:23:32.2 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;47.682;Global CS
E35 test1;G23;;;;;72.80944582;37.41541787;4531.636;Global;0.012;0.016;0.011;0.02;1.134;m;FIX;2023-08-16 06:24:01.6 UTC+02:00;2023-08-16 06:24:11.6 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;52.672;Global CS
E36 test1;G24;;;;;72.80940332;37.41544583;4532.244;Global;0.018;0.016;0.012;0.024;1.134;m;FIX;2023-08-16 06:24:33.0 UTC+02:00;2023-08-16 06:24:43.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;57.619;Global CS
E37 test1;;;;;;72.80936081;37.41547577;4532.88;Global;0.012;0.017;0.014;0.021;1.134;m;FIX;2023-08-16 06:25:06.0 UTC+02:00;2023-08-16 06:25:16.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;62.683;Global CS
E38 test1;;;;;;72.80931812;37.41550391;4533.563;Global;0.013;0.013;0.012;0.018;1.134;m;FIX;2023-08-16 06:25:36.8 UTC+02:00;2023-08-16 06:25:46.8 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;67.624;Global CS
E39 test1;;;;;;72.80927709;37.41553493;4534.148;Global;0.022;0.016;0.011;0.027;1.134;m;FIX;2023-08-16 06:26:08.8 UTC+02:00;2023-08-16 06:26:18.8 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;72.643;Global CS
E40 test1;;;;;;72.80923508;37.41556424;4534.862;Global;0.014;0.025;0.011;0.029;1.134;m;FIX;2023-08-16 06:26:38.8 UTC+02:00;2023-08-16 06:26:48.8 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;77.647;Global CS
E41 test1;;;;;;72.80919365;37.41559282;4535.569;Global;0.02;0.015;0.012;0.025;1.134;m;FIX;2023-08-16 06:27:09.8 UTC+02:00;2023-08-16 06:27:19.8 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;82.541;Global CS
E42 test1;;;;;;72.80915079;37.41562135;4536.235;Global;0.012;0.013;0.012;0.018;1.134;m;FIX;2023-08-16 06:27:41.4 UTC+02:00;2023-08-16 06:27:51.4 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;87.541;Global CS
E43 test1;;;;;;72.80910841;37.41565094;4537.008;Global;0.014;0.017;0.011;0.021;1.134;m;FIX;2023-08-16 06:28:18.2 UTC+02:00;2023-08-16 06:28:28.2 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;92.591;Global CS
E44 test1;;;;;;72.80906843;37.41568185;4537.707;Global;0.012;0.011;0.011;0.016;1.134;m;FIX;2023-08-16 06:28:58.4 UTC+02:00;2023-08-16 06:29:08.4 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;97.577;Global CS
E45 test1;;;;;;72.80902689;37.41571158;4538.592;Global;0.014;0.014;0.01;0.019;1.134;m;FIX;2023-08-16 06:29:31.6 UTC+02:00;2023-08-16 06:29:41.6 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;102.599;Global CS
E46 test1;;;;;;72.80898525;37.41574012;4539.474;Global;0.013;0.018;0.013;0.022;1.134;m;FIX;2023-08-16 06:30:07.0 UTC+02:00;2023-08-16 06:30:17.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;107.515;Global CS
E47 test1;;;;;;72.80894393;37.41576975;4540.123;Global;0.016;0.014;0.011;0.021;1.134;m;FIX;2023-08-16 06:30:39.2 UTC+02:00;2023-08-16 06:30:49.2 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;112.48;Global CS
E48 test1;;;;;;72.80890121;37.41579722;4540.768;Global;0.014;0.012;0.011;0.019;1.134;m;FIX;2023-08-16 06:31:13.2 UTC+02:00;2023-08-16 06:31:23.2 UTC+02:00;51;1;;;;72.80988922;37.41510892;4525.326;117.396;Global CS
