Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
E01,,,,,,73.44233022,39.20261855,4237.959,Global,0.136,0.111,0.272,0.175,1.134,m,SINGLE,2024-08-18 08:20:42.6 UTC+02:00,2024-08-18 08:20:47.6 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E02,,,,,,73.44237297,39.20258718,4238.558,Global,0.130,0.101,0.254,0.165,1.134,m,SINGLE,2024-08-18 08:21:07.6 UTC+02:00,2024-08-18 08:21:12.6 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E03,,,,,,73.44241430,39.20255857,4237.997,Global,0.130,0.112,0.262,0.171,1.134,m,SINGLE,2024-08-18 08:21:27.6 UTC+02:00,2024-08-18 08:21:32.6 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E04,,,,,,73.44245740,39.20252699,4238.425,Global,0.120,0.102,0.249,0.158,1.134,m,SINGLE,2024-08-18 08:21:49.6 UTC+02:00,2024-08-18 08:21:54.6 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E05,,,,,,73.44250105,39.20249293,4238.788,Global,0.125,0.098,0.242,0.159,1.134,m,SINGLE,2024-08-18 08:22:09.0 UTC+02:00,2024-08-18 08:22:14.0 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E06,,,,,,73.44254285,39.20245962,4238.430,Global,0.120,0.099,0.242,0.156,1.134,m,SINGLE,2024-08-18 08:22:27.8 UTC+02:00,2024-08-18 08:22:32.8 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E07,,,,,,73.44257927,39.20242669,4238.043,Global,0.122,0.101,0.241,0.159,1.134,m,SINGLE,2024-08-18 08:22:47.4 UTC+02:00,2024-08-18 08:22:52.4 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E08,,,,,,73.44261661,39.20239367,4237.890,Global,0.121,0.112,0.273,0.165,1.134,m,SINGLE,2024-08-18 08:23:07.0 UTC+02:00,2024-08-18 08:23:12.0 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E09,,,,,,73.44265910,39.20235949,4237.395,Global,0.122,0.101,0.237,0.158,1.134,m,SINGLE,2024-08-18 08:23:26.8 UTC+02:00,2024-08-18 08:23:31.8 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E10,,,,,,73.44270279,39.20233737,4235.924,Global,0.123,0.142,0.317,0.188,1.134,m,SINGLE,2024-08-18 08:23:49.6 UTC+02:00,2024-08-18 08:23:54.6 UTC+02:00,26,1.1,1.2,,,,,,,,,Global CS,,,,,
E11,,,,,,73.44274080,39.20231195,4234.800,Global,0.131,0.114,0.276,0.173,1.134,m,SINGLE,2024-08-18 08:24:10.4 UTC+02:00,2024-08-18 08:24:15.4 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E12,,,,,,73.44278224,39.20228404,4233.889,Global,0.120,0.115,0.266,0.166,1.134,m,SINGLE,2024-08-18 08:24:29.8 UTC+02:00,2024-08-18 08:24:34.8 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
E13,,,,,,73.44282112,39.20225314,4233.530,Global,0.121,0.111,0.265,0.164,1.134,m,SINGLE,2024-08-18 08:24:46.4 UTC+02:00,2024-08-18 08:24:51.4 UTC+02:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,
