Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E23;G10;;;;;77.76193782;41.77746943;3968.747;0.013;0.012;0.014;0.018;1.134;m;FIX;2023-07-12 09:44:45.0 UTC+06:00;2023-07-12 09:44:56.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;107.382;Global CS
E24;G11;;;;;77.76191772;41.77742626;3968.501;0.013;0.01;0.01;0.017;1.134;m;FIX;2023-07-12 09:45:21.0 UTC+06:00;2023-07-12 09:45:32.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;112.338;Global CS
E25;G12;;;;;77.76189293;41.77737818;3968.277;0.011;0.011;0.01;0.016;1.134;m;FIX;2023-07-12 09:46:20.0 UTC+06:00;2023-07-12 09:46:30.0 UTC+06:00;11;1.9;;;;77.76219991;41.77840409;3953.561;117.91;Global CS
E26;G13;;;;;77.7618726;41.77733649;3967.919;0.012;0.011;0.011;0.016;1.134;m;FIX;2023-07-12 09:46:56.0 UTC+06:00;2023-07-12 09:47:07.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;122.717;Global CS
E27;G14;;;;;77.76185781;41.77729472;3967.144;0.011;0.011;0.015;0.015;1.134;m;FIX;2023-07-12 09:47:42.0 UTC+06:00;2023-07-12 09:47:53.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;127.382;Global CS
E28;G15;;;;;77.76183116;41.77725475;3966.622;0.011;0.011;0.013;0.015;1.134;m;FIX;2023-07-12 09:48:41.0 UTC+06:00;2023-07-12 09:48:52.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;132.135;Global CS
E29;G16;;;;;77.76180655;41.77721148;3965.525;0.012;0.011;0.013;0.016;1.134;m;FIX;2023-07-12 09:49:12.0 UTC+06:00;2023-07-12 09:49:23.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;137.143;Global CS
E30;G17;;;;;77.76178428;41.77717331;3964.318;0.011;0.011;0.01;0.016;1.134;m;FIX;2023-07-12 09:49:42.0 UTC+06:00;2023-07-12 09:49:52.0 UTC+06:00;11;1.5;;;;77.76219991;41.77840409;3953.561;141.587;Global CS
E31;G18;;;;;77.76175994;41.77713309;3963.146;0.01;0.01;0.011;0.014;1.134;m;FIX;2023-07-12 09:50:13.0 UTC+06:00;2023-07-12 09:50:15.0 UTC+06:00;3;1.5;;;;77.76219991;41.77840409;3953.561;146.314;Global CS
E32;G19;;;;;77.76173493;41.7770939;3962.228;0.011;0.012;0.011;0.016;1.134;m;FIX;2023-07-12 09:51:18.0 UTC+06:00;2023-07-12 09:51:29.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;150.981;Global CS
E33;G20;;;;;77.76171369;41.77704959;3961.785;0.011;0.012;0.011;0.016;1.134;m;FIX;2023-07-12 09:51:50.0 UTC+06:00;2023-07-12 09:52:00.0 UTC+06:00;11;1.5;;;;77.76219991;41.77840409;3953.561;156.167;Global CS
E34;G21;;;;;77.76169231;41.77700967;3961.742;0.011;0.01;0.014;0.015;1.134;m;FIX;2023-07-12 09:52:23.0 UTC+06:00;2023-07-12 09:52:34.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;160.895;Global CS
E35;G22;;;;;77.76166691;41.776971;3962.032;0.011;0.011;0.012;0.016;1.134;m;FIX;2023-07-12 09:53:12.0 UTC+06:00;2023-07-12 09:53:23.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;165.615;Global CS
E36;G23;;;;;77.76164269;41.77692815;3962.276;0.013;0.01;0.016;0.016;1.134;m;FIX;2023-07-12 09:53:45.0 UTC+06:00;2023-07-12 09:53:56.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;170.738;Global CS
E37;G24;;;;;77.76162348;41.77688474;3962.246;0.01;0.01;0.013;0.014;1.134;m;FIX;2023-07-12 09:54:21.0 UTC+06:00;2023-07-12 09:54:31.0 UTC+06:00;11;1.5;;;;77.76219991;41.77840409;3953.561;175.805;Global CS
E38;;;;;;77.76160255;41.77684407;3962.174;0.011;0.01;0.016;0.015;1.134;m;FIX;2023-07-12 09:54:53.0 UTC+06:00;2023-07-12 09:55:03.0 UTC+06:00;11;1.9;;;;77.76219991;41.77840409;3953.561;180.622;Global CS
E39;;;;;;77.76158227;41.77680091;3961.68;0.01;0.01;0.011;0.015;1.134;m;FIX;2023-07-12 09:55:23.0 UTC+06:00;2023-07-12 09:55:33.0 UTC+06:00;11;1.5;;;;77.76219991;41.77840409;3953.561;185.666;Global CS
E40;;;;;;77.76156556;41.77676028;3960.871;0.013;0.012;0.03;0.018;1.134;m;FIX;2023-07-12 09:56:00.0 UTC+06:00;2023-07-12 09:56:11.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;190.338;Global CS
E41;;;;;;77.76154659;41.77671735;3960.061;0.011;0.01;0.013;0.015;1.134;m;FIX;2023-07-12 09:56:38.0 UTC+06:00;2023-07-12 09:56:48.0 UTC+06:00;11;1.5;;;;77.76219991;41.77840409;3953.561;195.334;Global CS
E42;;;;;;77.76152773;41.77667411;3959.136;0.011;0.013;0.011;0.017;1.134;m;FIX;2023-07-12 09:57:17.0 UTC+06:00;2023-07-12 09:57:27.0 UTC+06:00;11;1.5;;;;77.76219991;41.77840409;3953.561;200.345;Global CS
E43;;;;;;77.76150844;41.77663062;3958.264;0.011;0.012;0.011;0.017;1.134;m;FIX;2023-07-12 09:57:58.0 UTC+06:00;2023-07-12 09:58:09.0 UTC+06:00;12;1.4;;;;77.76219991;41.77840409;3953.561;205.406;Global CS
E44;;;;;;77.76149222;41.7765898;3957.205;0.012;0.012;0.011;0.017;1.134;m;FIX;2023-07-12 09:58:31.0 UTC+06:00;2023-07-12 09:58:42.0 UTC+06:00;12;1.4;;;;77.76219991;41.77840409;3953.561;210.112;Global CS
E45;;;;;;77.7614698;41.7765519;3955.81;0.011;0.011;0.012;0.015;1.134;m;FIX;2023-07-12 09:59:10.0 UTC+06:00;2023-07-12 09:59:20.0 UTC+06:00;11;1.4;;;;77.76219991;41.77840409;3953.561;214.648;Global CS
E46;;;;;;77.76145336;41.77651197;3954.186;0.01;0.012;0.011;0.016;1.134;m;FIX;2023-07-12 09:59:47.0 UTC+06:00;2023-07-12 09:59:57.0 UTC+06:00;11;1.4;;;;77.76219991;41.77840409;3953.561;219.276;Global CS
E47;;;;;;77.76142716;41.77647041;3952.696;0.011;0.011;0.011;0.016;1.134;m;FIX;2023-07-12 10:00:23.0 UTC+06:00;2023-07-12 10:00:33.0 UTC+06:00;11;1.4;;;;77.76219991;41.77840409;3953.561;224.32;Global CS
E48;;;;;;77.76141007;41.77643179;3951.283;0.011;0.011;0.013;0.016;1.134;m;FIX;2023-07-12 10:00:59.0 UTC+06:00;2023-07-12 10:01:10.0 UTC+06:00;12;1.4;;;;77.76219991;41.77840409;3953.561;228.846;Global CS
