4  6.00 0.00 4.00  0.00 52.00  0.00 54.00  0.00 781.54 
4  6.00 0.00 4.00  0.00 54.00  0.00 56.00  0.00 795.54 
4  6.00 0.00 4.00  0.00 56.00  0.00 58.00  0.00 763.61 
4  6.00 0.00 4.00  0.00 58.00  0.00 60.00  0.00 836.41 
4  6.00 0.00 4.00  0.00 60.00  0.00 62.00  0.00 770.02 
4  6.00 0.00 4.00  0.00 62.00  0.00 64.00  0.00 711.52 
4  6.00 0.00 4.00  0.00 64.00  0.00 66.00  0.00 1199.14 
4  6.00 0.00 4.00  0.00 66.00  0.00 68.00  0.00 710.07 
4  6.00 0.00 4.00  0.00 68.00  0.00 70.00  0.00 541.58 
4  6.00 0.00 4.00  0.00 70.00  0.00 72.00  0.00 505.12 
4  8.00 0.00 6.00  0.00 10.00  0.00 12.00  0.00 167.13 
4  8.00 0.00 6.00  0.00 14.00  0.00 16.00  0.00 409.20 
4  8.00 0.00 6.00  0.00 16.00  0.00 18.00  0.00 295.32 
4  8.00 0.00 6.00  0.00 18.00  0.00 20.00  0.00 309.23 
4  8.00 0.00 6.00  0.00 20.00  0.00 22.00  0.00 326.31 
4  8.00 0.00 6.00  0.00 22.00  0.00 24.00  0.00 403.50 
4  8.00 0.00 6.00  0.00 24.00  0.00 26.00  0.00 396.84 
4  8.00 0.00 6.00  0.00 26.00  0.00 28.00  0.00 436.85 
4  8.00 0.00 6.00  0.00 28.00  0.00 30.00  0.00 444.67 
4  8.00 0.00 6.00  0.00 30.00  0.00 32.00  0.00 486.07 
4  8.00 0.00 6.00  0.00 32.00  0.00 34.00  0.00 617.73 
4  8.00 0.00 6.00  0.00 34.00  0.00 36.00  0.00 564.38 
4  8.00 0.00 6.00  0.00 36.00  0.00 38.00  0.00 518.24 
4  8.00 0.00 6.00  0.00 38.00  0.00 40.00  0.00 972.55 
4  8.00 0.00 6.00  0.00 40.00  0.00 42.00  0.00 587.41 
4  8.00 0.00 6.00  0.00 42.00  0.00 44.00  0.00 554.99 
4  8.00 0.00 6.00  0.00 44.00  0.00 46.00  0.00 600.93 
4  8.00 0.00 6.00  0.00 46.00  0.00 48.00  0.00 658.87 
4  8.00 0.00 6.00  0.00 48.00  0.00 50.00  0.00 826.27 
4  8.00 0.00 6.00  0.00 50.00  0.00 52.00  0.00 891.62 
4  8.00 0.00 6.00  0.00 52.00  0.00 54.00  0.00 798.39 
4  8.00 0.00 6.00  0.00 54.00  0.00 56.00  0.00 802.84 
4  8.00 0.00 6.00  0.00 56.00  0.00 58.00  0.00 775.21 
4  8.00 0.00 6.00  0.00 58.00  0.00 60.00  0.00 850.00 
4  8.00 0.00 6.00  0.00 60.00  0.00 62.00  0.00 792.09 
4  8.00 0.00 6.00  0.00 62.00  0.00 64.00  0.00 731.65 
4  8.00 0.00 6.00  0.00 64.00  0.00 66.00  0.00 1232.47 
4  8.00 0.00 6.00  0.00 66.00  0.00 68.00  0.00 728.66 
4  8.00 0.00 6.00  0.00 68.00  0.00 70.00  0.00 565.44 
4  8.00 0.00 6.00  0.00 70.00  0.00 72.00  0.00 530.19 
4  10.00 0.00 8.00  0.00 12.00  0.00 14.00  0.00 115.08 
4  10.00 0.00 8.00  0.00 14.00  0.00 16.00  0.00 239.60 
4  10.00 0.00 8.00  0.00 16.00  0.00 18.00  0.00 229.35 
4  10.00 0.00 8.00  0.00 18.00  0.00 20.00  0.00 248.91 
4  10.00 0.00 8.00  0.00 20.00  0.00 22.00  0.00 269.07 
4  10.00 0.00 8.00  0.00 22.00  0.00 24.00  0.00 345.02 
4  10.00 0.00 8.00  0.00 24.00  0.00 26.00  0.00 334.38 
4  10.00 0.00 8.00  0.00 26.00  0.00 28.00  0.00 371.64 
4  10.00 0.00 8.00  0.00 28.00  0.00 30.00  0.00 384.82 
4  10.00 0.00 8.00  0.00 30.00  0.00 32.00  0.00 421.77 
4  10.00 0.00 8.00  0.00 32.00  0.00 34.00  0.00 525.28 
4  10.00 0.00 8.00  0.00 34.00  0.00 36.00  0.00 475.79 
4  10.00 0.00 8.00  0.00 36.00  0.00 38.00  0.00 427.21 
4  10.00 0.00 8.00  0.00 38.00  0.00 40.00  0.00 818.69 
4  10.00 0.00 8.00  0.00 40.00  0.00 42.00  0.00 512.66 
4  10.00 0.00 8.00  0.00 42.00  0.00 44.00  0.00 472.73 
4  10.00 0.00 8.00  0.00 44.00  0.00 46.00  0.00 520.82 
4  10.00 0.00 8.00  0.00 46.00  0.00 48.00  0.00 564.07 
4  10.00 0.00 8.00  0.00 48.00  0.00 50.00  0.00 698.02 
4  10.00 0.00 8.00  0.00 50.00  0.00 52.00  0.00 748.33 
4  10.00 0.00 8.00  0.00 52.00  0.00 54.00  0.00 689.81 
4  10.00 0.00 8.00  0.00 54.00  0.00 56.00  0.00 681.22 
4  10.00 0.00 8.00  0.00 56.00  0.00 58.00  0.00 665.43 
4  10.00 0.00 8.00  0.00 58.00  0.00 60.00  0.00 730.69 
4  10.00 0.00 8.00  0.00 60.00  0.00 62.00  0.00 690.37 
4  10.00 0.00 8.00  0.00 62.00  0.00 64.00  0.00 637.04 
4  10.00 0.00 8.00  0.00 64.00  0.00 66.00  0.00 1071.18 
4  10.00 0.00 8.00  0.00 66.00  0.00 68.00  0.00 629.83 
4  10.00 0.00 8.00  0.00 68.00  0.00 70.00  0.00 504.88 
4  10.00 0.00 8.00  0.00 70.00  0.00 72.00  0.00 467.52 
4  10.00 0.00 8.00  0.00 72.00  0.00 74.00  0.00 605.88 
4  10.00 0.00 8.00  0.00 74.00  0.00 76.00  0.00 628.85 
4  12.00 0.00 10.00  0.00 14.00  0.00 16.00  0.00 2795.79 
4  12.00 0.00 10.00  0.00 16.00  0.00 18.00  0.00 193.19 
4  12.00 0.00 10.00  0.00 18.00  0.00 20.00  0.00 224.53 
4  12.00 0.00 10.00  0.00 20.00  0.00 22.00  0.00 252.47 
4  12.00 0.00 10.00  0.00 22.00  0.00 24.00  0.00 328.19 
4  12.00 0.00 10.00  0.00 24.00  0.00 26.00  0.00 324.96 
4  12.00 0.00 10.00  0.00 26.00  0.00 28.00  0.00 360.76 
4  12.00 0.00 10.00  0.00 28.00  0.00 30.00  0.00 369.49 
4  12.00 0.00 10.00  0.00 30.00  0.00 32.00  0.00 403.72 
4  12.00 0.00 10.00  0.00 32.00  0.00 34.00  0.00 507.14 
4  12.00 0.00 10.00  0.00 34.00  0.00 36.00  0.00 463.62 
4  12.00 0.00 10.00  0.00 36.00  0.00 38.00  0.00 419.89 
4  12.00 0.00 10.00  0.00 38.00  0.00 40.00  0.00 795.18 
4  12.00 0.00 10.00  0.00 40.00  0.00 42.00  0.00 494.33 
4  12.00 0.00 10.00  0.00 42.00  0.00 44.00  0.00 460.30 
4  12.00 0.00 10.00  0.00 44.00  0.00 46.00  0.00 502.70 
4  12.00 0.00 10.00  0.00 46.00  0.00 48.00  0.00 548.48 
4  12.00 0.00 10.00  0.00 48.00  0.00 50.00  0.00 685.44 
