4  15.00 0.00 10.00  0.00 110.00  0.00 115.00  0.00 426.40 
4  15.00 0.00 10.00  0.00 115.00  0.00 120.00  0.00 497.31 
4  15.00 0.00 10.00  0.00 120.00  0.00 125.00  0.00 533.44 
4  15.00 0.00 10.00  0.00 125.00  0.00 130.00  0.00 985.84 
4  15.00 0.00 10.00  0.00 130.00  0.00 135.00  0.00 921.57 
4  15.00 0.00 10.00  0.00 135.00  0.00 140.00  0.00 773.23 
4  15.00 0.00 10.00  0.00 140.00  0.00 145.00  0.00 746.96 
4  15.00 0.00 10.00  0.00 145.00  0.00 150.00  0.00 553.68 
4  15.00 0.00 10.00  0.00 150.00  0.00 155.00  0.00 656.98 
4  15.00 0.00 10.00  0.00 155.00  0.00 160.00  0.00 515.58 
4  15.00 0.00 10.00  0.00 160.00  0.00 165.00  0.00 531.43 
4  15.00 0.00 10.00  0.00 165.00  0.00 170.00  0.00 700.79 
4  15.00 0.00 10.00  0.00 170.00  0.00 175.00  0.00 692.49 
4  15.00 0.00 10.00  0.00 175.00  0.00 180.00  0.00 601.79 
4  20.00 0.00 15.00  0.00 25.00  0.00 30.00  0.00 135.92 
4  20.00 0.00 15.00  0.00 30.00  0.00 35.00  0.00 146.51 
4  20.00 0.00 15.00  0.00 35.00  0.00 40.00  0.00 211.88 
4  20.00 0.00 15.00  0.00 40.00  0.00 45.00  0.00 289.26 
4  20.00 0.00 15.00  0.00 45.00  0.00 50.00  0.00 216.80 
4  20.00 0.00 15.00  0.00 50.00  0.00 55.00  0.00 439.50 
4  20.00 0.00 15.00  0.00 55.00  0.00 60.00  0.00 565.68 
4  20.00 0.00 15.00  0.00 60.00  0.00 65.00  0.00 216.56 
4  20.00 0.00 15.00  0.00 65.00  0.00 70.00  0.00 386.99 
4  20.00 0.00 15.00  0.00 70.00  0.00 75.00  0.00 455.18 
4  20.00 0.00 15.00  0.00 75.00  0.00 80.00  0.00 335.98 
4  20.00 0.00 15.00  0.00 80.00  0.00 85.00  0.00 215.75 
4  20.00 0.00 15.00  0.00 85.00  0.00 90.00  0.00 343.12 
4  20.00 0.00 15.00  0.00 90.00  0.00 95.00  0.00 597.23 
4  20.00 0.00 15.00  0.00 95.00  0.00 100.00  0.00 687.70 
4  20.00 0.00 15.00  0.00 100.00  0.00 105.00  0.00 359.35 
4  20.00 0.00 15.00  0.00 105.00  0.00 110.00  0.00 360.50 
4  20.00 0.00 15.00  0.00 110.00  0.00 115.00  0.00 315.27 
4  20.00 0.00 15.00  0.00 115.00  0.00 120.00  0.00 348.15 
4  20.00 0.00 15.00  0.00 120.00  0.00 125.00  0.00 370.72 
4  20.00 0.00 15.00  0.00 125.00  0.00 130.00  0.00 659.62 
4  20.00 0.00 15.00  0.00 130.00  0.00 135.00  0.00 622.33 
4  20.00 0.00 15.00  0.00 135.00  0.00 140.00  0.00 529.04 
4  20.00 0.00 15.00  0.00 140.00  0.00 145.00  0.00 510.86 
4  20.00 0.00 15.00  0.00 145.00  0.00 150.00  0.00 397.26 
4  20.00 0.00 15.00  0.00 150.00  0.00 155.00  0.00 479.00 
4  20.00 0.00 15.00  0.00 155.00  0.00 160.00  0.00 392.96 
4  20.00 0.00 15.00  0.00 160.00  0.00 165.00  0.00 389.87 
4  20.00 0.00 15.00  0.00 165.00  0.00 170.00  0.00 501.91 
4  20.00 0.00 15.00  0.00 170.00  0.00 175.00  0.00 496.89 
4  20.00 0.00 15.00  0.00 175.00  0.00 180.00  0.00 444.12 
4  20.00 0.00 15.00  0.00 180.00  0.00 185.00  0.00 474.27 
4  25.00 0.00 20.00  0.00 30.00  0.00 35.00  0.00 145.31 
4  25.00 0.00 20.00  0.00 35.00  0.00 40.00  0.00 273.07 
4  25.00 0.00 20.00  0.00 40.00  0.00 45.00  0.00 417.34 
4  25.00 0.00 20.00  0.00 45.00  0.00 50.00  0.00 338.28 
4  25.00 0.00 20.00  0.00 50.00  0.00 55.00  0.00 688.85 
4  25.00 0.00 20.00  0.00 55.00  0.00 60.00  0.00 908.60 
4  25.00 0.00 20.00  0.00 60.00  0.00 65.00  0.00 359.95 
4  25.00 0.00 20.00  0.00 65.00  0.00 70.00  0.00 653.43 
4  25.00 0.00 20.00  0.00 70.00  0.00 75.00  0.00 778.06 
4  25.00 0.00 20.00  0.00 75.00  0.00 80.00  0.00 584.81 
4  25.00 0.00 20.00  0.00 80.00  0.00 85.00  0.00 376.09 
4  25.00 0.00 20.00  0.00 85.00  0.00 90.00  0.00 604.73 
4  25.00 0.00 20.00  0.00 90.00  0.00 95.00  0.00 1052.80 
4  25.00 0.00 20.00  0.00 95.00  0.00 100.00  0.00 1227.03 
4  25.00 0.00 20.00  0.00 100.00  0.00 105.00  0.00 653.77 
4  25.00 0.00 20.00  0.00 105.00  0.00 110.00  0.00 647.39 
4  25.00 0.00 20.00  0.00 110.00  0.00 115.00  0.00 568.14 
4  25.00 0.00 20.00  0.00 115.00  0.00 120.00  0.00 634.01 
4  25.00 0.00 20.00  0.00 120.00  0.00 125.00  0.00 678.89 
4  25.00 0.00 20.00  0.00 125.00  0.00 130.00  0.00 1218.87 
4  25.00 0.00 20.00  0.00 130.00  0.00 135.00  0.00 1149.70 
4  25.00 0.00 20.00  0.00 135.00  0.00 140.00  0.00 975.89 
4  25.00 0.00 20.00  0.00 140.00  0.00 145.00  0.00 952.48 
4  25.00 0.00 20.00  0.00 145.00  0.00 150.00  0.00 735.99 
4  25.00 0.00 20.00  0.00 150.00  0.00 155.00  0.00 883.23 
4  25.00 0.00 20.00  0.00 155.00  0.00 160.00  0.00 727.92 
4  25.00 0.00 20.00  0.00 160.00  0.00 165.00  0.00 720.40 
4  25.00 0.00 20.00  0.00 165.00  0.00 170.00  0.00 944.66 
4  25.00 0.00 20.00  0.00 170.00  0.00 175.00  0.00 928.07 
4  25.00 0.00 20.00  0.00 175.00  0.00 180.00  0.00 811.80 
4  25.00 0.00 20.00  0.00 180.00  0.00 185.00  0.00 886.20 
4  25.00 0.00 20.00  0.00 185.00  0.00 190.00  0.00 780.02 
4  30.00 0.00 25.00  0.00 35.00  0.00 40.00  0.00 113.26 
4  30.00 0.00 25.00  0.00 40.00  0.00 45.00  0.00 232.20 
4  30.00 0.00 25.00  0.00 45.00  0.00 50.00  0.00 216.89 
4  30.00 0.00 25.00  0.00 50.00  0.00 55.00  0.00 458.51 
4  30.00 0.00 25.00  0.00 55.00  0.00 60.00  0.00 631.02 
4  30.00 0.00 25.00  0.00 60.00  0.00 65.00  0.00 262.02 
4  30.00 0.00 25.00  0.00 65.00  0.00 70.00  0.00 488.53 
4  30.00 0.00 25.00  0.00 70.00  0.00 75.00  0.00 589.99 
4  30.00 0.00 25.00  0.00 75.00  0.00 80.00  0.00 452.26 
4  30.00 0.00 25.00  0.00 80.00  0.00 85.00  0.00 294.72 
4  30.00 0.00 25.00  0.00 85.00  0.00 90.00  0.00 478.95 
4  30.00 0.00 25.00  0.00 90.00  0.00 95.00  0.00 826.73 
4  30.00 0.00 25.00  0.00 95.00  0.00 100.00  0.00 988.30 
4  30.00 0.00 25.00  0.00 100.00  0.00 105.00  0.00 531.66 
4  30.00 0.00 25.00  0.00 105.00  0.00 110.00  0.00 520.35 
4  30.00 0.00 25.00  0.00 110.00  0.00 115.00  0.00 453.36 
4  30.00 0.00 25.00  0.00 115.00  0.00 120.00  0.00 519.55 
4  30.00 0.00 25.00  0.00 120.00  0.00 125.00  0.00 558.68 
4  30.00 0.00 25.00  0.00 125.00  0.00 130.00  0.00 1020.66 
4  30.00 0.00 25.00  0.00 130.00  0.00 135.00  0.00 961.36 
4  30.00 0.00 25.00  0.00 135.00  0.00 140.00  0.00 812.41 
4  30.00 0.00 25.00  0.00 140.00  0.00 145.00  0.00 798.64 
4  30.00 0.00 25.00  0.00 145.00  0.00 150.00  0.00 608.13 
4  30.00 0.00 25.00  0.00 150.00  0.00 155.00  0.00 731.61 
4  30.00 0.00 25.00  0.00 155.00  0.00 160.00  0.00 585.91 
4  30.00 0.00 25.00  0.00 160.00  0.00 165.00  0.00 589.70 
4  30.00 0.00 25.00  0.00 165.00  0.00 170.00  0.00 778.20 
4  30.00 0.00 25.00  0.00 170.00  0.00 175.00  0.00 760.69 
4  30.00 0.00 25.00  0.00 175.00  0.00 180.00  0.00 665.03 
4  30.00 0.00 25.00  0.00 180.00  0.00 185.00  0.00 712.48 
4  30.00 0.00 25.00  0.00 185.00  0.00 190.00  0.00 626.84 
4  30.00 0.00 25.00  0.00 190.00  0.00 195.00  0.00 598.13 
4  35.00 0.00 30.00  0.00 40.00  0.00 45.00  0.00 78.05 
4  35.00 0.00 30.00  0.00 45.00  0.00 50.00  0.00 88.49 
4  35.00 0.00 30.00  0.00 50.00  0.00 55.00  0.00 195.70 
4  35.00 0.00 30.00  0.00 55.00  0.00 60.00  0.00 288.70 
4  35.00 0.00 30.00  0.00 60.00  0.00 65.00  0.00 126.25 
4  35.00 0.00 30.00  0.00 65.00  0.00 70.00  0.00 232.04 
4  35.00 0.00 30.00  0.00 70.00  0.00 75.00  0.00 297.82 
4  35.00 0.00 30.00  0.00 75.00  0.00 80.00  0.00 231.03 
4  35.00 0.00 30.00  0.00 80.00  0.00 85.00  0.00 152.80 
4  35.00 0.00 30.00  0.00 85.00  0.00 90.00  0.00 254.52 
4  35.00 0.00 30.00  0.00 90.00  0.00 95.00  0.00 455.27 
4  35.00 0.00 30.00  0.00 95.00  0.00 100.00  0.00 522.14 
4  35.00 0.00 30.00  0.00 100.00  0.00 105.00  0.00 276.50 
4  35.00 0.00 30.00  0.00 105.00  0.00 110.00  0.00 286.18 
4  35.00 0.00 30.00  0.00 110.00  0.00 115.00  0.00 255.36 
4  35.00 0.00 30.00  0.00 115.00  0.00 120.00  0.00 284.25 
4  35.00 0.00 30.00  0.00 120.00  0.00 125.00  0.00 306.32 
4  35.00 0.00 30.00  0.00 125.00  0.00 130.00  0.00 552.94 
4  35.00 0.00 30.00  0.00 130.00  0.00 135.00  0.00 521.33 
4  35.00 0.00 30.00  0.00 135.00  0.00 140.00  0.00 446.14 
4  35.00 0.00 30.00  0.00 140.00  0.00 145.00  0.00 441.12 
4  35.00 0.00 30.00  0.00 145.00  0.00 150.00  0.00 343.41 
4  35.00 0.00 30.00  0.00 150.00  0.00 155.00  0.00 415.42 
4  35.00 0.00 30.00  0.00 155.00  0.00 160.00  0.00 348.83 
4  35.00 0.00 30.00  0.00 160.00  0.00 165.00  0.00 333.12 
4  35.00 0.00 30.00  0.00 165.00  0.00 170.00  0.00 439.32 
4  35.00 0.00 30.00  0.00 170.00  0.00 175.00  0.00 434.46 
4  35.00 0.00 30.00  0.00 175.00  0.00 180.00  0.00 383.37 
4  35.00 0.00 30.00  0.00 180.00  0.00 185.00  0.00 416.80 
4  35.00 0.00 30.00  0.00 185.00  0.00 190.00  0.00 370.73 
4  35.00 0.00 30.00  0.00 190.00  0.00 195.00  0.00 364.89 
4  35.00 0.00 30.00  0.00 195.00  0.00 200.00  0.00 316.08 
4  40.00 0.00 35.00  0.00 45.00  0.00 50.00  0.00 80.33 
4  40.00 0.00 35.00  0.00 50.00  0.00 55.00  0.00 175.73 
4  40.00 0.00 35.00  0.00 55.00  0.00 60.00  0.00 271.09 
4  40.00 0.00 35.00  0.00 60.00  0.00 65.00  0.00 126.75 
4  40.00 0.00 35.00  0.00 65.00  0.00 70.00  0.00 230.65 
4  40.00 0.00 35.00  0.00 70.00  0.00 75.00  0.00 302.81 
4  40.00 0.00 35.00  0.00 75.00  0.00 80.00  0.00 242.02 
4  40.00 0.00 35.00  0.00 80.00  0.00 85.00  0.00 160.15 
4  40.00 0.00 35.00  0.00 85.00  0.00 90.00  0.00 266.79 
4  40.00 0.00 35.00  0.00 90.00  0.00 95.00  0.00 482.77 
4  40.00 0.00 35.00  0.00 95.00  0.00 100.00  0.00 555.31 
4  40.00 0.00 35.00  0.00 100.00  0.00 105.00  0.00 296.89 
4  40.00 0.00 35.00  0.00 105.00  0.00 110.00  0.00 309.01 
4  40.00 0.00 35.00  0.00 110.00  0.00 115.00  0.00 278.71 
4  40.00 0.00 35.00  0.00 115.00  0.00 120.00  0.00 309.07 
4  40.00 0.00 35.00  0.00 120.00  0.00 125.00  0.00 335.65 
4  40.00 0.00 35.00  0.00 125.00  0.00 130.00  0.00 601.12 
4  40.00 0.00 35.00  0.00 130.00  0.00 135.00  0.00 572.47 
4  40.00 0.00 35.00  0.00 135.00  0.00 140.00  0.00 486.80 
4  40.00 0.00 35.00  0.00 140.00  0.00 145.00  0.00 483.49 
4  40.00 0.00 35.00  0.00 145.00  0.00 150.00  0.00 377.07 
4  40.00 0.00 35.00  0.00 150.00  0.00 155.00  0.00 457.13 
4  40.00 0.00 35.00  0.00 155.00  0.00 160.00  0.00 381.49 
4  40.00 0.00 35.00  0.00 160.00  0.00 165.00  0.00 368.82 
4  40.00 0.00 35.00  0.00 165.00  0.00 170.00  0.00 484.94 
4  40.00 0.00 35.00  0.00 170.00  0.00 175.00  0.00 477.60 
4  40.00 0.00 35.00  0.00 175.00  0.00 180.00  0.00 415.89 
4  40.00 0.00 35.00  0.00 180.00  0.00 185.00  0.00 466.06 
4  40.00 0.00 35.00  0.00 185.00  0.00 190.00  0.00 421.71 
4  40.00 0.00 35.00  0.00 190.00  0.00 195.00  0.00 412.55 
4  40.00 0.00 35.00  0.00 195.00  0.00 200.00  0.00 370.23 
4  40.00 0.00 35.00  0.00 200.00  0.00 205.00  0.00 390.06 
4  45.00 0.00 40.00  0.00 50.00  0.00 55.00  0.00 115.43 
4  45.00 0.00 40.00  0.00 55.00  0.00 60.00  0.00 201.40 
4  45.00 0.00 40.00  0.00 60.00  0.00 65.00  0.00 106.61 
4  45.00 0.00 40.00  0.00 65.00  0.00 70.00  0.00 204.88 
4  45.00 0.00 40.00  0.00 70.00  0.00 75.00  0.00 269.76 
4  45.00 0.00 40.00  0.00 75.00  0.00 80.00  0.00 229.35 
4  45.00 0.00 40.00  0.00 80.00  0.00 85.00  0.00 152.07 
4  45.00 0.00 40.00  0.00 85.00  0.00 90.00  0.00 249.71 
4  45.00 0.00 40.00  0.00 90.00  0.00 95.00  0.00 442.78 
4  45.00 0.00 40.00  0.00 95.00  0.00 100.00  0.00 557.04 
4  45.00 0.00 40.00  0.00 100.00  0.00 105.00  0.00 312.47 
4  45.00 0.00 40.00  0.00 105.00  0.00 110.00  0.00 307.53 
4  45.00 0.00 40.00  0.00 110.00  0.00 115.00  0.00 272.35 
4  45.00 0.00 40.00  0.00 115.00  0.00 120.00  0.00 321.36 
4  45.00 0.00 40.00  0.00 120.00  0.00 125.00  0.00 348.85 
4  45.00 0.00 40.00  0.00 125.00  0.00 130.00  0.00 638.16 
4  45.00 0.00 40.00  0.00 130.00  0.00 135.00  0.00 615.34 
4  45.00 0.00 40.00  0.00 135.00  0.00 140.00  0.00 526.13 
4  45.00 0.00 40.00  0.00 140.00  0.00 145.00  0.00 517.47 
4  45.00 0.00 40.00  0.00 145.00  0.00 150.00  0.00 389.53 
4  45.00 0.00 40.00  0.00 150.00  0.00 155.00  0.00 459.12 
4  45.00 0.00 40.00  0.00 155.00  0.00 160.00  0.00 369.77 
4  45.00 0.00 40.00  0.00 160.00  0.00 165.00  0.00 385.91 
4  45.00 0.00 40.00  0.00 165.00  0.00 170.00  0.00 496.86 
4  45.00 0.00 40.00  0.00 170.00  0.00 175.00  0.00 496.73 
4  45.00 0.00 40.00  0.00 175.00  0.00 180.00  0.00 441.48 
4  45.00 0.00 40.00  0.00 180.00  0.00 185.00  0.00 472.94 
4  45.00 0.00 40.00  0.00 185.00  0.00 190.00  0.00 413.39 
4  45.00 0.00 40.00  0.00 190.00  0.00 195.00  0.00 400.40 
4  45.00 0.00 40.00  0.00 195.00  0.00 200.00  0.00 304.98 
