51 	 # Number of sensors 
# x z 
-9.00 -1.70 
-4.50 -1.35 
0.00 -1.00 
1.50 -0.90 
3.00 -0.80 
4.50 -0.90 
6.00 -1.00 
7.50 -0.95 
9.00 -0.90 
10.50 -0.75 
12.00 -0.60 
13.50 -0.80 
15.00 -1.00 
16.45 -0.85 
17.90 -0.70 
19.40 -0.70 
20.90 -0.70 
22.40 -0.65 
23.90 -0.60 
25.40 -0.45 
26.90 -0.30 
28.40 -0.20 
29.90 -0.10 
31.40 -0.05 
32.90 0.00 
34.40 0.00 
35.90 0.00 
37.40 -0.05 
38.90 -0.10 
40.40 -0.25 
41.90 -0.40 
43.40 -0.45 
44.90 -0.50 
46.40 -0.55 
47.90 -0.60 
49.40 -0.75 
50.90 -0.90 
52.40 -1.00 
53.90 -1.10 
55.35 -1.30 
56.80 -1.50 
58.30 -1.75 
59.80 -2.00 
61.25 -2.30 
62.70 -2.60 
64.20 -2.75 
65.70 -2.90 
67.20 -3.00 
68.70 -3.10 
73.70 -3.25 
78.70 -3.40 
147 	 # Number of measurements 
# s g t err
4 	 1001 	 0.00000 	 0.000
4 	 5 	 0.00349 	 0.000
4 	 11 	 0.00607 	 0.000
4 	 13 	 0.00627 	 0.000
4 	 15 	 0.00713 	 0.000
4 	 17 	 0.00779 	 0.000
4 	 19 	 0.00799 	 0.000
4 	 21 	 0.00875 	 0.000
4 	 23 	 0.00951 	 0.000
4 	 25 	 0.01037 	 0.000
4 	 27 	 0.00986 	 0.000
4 	 29 	 0.01032 	 0.000
4 	 31 	 0.01087 	 0.000
4 	 35 	 0.01188 	 0.000
10 	 3 	 0.00612 	 0.000
10 	 5 	 0.00480 	 0.000
10 	 9 	 0.00283 	 0.000
10 	 1010 	 0.00000 	 0.000
10 	 15 	 0.00566 	 0.000
10 	 17 	 0.00642 	 0.000
10 	 19 	 0.00657 	 0.000
10 	 21 	 0.00718 	 0.000
10 	 23 	 0.00794 	 0.000
10 	 25 	 0.00870 	 0.000
10 	 27 	 0.00925 	 0.000
10 	 35 	 0.01087 	 0.000
10 	 37 	 0.01016 	 0.000
16 	 3 	 0.00860 	 0.000
16 	 5 	 0.00728 	 0.000
16 	 7 	 0.00733 	 0.000
16 	 9 	 0.00647 	 0.000
16 	 11 	 0.00632 	 0.000
16 	 15 	 0.00253 	 0.000
16 	 1019 	 0.00000 	 0.000
16 	 17 	 0.00415 	 0.000
16 	 19 	 0.00531 	 0.000
16 	 21 	 0.00617 	 0.000
16 	 23 	 0.00678 	 0.000
16 	 25 	 0.00769 	 0.000
16 	 27 	 0.00799 	 0.000
16 	 29 	 0.00839 	 0.000
16 	 31 	 0.00895 	 0.000
16 	 33 	 0.00966 	 0.000
16 	 35 	 0.00936 	 0.000
16 	 37 	 0.00971 	 0.000
16 	 41 	 0.01067 	 0.000
16 	 43 	 0.01143 	 0.000
22 	 3 	 0.00981 	 0.000
22 	 5 	 0.00920 	 0.000
22 	 7 	 0.00905 	 0.000
22 	 9 	 0.00845 	 0.000
22 	 11 	 0.00829 	 0.000
22 	 13 	 0.00738 	 0.000
22 	 15 	 0.00733 	 0.000
22 	 17 	 0.00657 	 0.000
22 	 19 	 0.00546 	 0.000
22 	 21 	 0.00137 	 0.000
22 	 1028 	 0.00000 	 0.000
22 	 25 	 0.00491 	 0.000
22 	 27 	 0.00592 	 0.000
