49 	 # Number of sensors 
# x z 
-5.00 0.00 
-2.50 0.00 
0.00 0.00 
2.50 -0.10 
5.00 -0.20 
7.50 -0.25 
10.00 -0.30 
12.50 -0.40 
15.00 -0.50 
17.50 -0.60 
20.00 -0.70 
22.50 -0.75 
25.00 -0.80 
27.50 -0.85 
30.00 -0.90 
32.50 -0.90 
35.00 -0.90 
37.50 -0.90 
40.00 -0.90 
42.50 -0.95 
45.00 -1.00 
47.50 -1.00 
50.00 -1.00 
52.50 -1.05 
55.00 -1.10 
57.50 -1.15 
60.00 -1.20 
62.50 -1.20 
65.00 -1.20 
67.50 -1.20 
70.00 -1.20 
72.50 -1.20 
75.00 -1.20 
77.50 -1.20 
80.00 -1.20 
82.50 -1.25 
85.00 -1.30 
87.50 -1.35 
90.00 -1.40 
92.50 -1.45 
95.00 -1.50 
97.50 -1.55 
100.00 -1.60 
102.50 -1.65 
105.00 -1.70 
107.50 -1.80 
110.00 -1.90 
112.50 -1.95 
115.00 -2.00 
258 	 # Number of measurements 
# s g t err
1 	 995 	 0.00000 	 0.000
1 	 3 	 0.01024 	 0.000
1 	 5 	 0.01201 	 0.000
1 	 7 	 0.01378 	 0.000
1 	 9 	 0.01542 	 0.000
1 	 11 	 0.01656 	 0.000
1 	 13 	 0.01947 	 0.000
1 	 15 	 0.02149 	 0.000
1 	 17 	 0.02225 	 0.000
1 	 19 	 0.02339 	 0.000
1 	 21 	 0.02516 	 0.000
1 	 23 	 0.02604 	 0.000
1 	 25 	 0.02832 	 0.000
1 	 27 	 0.03085 	 0.000
1 	 29 	 0.03148 	 0.000
1 	 31 	 0.03249 	 0.000
4 	 3 	 0.00822 	 0.000
4 	 1002 	 0.00000 	 0.000
4 	 5 	 0.00683 	 0.000
4 	 7 	 0.01239 	 0.000
4 	 9 	 0.01327 	 0.000
4 	 11 	 0.01542 	 0.000
4 	 13 	 0.01757 	 0.000
4 	 15 	 0.01947 	 0.000
4 	 17 	 0.02099 	 0.000
4 	 19 	 0.02225 	 0.000
4 	 21 	 0.02351 	 0.000
4 	 23 	 0.02491 	 0.000
4 	 25 	 0.02655 	 0.000
4 	 27 	 0.02882 	 0.000
4 	 29 	 0.02933 	 0.000
4 	 31 	 0.03110 	 0.000
4 	 33 	 0.03274 	 0.000
4 	 35 	 0.03388 	 0.000
4 	 37 	 0.03464 	 0.000
4 	 39 	 0.03590 	 0.000
8 	 3 	 0.01403 	 0.000
8 	 5 	 0.01290 	 0.000
8 	 7 	 0.00582 	 0.000
8 	 1012 	 0.00000 	 0.000
8 	 9 	 0.00809 	 0.000
8 	 11 	 0.01302 	 0.000
8 	 13 	 0.01580 	 0.000
8 	 15 	 0.01808 	 0.000
8 	 17 	 0.01972 	 0.000
8 	 19 	 0.02111 	 0.000
8 	 21 	 0.02238 	 0.000
8 	 23 	 0.02364 	 0.000
8 	 25 	 0.02554 	 0.000
8 	 27 	 0.02769 	 0.000
8 	 29 	 0.02908 	 0.000
8 	 31 	 0.02946 	 0.000
8 	 33 	 0.03097 	 0.000
8 	 35 	 0.03211 	 0.000
8 	 37 	 0.03375 	 0.000
8 	 39 	 0.03426 	 0.000
8 	 41 	 0.03666 	 0.000
8 	 43 	 0.03818 	 0.000
8 	 45 	 0.04185 	 0.000
8 	 47 	 0.04589 	 0.000
