51 	 # Number of sensors 
# x z 
68.10 -6.64 
70.60 -6.65 
73.10 -6.66 
74.55 -5.58 
76.00 -4.50 
77.45 -3.70 
78.90 -2.90 
80.35 -2.20 
81.80 -1.50 
83.25 -2.00 
84.70 -2.50 
86.15 -2.80 
87.60 -3.11 
89.00 -3.10 
90.40 -3.08 
91.85 -2.99 
93.30 -2.89 
94.75 -2.63 
96.20 -2.38 
97.65 -2.41 
99.10 -2.45 
100.55 -2.07 
102.00 -1.68 
103.45 -1.69 
104.90 -1.69 
106.30 -1.50 
107.70 -1.30 
109.15 -1.00 
110.60 -0.70 
112.05 -0.60 
113.50 -0.50 
114.95 -0.90 
116.40 -1.29 
117.85 -1.45 
119.30 -1.60 
120.75 -1.60 
122.20 -1.59 
123.65 -1.50 
125.10 -1.40 
126.50 -1.10 
127.90 -0.80 
129.35 -0.40 
130.80 0.00 
132.25 -0.30 
133.70 -0.60 
135.15 -0.89 
136.60 -1.19 
138.05 -1.39 
139.50 -1.60 
140.95 -2.00 
142.40 -2.40 
206 	 # Number of measurements 
# s g t err
1 	 995 	 0.00000 	 0.000
1 	 3 	 0.00632 	 0.000
1 	 11 	 0.01087 	 0.000
1 	 15 	 0.01353 	 0.000
1 	 19 	 0.01530 	 0.000
1 	 21 	 0.01542 	 0.000
1 	 23 	 0.01606 	 0.000
1 	 25 	 0.01707 	 0.000
1 	 27 	 0.01820 	 0.000
1 	 29 	 0.01884 	 0.000
1 	 31 	 0.01972 	 0.000
1 	 33 	 0.02124 	 0.000
1 	 35 	 0.02073 	 0.000
1 	 37 	 0.02250 	 0.000
1 	 39 	 0.02238 	 0.000
1 	 41 	 0.02162 	 0.000
1 	 43 	 0.02187 	 0.000
1 	 45 	 0.02250 	 0.000
1 	 47 	 0.02225 	 0.000
1 	 49 	 0.02288 	 0.000
4 	 3 	 0.00405 	 0.000
4 	 1001 	 0.00000 	 0.000
4 	 5 	 0.00544 	 0.000
4 	 11 	 0.00973 	 0.000
4 	 13 	 0.01075 	 0.000
4 	 15 	 0.01239 	 0.000
4 	 17 	 0.01226 	 0.000
4 	 19 	 0.01264 	 0.000
4 	 25 	 0.01542 	 0.000
4 	 27 	 0.01542 	 0.000
4 	 29 	 0.01681 	 0.000
4 	 31 	 0.01745 	 0.000
4 	 33 	 0.01858 	 0.000
4 	 35 	 0.01896 	 0.000
4 	 39 	 0.01884 	 0.000
4 	 43 	 0.02061 	 0.000
