profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidalheight,Averaging start
abra02_2021-08-21_W5m,54,34,71.58444874,39.65093173,,2022-07-25 14:03:35.9 UTC+06:00
abra02_2021-08-21_W5m,55,35,71.58448656,39.65096163,,2022-07-25 14:04:15.8 UTC+06:00
abra02_2021-08-21_W5m,56,36,71.58453165,39.65098746,,2022-07-25 14:04:43.8 UTC+06:00
abra02_2021-08-21_W5m,57,37,71.58457381,39.6510116,,2022-07-25 14:05:05.9 UTC+06:00
abra02_2021-08-21_W5m,58,38,71.58461945,39.65103996,,2022-07-25 14:05:27.8 UTC+06:00
abra02_2021-08-21_W5m,59,39,71.58466337,39.65106821,,2022-07-25 14:05:46.9 UTC+06:00
abra02_2021-08-21_W5m,60,40,71.58471252,39.65109124,,2022-07-25 14:06:11.9 UTC+06:00
abra02_2021-08-21_W5m,61,41,71.58476031,39.65111723,,2022-07-25 14:06:34.9 UTC+06:00
abra02_2021-08-21_W5m,62,42,71.58481049,39.6511424,,2022-07-25 14:06:55.9 UTC+06:00
abra02_2021-08-21_W5m,63,43,71.58485356,39.65116853,,2022-07-25 14:07:18.9 UTC+06:00
abra02_2021-08-21_W5m,64,44,71.58490445,39.65119232,,2022-07-25 14:07:37.9 UTC+06:00
abra02_2021-08-21_W5m,65,,71.58495205,39.65122036,,2022-07-25 14:07:57.9 UTC+06:00
abra02_2021-08-21_W5m,66,,71.58499641,39.65124771,,2022-07-25 14:08:18.9 UTC+06:00
abra02_2021-08-21_W5m,67,,71.58503976,39.65127715,,2022-07-25 14:08:41.9 UTC+06:00
abra02_2021-08-21_W5m,68,,71.5850847,39.65130057,,2022-07-25 14:09:03.9 UTC+06:00
abra02_2021-08-21_W5m,69,,71.5851382,39.65132014,,2022-07-25 14:09:30.9 UTC+06:00
abra02_2021-08-21_W5m,70,,71.58518063,39.65134139,,2022-07-25 14:09:53.9 UTC+06:00
abra02_2021-08-21_W5m,71,,71.58522686,39.651369,,2022-07-25 14:10:23.9 UTC+06:00
abra02_2021-08-21_W5m,72,,71.58527815,39.65138376,,2022-07-25 14:10:46.9 UTC+06:00
