48 	 # Number of sensors 
# x z 
0.00 -9.30 
4.90 -8.60 
9.90 -7.90 
14.90 -7.40 
19.90 -7.10 
24.90 -6.90 
29.90 -6.80 
34.90 -6.70 
39.90 -6.60 
44.90 -6.30 
49.80 -6.20 
54.80 -5.70 
59.80 -5.00 
64.80 -4.50 
69.70 -4.20 
74.70 -3.80 
79.70 -3.20 
84.70 -2.80 
89.70 -2.50 
94.70 -2.20 
99.70 -2.00 
104.60 -1.80 
109.60 -1.60 
114.60 -1.30 
119.60 -1.20 
124.60 -1.00 
129.60 -0.80 
134.60 -0.40 
139.60 -0.30 
144.60 -0.10 
149.60 -0.10 
154.60 0.00 
159.60 -0.40 
164.60 -1.00 
169.50 -1.30 
174.50 -1.40 
179.50 -1.60 
184.50 -1.70 
189.50 -1.60 
194.50 -1.60 
199.50 -1.60 
204.50 -1.70 
209.50 -2.30 
214.50 -2.90 
219.40 -3.40 
224.40 -3.40 
229.40 -3.30 
234.40 -3.20 
792 	 # Number of measurements 
# a b m n rhoa err
2 3 8 9 55.58 0.040 
4 5 10 11 61.62 0.040 
5 6 11 12 34.49 0.040 
7 8 13 14 216.48 0.040 
8 9 14 15 94.88 0.040 
9 10 15 16 68.57 0.040 
10 11 16 17 73.72 0.040 
11 12 17 18 164.10 0.040 
12 13 18 19 346.76 0.040 
13 14 19 20 356.95 0.040 
14 15 20 21 235.79 0.040 
15 16 21 22 422.92 0.040 
16 17 22 23 396.05 0.040 
17 18 23 24 692.95 0.040 
18 19 24 25 763.31 0.040 
19 20 25 26 932.94 0.040 
20 21 26 27 647.72 0.040 
21 22 27 28 1230.60 0.040 
22 23 28 29 797.79 0.040 
23 24 29 30 630.13 0.040 
24 25 30 31 480.95 0.040 
25 26 31 32 575.32 0.040 
26 27 32 33 476.99 0.040 
27 28 33 34 677.04 0.040 
28 29 34 35 372.91 0.040 
29 30 35 36 157.23 0.040 
30 31 36 37 221.93 0.040 
31 32 37 38 455.79 0.040 
32 33 38 39 374.97 0.040 
33 34 39 40 146.29 0.040 
34 35 40 41 244.04 0.040 
35 36 41 42 124.43 0.040 
36 37 42 43 278.46 0.040 
37 38 43 44 750.80 0.040 
38 39 44 45 448.62 0.040 
39 40 45 46 272.59 0.040 
40 41 46 47 576.35 0.040 
41 42 47 48 359.85 0.040 
3 4 10 11 28.12 0.040 
4 5 11 12 41.17 0.040 
5 6 12 13 94.62 0.040 
6 7 13 14 129.20 0.040 
8 9 15 16 153.87 0.040 
9 10 16 17 85.09 0.040 
10 11 17 18 176.62 0.040 
11 12 18 19 175.15 0.040 
12 13 19 20 370.63 0.040 
13 14 20 21 243.63 0.040 
14 15 21 22 427.94 0.040 
15 16 22 23 437.06 0.040 
16 17 23 24 375.98 0.040 
17 18 24 25 848.51 0.040 
18 19 25 26 1135.00 0.040 
19 20 26 27 986.79 0.040 
20 21 27 28 904.40 0.040 
21 22 28 29 1163.70 0.040 
22 23 29 30 907.32 0.040 
23 24 30 31 574.45 0.040 
24 25 31 32 534.49 0.040 
25 26 32 33 666.15 0.040 
26 27 33 34 668.93 0.040 
27 28 34 35 536.41 0.040 
28 29 35 36 160.81 0.040 
29 30 36 37 287.78 0.040 
30 31 37 38 468.27 0.040 
31 32 38 39 386.53 0.040 
32 33 39 40 134.80 0.040 
33 34 40 41 392.37 0.040 
34 35 41 42 265.89 0.040 
35 36 42 43 122.62 0.040 
36 37 43 44 336.06 0.040 
37 38 44 45 662.80 0.040 
38 39 45 46 585.58 0.040 
39 40 46 47 184.21 0.040 
40 41 47 48 536.93 0.040 
3 4 11 12 20.48 0.040 
5 6 13 14 103.30 0.040 
6 7 14 15 180.26 0.040 
7 8 15 16 437.41 0.040 
8 9 16 17 187.57 0.040 
9 10 17 18 212.67 0.040 
10 11 18 19 192.67 0.040 
11 12 19 20 173.75 0.040 
12 13 20 21 249.86 0.040 
13 14 21 22 427.51 0.040 
14 15 22 23 419.27 0.040 
15 16 23 24 403.50 0.040 
16 17 24 25 446.08 0.040 
17 18 25 26 1244.00 0.040 
18 19 26 27 1174.20 0.040 
19 20 27 28 1372.20 0.040 
20 21 28 29 831.06 0.040 
21 22 29 30 1279.90 0.040 
22 23 30 31 807.54 0.040 
23 24 31 32 621.69 0.040 
24 25 32 33 617.71 0.040 
25 26 33 34 737.84 0.040 
27 28 35 36 240.89 0.040 
28 29 36 37 314.09 0.040 
29 30 37 38 630.18 0.040 
30 31 38 39 409.99 0.040 
31 32 39 40 139.45 0.040 
32 33 40 41 408.36 0.040 
33 34 41 42 443.91 0.040 
34 35 42 43 290.90 0.040 
35 36 43 44 199.50 0.040 
36 37 44 45 296.27 0.040 
37 38 45 46 868.25 0.040 
38 39 46 47 443.96 0.040 
39 40 47 48 165.39 0.040 
3 4 12 13 60.77 0.040 
5 6 14 15 148.34 0.040 
6 7 15 16 267.90 0.040 
7 8 16 17 512.93 0.040 
8 9 17 18 456.73 0.040 
9 10 18 19 245.21 0.040 
10 11 19 20 201.20 0.040 
11 12 20 21 115.48 0.040 
12 13 21 22 429.46 0.040 
13 14 22 23 405.08 0.040 
14 15 23 24 375.00 0.040 
15 16 24 25 470.45 0.040 
16 17 25 26 642.51 0.040 
17 18 26 27 1258.20 0.040 
18 19 27 28 1636.00 0.040 
19 20 28 29 1267.90 0.040 
20 21 29 30 902.59 0.040 
21 22 30 31 1117.00 0.040 
22 23 31 32 867.08 0.040 
23 24 32 33 697.22 0.040 
24 25 33 34 723.53 0.040 
25 26 34 35 747.33 0.040 
26 27 35 36 207.48 0.040 
27 28 36 37 424.11 0.040 
28 29 37 38 630.18 0.040 
29 30 38 39 519.16 0.040 
30 31 39 40 150.52 0.040 
31 32 40 41 412.15 0.040 
32 33 41 42 374.00 0.040 
33 34 42 43 429.17 0.040 
34 35 43 44 411.34 0.040 
35 36 44 45 136.28 0.040 
36 37 45 46 397.37 0.040 
37 38 46 47 604.13 0.040 
38 39 47 48 409.07 0.040 
4 5 14 15 188.18 0.040 
5 6 15 16 235.12 0.040 
6 7 16 17 310.03 0.040 
7 8 17 18 1214.20 0.040 
8 9 18 19 529.82 0.040 
9 10 19 20 279.39 0.040 
10 11 20 21 134.66 0.040 
11 12 21 22 199.31 0.040 
12 13 22 23 398.42 0.040 
13 14 23 24 353.67 0.040 
14 15 24 25 425.97 0.040 
15 16 25 26 659.72 0.040 
16 17 26 27 629.08 0.040 
17 18 27 28 1740.20 0.040 
18 19 28 29 1495.10 0.040 
19 20 29 30 1390.50 0.040 
20 21 30 31 791.06 0.040 
21 22 31 32 1182.40 0.040 
22 23 32 33 947.63 0.040 
23 24 33 34 842.75 0.040 
24 25 34 35 616.64 0.040 
25 26 35 36 274.35 0.040 
26 27 36 37 351.83 0.040 
27 28 37 38 898.52 0.040 
28 29 38 39 547.16 0.040 
29 30 39 40 190.13 0.040 
30 31 40 41 395.68 0.040 
31 32 41 42 364.55 0.040 
32 33 42 43 497.97 0.040 
33 34 43 44 647.06 0.040 
34 35 44 45 323.46 0.040 
35 36 45 46 201.03 0.040 
36 37 46 47 233.92 0.040 
37 38 47 48 616.85 0.040 
1 2 12 13 66.47 0.040 
5 6 16 17 269.45 0.040 
6 7 17 18 748.93 0.040 
7 8 18 19 1332.90 0.040 
8 9 19 20 596.30 0.040 
9 10 20 21 189.68 0.040 
10 11 21 22 223.97 0.040 
11 12 22 23 188.28 0.040 
12 13 23 24 342.05 0.040 
13 14 24 25 390.90 0.040 
14 15 25 26 583.61 0.040 
15 16 26 27 636.20 0.040 
16 17 27 28 862.63 0.040 
17 18 28 29 1571.40 0.040 
18 19 29 30 1632.20 0.040 
19 20 30 31 1221.00 0.040 
20 21 31 32 821.17 0.040 
21 22 32 33 1290.80 0.040 
22 23 33 34 1142.50 0.040 
23 24 34 35 610.08 0.040 
24 25 35 36 233.68 0.040 
25 26 36 37 453.90 0.040 
26 27 37 38 764.87 0.040 
27 28 38 39 713.12 0.040 
28 29 39 40 193.80 0.040 
29 30 40 41 533.58 0.040 
30 31 41 42 435.28 0.040 
31 32 42 43 487.71 0.040 
32 33 43 44 539.40 0.040 
33 34 44 45 482.69 0.040 
34 35 45 46 431.61 0.040 
36 37 47 48 268.20 0.040 
2 3 14 15 99.33 0.040 
5 6 17 18 665.30 0.040 
6 7 18 19 835.70 0.040 
7 8 19 20 1407.10 0.040 
8 9 20 21 395.29 0.040 
9 10 21 22 300.46 0.040 
10 11 22 23 200.06 0.040 
11 12 23 24 157.54 0.040 
12 13 24 25 372.16 0.040 
13 14 25 26 529.92 0.040 
14 15 26 27 552.24 0.040 
15 16 27 28 844.77 0.040 
16 17 28 29 757.61 0.040 
17 18 29 30 1699.30 0.040 
18 19 30 31 1432.60 0.040 
19 20 31 32 1287.30 0.040 
20 21 32 33 913.27 0.040 
21 22 33 34 1525.80 0.040 
22 23 34 35 822.31 0.040 
23 24 35 36 254.68 0.040 
24 25 36 37 402.35 0.040 
25 26 37 38 987.00 0.040 
26 27 38 39 581.70 0.040 
28 29 40 41 505.27 0.040 
29 30 41 42 443.41 0.040 
30 31 42 43 371.53 0.040 
31 32 43 44 516.51 0.040 
32 33 44 45 542.38 0.040 
33 34 45 46 679.62 0.040 
34 35 46 47 289.34 0.040 
3 4 16 17 176.64 0.040 
5 6 18 19 758.25 0.040 
6 7 19 20 909.42 0.040 
7 8 20 21 944.32 0.040 
8 9 21 22 611.75 0.040 
9 10 22 23 248.64 0.040 
10 11 23 24 167.80 0.040 
11 12 24 25 169.80 0.040 
12 13 25 26 497.45 0.040 
13 14 26 27 488.19 0.040 
14 15 27 28 726.07 0.040 
15 16 28 29 733.83 0.040 
16 17 29 30 819.36 0.040 
17 18 30 31 1475.60 0.040 
18 19 31 32 1490.40 0.040 
19 20 32 33 1424.00 0.040 
20 21 33 34 1047.90 0.040 
21 22 34 35 1085.40 0.040 
22 23 35 36 339.79 0.040 
23 24 36 37 439.07 0.040 
24 25 37 38 838.84 0.040 
25 26 38 39 726.94 0.040 
26 27 39 40 191.68 0.040 
27 28 40 41 683.37 0.040 
28 29 41 42 537.66 0.040 
29 30 42 43 616.08 0.040 
30 31 43 44 616.66 0.040 
31 32 44 45 534.55 0.040 
32 33 45 46 675.04 0.040 
33 34 46 47 466.73 0.040 
1 2 15 16 182.85 0.040 
5 6 19 20 849.58 0.040 
6 7 20 21 605.64 0.040 
7 8 21 22 1466.30 0.040 
8 9 22 23 527.28 0.040 
9 10 23 24 212.23 0.040 
10 11 24 25 181.87 0.040 
11 12 25 26 221.42 0.040 
12 13 26 27 454.24 0.040 
13 14 27 28 641.43 0.040 
14 15 28 29 623.03 0.040 
15 16 29 30 780.09 0.040 
16 17 30 31 693.51 0.040 
17 18 31 32 1534.20 0.040 
18 19 32 33 1642.70 0.040 
19 20 33 34 1649.40 0.040 
20 21 34 35 769.78 0.040 
21 22 35 36 452.68 0.040 
22 23 36 37 578.23 0.040 
23 24 37 38 900.64 0.040 
24 25 38 39 623.68 0.040 
25 26 39 40 236.52 0.040 
26 27 40 41 610.06 0.040 
27 28 41 42 718.44 0.040 
28 29 42 43 454.22 0.040 
29 30 43 44 612.48 0.040 
30 31 44 45 432.15 0.040 
31 32 45 46 628.26 0.040 
32 33 46 47 399.06 0.040 
33 34 47 48 503.16 0.040 
3 4 18 19 544.12 0.040 
5 6 20 21 563.51 0.040 
6 7 21 22 926.65 0.040 
7 8 22 23 1213.10 0.040 
8 9 23 24 414.15 0.040 
9 10 24 25 227.16 0.040 
10 11 25 26 236.91 0.040 
11 12 26 27 201.77 0.040 
12 13 27 28 589.55 0.040 
13 14 28 29 536.94 0.040 
14 15 29 30 655.59 0.040 
15 16 30 31 658.74 0.040 
16 17 31 32 730.50 0.040 
17 18 32 33 1676.00 0.040 
