48 	 # Number of sensors 
# x z 
0.00 -6.55 
2.00 -6.34 
4.00 -6.13 
6.00 -5.88 
7.90 -5.63 
9.90 -5.36 
11.90 -5.10 
13.90 -4.80 
15.90 -4.62 
17.90 -4.38 
19.90 -4.22 
21.90 -4.09 
23.80 -3.86 
25.80 -3.65 
27.80 -3.55 
29.80 -3.17 
31.80 -2.91 
33.80 -2.69 
35.80 -2.60 
37.80 -2.45 
39.70 -2.26 
41.70 -2.19 
43.70 -2.03 
45.70 -1.87 
47.70 -1.59 
49.70 -1.46 
51.70 -1.29 
53.70 -1.08 
55.70 -0.94 
57.70 -0.80 
59.70 -0.65 
61.70 -0.52 
63.70 -0.48 
65.70 -0.24 
67.70 -0.11 
69.60 0.00 
71.60 0.07 
73.60 0.15 
75.60 0.26 
77.60 0.34 
79.60 0.43 
81.60 0.58 
83.60 0.70 
85.60 0.81 
87.60 0.96 
89.60 1.03 
91.60 1.09 
93.60 1.15 
337 	 # Number of measurements 
# a b m n rhoa err
14 23 17 20 345.56 0.040 
14 20 16 18 300.68 0.040 
14 17 15 16 164.91 0.040 
15 48 26 37 593.85 0.040 
15 45 25 35 620.17 0.040 
15 42 24 33 558.94 0.040 
15 39 23 31 514.36 0.040 
15 36 22 29 458.12 0.040 
15 33 21 27 434.67 0.040 
15 30 20 25 432.73 0.040 
15 27 19 23 394.97 0.040 
15 24 18 21 390.29 0.040 
15 21 17 19 278.90 0.040 
15 18 16 17 171.81 0.040 
16 46 26 36 588.72 0.040 
16 43 25 34 600.63 0.040 
16 40 24 32 518.29 0.040 
16 37 23 30 471.64 0.040 
16 34 22 28 415.46 0.040 
16 31 21 26 383.14 0.040 
16 28 20 24 393.47 0.040 
16 25 19 22 370.05 0.040 
16 22 18 20 248.70 0.040 
16 19 17 18 184.84 0.040 
17 47 27 37 555.44 0.040 
17 44 26 35 583.34 0.040 
17 41 25 33 520.62 0.040 
17 38 24 31 485.43 0.040 
17 35 23 29 426.37 0.040 
17 32 22 27 393.34 0.040 
17 29 21 25 327.45 0.040 
17 26 20 23 364.93 0.040 
17 23 19 21 313.58 0.040 
17 20 18 19 180.34 0.040 
18 48 28 38 539.81 0.040 
18 45 27 36 553.19 0.040 
18 42 26 34 560.20 0.040 
18 39 25 32 493.26 0.040 
18 36 24 30 444.05 0.040 
18 33 23 28 418.40 0.040 
18 30 22 26 348.64 0.040 
18 27 21 24 289.25 0.040 
18 24 20 22 319.11 0.040 
