48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 -1.90 
10.00 -4.40 
15.00 -6.60 
20.00 -8.80 
25.00 -11.00 
30.00 -13.20 
35.00 -15.30 
40.00 -17.50 
45.00 -16.00 
50.00 -17.30 
55.00 -18.40 
60.00 -19.20 
65.00 -19.20 
70.00 -19.50 
75.00 -20.30 
80.00 -21.40 
85.00 -22.80 
90.00 -24.50 
95.00 -26.10 
100.00 -27.00 
105.00 -27.90 
110.00 -28.60 
115.00 -29.70 
120.00 -30.30 
125.00 -30.40 
130.00 -29.10 
135.00 -29.40 
140.00 -30.50 
145.00 -32.10 
150.00 -34.60 
155.00 -36.00 
160.00 -37.60 
165.00 -39.60 
170.00 -41.50 
175.00 -43.70 
180.00 -45.90 
185.00 -47.80 
190.00 -50.50 
195.00 -52.30 
200.00 -54.00 
205.00 -56.20 
210.00 -57.90 
215.00 -58.30 
220.00 -59.00 
225.00 -59.50 
230.00 -59.90 
235.00 -60.10 
345 	 # Number of measurements 
# a b m n rhoa err
29 41 33 37 2148.60 0.040 
30 42 34 38 2222.70 0.040 
31 43 35 39 1954.50 0.040 
32 44 36 40 2015.80 0.040 
33 45 37 41 2362.70 0.040 
34 46 38 42 2051.90 0.040 
35 47 39 43 1823.80 0.040 
36 48 40 44 1682.00 0.040 
1 16 6 11 13046.00 0.040 
2 17 7 12 14089.00 0.040 
3 18 8 13 13069.00 0.040 
4 19 9 14 11496.00 0.040 
5 20 10 15 10173.00 0.040 
6 21 11 16 10173.00 0.040 
7 22 12 17 9531.00 0.040 
8 23 13 18 9398.20 0.040 
9 24 14 19 10242.00 0.040 
10 25 15 20 9154.90 0.040 
12 27 17 22 10568.00 0.040 
13 28 18 23 8619.50 0.040 
14 29 19 24 6772.50 0.040 
15 30 20 25 4912.30 0.040 
16 31 21 26 4171.20 0.040 
17 32 22 27 3244.20 0.040 
18 33 23 28 2460.70 0.040 
19 34 24 29 2758.90 0.040 
20 35 25 30 4117.50 0.040 
21 36 26 31 3890.50 0.040 
22 37 27 32 4522.40 0.040 
23 38 28 33 5373.10 0.040 
24 39 29 34 4813.90 0.040 
25 40 30 35 3287.20 0.040 
26 41 31 36 3084.50 0.040 
27 42 32 37 2596.30 0.040 
28 43 33 38 1733.80 0.040 
29 44 34 39 1700.70 0.040 
30 45 35 40 2055.80 0.040 
31 46 36 41 1721.10 0.040 
32 47 37 42 1958.00 0.040 
33 48 38 43 2294.70 0.040 
1 19 7 13 10018.00 0.040 
2 20 8 14 9735.80 0.040 
3 21 9 15 9484.50 0.040 
4 22 10 16 9098.40 0.040 
5 23 11 17 8863.30 0.040 
6 24 12 18 9282.40 0.040 
7 25 13 19 9879.10 0.040 
8 26 14 20 10760.00 0.040 
9 27 15 21 9960.30 0.040 
11 29 17 23 10264.00 0.040 
12 30 18 24 8344.10 0.040 
13 31 19 25 6593.60 0.040 
14 32 20 26 5046.60 0.040 
15 33 21 27 3684.60 0.040 
16 34 22 28 3043.10 0.040 
17 35 23 29 2881.10 0.040 
18 36 24 30 3783.30 0.040 
19 37 25 31 3816.80 0.040 
20 38 26 32 4351.50 0.040 
21 39 27 33 5312.60 0.040 
22 40 28 34 5337.20 0.040 
23 41 29 35 4671.30 0.040 
24 42 30 36 3317.80 0.040 
25 43 31 37 3096.90 0.040 
26 44 32 38 2577.10 0.040 
27 45 33 39 1542.90 0.040 
28 46 34 40 1356.00 0.040 
29 47 35 41 1572.50 0.040 
30 48 36 42 1883.90 0.040 
1 22 8 15 7348.30 0.040 
2 23 9 16 7748.50 0.040 
3 24 10 17 8177.60 0.040 
4 25 11 18 8805.30 0.040 
5 26 12 19 9175.30 0.040 
6 27 13 20 9693.50 0.040 
7 28 14 21 11012.00 0.040 
8 29 15 22 11435.00 0.040 
9 30 16 23 9144.30 0.040 
10 31 17 24 9671.40 0.040 
11 32 18 25 7700.30 0.040 
12 33 19 26 5981.60 0.040 
13 34 20 27 4826.70 0.040 
14 35 21 28 3786.10 0.040 
15 36 22 29 3251.50 0.040 
16 37 23 30 3559.80 0.040 
17 38 24 31 3375.40 0.040 
18 39 25 32 4052.30 0.040 
19 40 26 33 4990.90 0.040 
20 41 27 34 5086.90 0.040 
21 42 28 35 5060.70 0.040 
22 43 29 36 4709.60 0.040 
23 44 30 37 3393.10 0.040 
24 45 31 38 3242.10 0.040 
25 46 32 39 2611.40 0.040 
27 48 34 41 1325.90 0.040 
1 25 9 17 6946.70 0.040 
2 26 10 18 7919.80 0.040 
3 27 11 19 8625.10 0.040 
4 28 12 20 8835.10 0.040 
5 29 13 21 9030.50 0.040 
6 30 14 22 9392.00 0.040 
7 31 15 23 10087.00 0.040 
8 32 16 24 9201.10 0.040 
9 33 17 25 8010.30 0.040 
10 34 18 26 6661.00 0.040 
11 35 19 27 5480.00 0.040 
12 36 20 28 4733.10 0.040 
13 37 21 29 4178.00 0.040 
14 38 22 30 3859.10 0.040 
15 39 23 31 3184.60 0.040 
16 40 24 32 3505.80 0.040 
17 41 25 33 4280.40 0.040 
18 42 26 34 4637.60 0.040 
19 43 27 35 4902.70 0.040 
20 44 28 36 4976.30 0.040 
21 45 29 37 4620.70 0.040 
22 46 30 38 3414.70 0.040 
24 48 32 40 2833.40 0.040 
