72 	 # Number of sensors 
# x z 
0	-31.56
5	-31.32
10	-30.74
15	-30.04
20	-29.38
25	-29.04
30	-28.71
35	-28.9
40	-29.09
45	-29.35
50	-29.53
55	-30.03
60	-30.79
65	-31.79
70	-32.86
75	-33.67
80	-34.12
85	-34.37
90	-34
95	-33.31
100	-32.41
105	-31.49
110	-30.53
115	-29.73
120	-28.74
125	-27.95
130	-27.24
135	-26.74
140	-26.62
145	-26.79
150	-27.06
155	-27.18
160	-27.55
165	-27.78
170	-28.1
175	-28.31
180	-28.45
185	-28.7
190	-28.51
195	-28.84
200	-28.58
205	-28.03
210	-27.1
215	-25.08
220	-24.06
225	-23.01
230	-21.95
235	-20.6
240	-16.72
245	-15.3
250	-14
255	-13.64
260	-12.89
265	-12.75
270	-11.71
275	-10.42
280	-9.81
285	-9.75
290	-6.98
295	-5.8
300	-6.05
305	-5.51
310	-5.26
315	-5.3
320	-5.2
325	-4.97
330	-4.46
335	-3.36
340	-2.42
345	-1.36
350	-0.01
355	0
564 	 # Number of measurements 
# a b m n rhoa err
30 39 33 36 1107.70 0.040 
31 40 34 37 1089.50 0.040 
32 41 35 38 1320.40 0.040 
33 42 36 39 1564.60 0.040 
34 43 37 40 1747.40 0.040 
35 44 38 41 1635.50 0.040 
36 45 39 42 1969.20 0.040 
37 46 40 43 4002.10 0.040 
38 47 41 44 9253.90 0.040 
39 48 42 45 10406.00 0.040 
40 49 43 46 18722.00 0.040 
41 50 44 47 16098.00 0.040 
42 51 45 48 15196.00 0.040 
43 52 46 49 15348.00 0.040 
44 53 47 50 24647.00 0.040 
45 54 48 51 31682.00 0.040 
46 55 49 52 28762.00 0.040 
47 56 50 53 27368.00 0.040 
48 57 51 54 32850.00 0.040 
50 59 53 56 58690.00 0.040 
51 60 54 57 58460.00 0.040 
52 61 55 58 42317.00 0.040 
54 63 57 60 96310.00 0.040 
55 64 58 61 114724.00 0.040 
56 65 59 62 107679.00 0.040 
59 68 62 65 57316.00 0.040 
60 69 63 66 40904.00 0.040 
61 70 64 67 69145.00 0.040 
1 13 5 9 1046.00 0.040 
2 14 6 10 1086.70 0.040 
3 15 7 11 1084.70 0.040 
4 16 8 12 1012.60 0.040 
5 17 9 13 913.32 0.040 
6 18 10 14 841.05 0.040 
7 19 11 15 890.56 0.040 
8 20 12 16 1003.20 0.040 
9 21 13 17 1122.20 0.040 
10 22 14 18 1273.60 0.040 
11 23 15 19 1369.70 0.040 
12 24 16 20 1431.40 0.040 
13 25 17 21 1325.90 0.040 
14 26 18 22 1348.60 0.040 
15 27 19 23 1223.80 0.040 
16 28 20 24 1172.20 0.040 
17 29 21 25 1219.10 0.040 
18 30 22 26 1273.90 0.040 
19 31 23 27 1321.10 0.040 
20 32 24 28 1412.80 0.040 
21 33 25 29 1325.00 0.040 
22 34 26 30 1264.00 0.040 
23 35 27 31 1411.50 0.040 
24 36 28 32 1394.20 0.040 
25 37 29 33 1496.30 0.040 
26 38 30 34 1573.90 0.040 
27 39 31 35 1345.20 0.040 
28 40 32 36 1329.30 0.040 
29 41 33 37 1324.20 0.040 
30 42 34 38 1401.40 0.040 
31 43 35 39 1865.10 0.040 
32 44 36 40 1889.70 0.040 
33 45 37 41 2166.20 0.040 
34 46 38 42 2157.10 0.040 
35 47 39 43 4605.60 0.040 
36 48 40 44 10619.00 0.040 
37 49 41 45 11971.00 0.040 
38 50 42 46 21171.00 0.040 
39 51 43 47 21007.00 0.040 
42 54 46 50 26287.00 0.040 
43 55 47 51 30510.00 0.040 
44 56 48 52 32753.00 0.040 
45 57 49 53 33645.00 0.040 
46 58 50 54 50108.00 0.040 
47 59 51 55 62107.00 0.040 
48 60 52 56 63479.00 0.040 
49 61 53 57 73872.00 0.040 
50 62 54 58 65055.00 0.040 
51 63 55 59 103721.00 0.040 
52 64 56 60 117695.00 0.040 
54 66 58 62 182543.00 0.040 
55 67 59 63 147639.00 0.040 
57 69 61 65 100198.00 0.040 
59 71 63 67 76900.00 0.040 
1 16 6 11 1079.70 0.040 
2 17 7 12 1033.60 0.040 
3 18 8 13 1002.70 0.040 
4 19 9 14 928.82 0.040 
5 20 10 15 919.79 0.040 
6 21 11 16 1028.60 0.040 
7 22 12 17 1101.40 0.040 
8 23 13 18 1250.20 0.040 
9 24 14 19 1463.10 0.040 
10 25 15 20 1547.40 0.040 
11 26 16 21 1523.90 0.040 
12 27 17 22 1503.00 0.040 
13 28 18 23 1385.20 0.040 
