48 	 # Number of sensors 
# x z 
0.00 3725.95 
5.00 3725.53 
10.00 3725.41 
15.00 3725.40 
20.00 3725.52 
25.00 3725.78 
30.00 3725.59 
35.00 3725.32 
40.00 3724.88 
45.00 3725.36 
50.00 3725.69 
55.00 3725.95 
60.00 3725.50 
65.00 3725.57 
70.00 3725.19 
75.00 3725.04 
80.00 3725.36 
85.00 3725.73 
90.00 3725.96 
95.00 3726.72 
100.00 3727.00 
105.00 3726.54 
110.00 3726.93 
115.00 3726.79 
120.00 3727.05 
125.00 3726.55 
130.00 3726.82 
135.00 3726.84 
140.00 3726.79 
145.00 3726.87 
150.00 3727.73 
155.00 3727.70 
160.00 3726.76 
165.00 3726.72 
170.00 3726.47 
175.00 3727.00 
180.00 3727.84 
185.00 3726.87 
190.00 3725.89 
195.00 3726.09 
200.00 3726.46 
205.00 3726.63 
210.00 3726.26 
215.00 3726.28 
220.00 3726.41 
225.00 3726.21 
230.00 3725.75 
235.00 3726.03 
288 	 # Number of measurements 
# a b m n rhoa err
11 29 17 23 595.19 0.040 
12 30 18 24 598.76 0.040 
13 31 19 25 500.51 0.040 
14 32 20 26 596.03 0.040 
15 33 21 27 579.91 0.040 
16 34 22 28 560.57 0.040 
17 35 23 29 526.65 0.040 
18 36 24 30 557.09 0.040 
20 38 26 32 587.18 0.040 
21 39 27 33 635.69 0.040 
22 40 28 34 643.27 0.040 
23 41 29 35 692.12 0.040 
24 42 30 36 703.10 0.040 
26 44 32 38 708.07 0.040 
27 45 33 39 658.06 0.040 
28 46 34 40 685.57 0.040 
29 47 35 41 707.23 0.040 
30 48 36 42 731.47 0.040 
2 23 9 16 439.60 0.040 
3 24 10 17 457.95 0.040 
4 25 11 18 482.59 0.040 
5 26 12 19 505.01 0.040 
6 27 13 20 546.27 0.040 
7 28 14 21 573.24 0.040 
9 30 16 23 654.41 0.040 
10 31 17 24 655.35 0.040 
11 32 18 25 669.84 0.040 
12 33 19 26 650.13 0.040 
13 34 20 27 638.16 0.040 
14 35 21 28 627.09 0.040 
15 36 22 29 592.41 0.040 
16 37 23 30 605.29 0.040 
18 39 25 32 646.16 0.040 
19 40 26 33 689.39 0.040 
20 41 27 34 665.56 0.040 
21 42 28 35 684.06 0.040 
22 43 29 36 734.52 0.040 
25 46 32 39 747.06 0.040 
26 47 33 40 722.04 0.040 
27 48 34 41 757.05 0.040 
1 25 9 17 495.08 0.040 
2 26 10 18 519.59 0.040 
3 27 11 19 538.89 0.040 
4 28 12 20 580.86 0.040 
5 29 13 21 625.37 0.040 
6 30 14 22 645.37 0.040 
7 31 15 23 601.57 0.040 
9 33 17 25 719.06 0.040 
10 34 18 26 727.89 0.040 
11 35 19 27 722.51 0.040 
12 36 20 28 679.64 0.040 
13 37 21 29 648.71 0.040 
14 38 22 30 683.56 0.040 
16 40 24 32 684.08 0.040 
17 41 25 33 726.23 0.040 
18 42 26 34 690.31 0.040 
19 43 27 35 690.23 0.040 
20 44 28 36 751.90 0.040 
22 46 30 38 760.94 0.040 
24 48 32 40 782.04 0.040 
1 28 10 19 586.30 0.040 
2 29 11 20 621.90 0.040 
3 30 12 21 627.67 0.040 
4 31 13 22 589.81 0.040 
5 32 14 23 720.11 0.040 
6 33 15 24 740.08 0.040 
7 34 16 25 777.36 0.040 
9 36 18 27 779.79 0.040 
10 37 19 28 740.50 0.040 
11 38 20 29 713.14 0.040 
12 39 21 30 749.05 0.040 
13 40 22 31 774.55 0.040 
14 41 23 32 730.57 0.040 
15 42 24 33 751.23 0.040 
16 43 25 34 708.63 0.040 
17 44 26 35 710.77 0.040 
18 45 27 36 739.98 0.040 
20 47 29 38 791.61 0.040 
21 48 30 39 768.28 0.040 
1 31 11 21 639.05 0.040 
2 32 12 22 674.71 0.040 
3 33 13 23 717.10 0.040 
4 34 14 24 772.68 0.040 
5 35 15 25 813.23 0.040 
6 36 16 26 833.33 0.040 
9 39 19 29 773.29 0.040 
10 40 20 30 791.40 0.040 
11 41 21 31 823.94 0.040 
12 42 22 32 789.59 0.040 
13 43 23 33 781.49 0.040 
14 44 24 34 751.13 0.040 
15 45 25 35 733.17 0.040 
16 46 26 36 744.84 0.040 
18 48 28 38 764.89 0.040 
1 34 12 23 728.11 0.040 
2 35 13 24 788.89 0.040 
3 36 14 25 815.75 0.040 
5 38 16 27 870.04 0.040 
6 39 17 28 850.75 0.040 
7 40 18 29 819.63 0.040 
9 42 20 31 847.53 0.040 
10 43 21 32 818.35 0.040 
11 44 22 33 851.47 0.040 
12 45 23 34 792.83 0.040 
13 46 24 35 764.55 0.040 
14 47 25 36 762.49 0.040 
15 48 26 37 756.05 0.040 
1 37 13 25 815.70 0.040 
2 38 14 26 859.44 0.040 
3 39 15 27 876.69 0.040 
4 40 16 28 876.22 0.040 
5 41 17 29 845.35 0.040 
6 42 18 30 854.94 0.040 
9 45 21 33 871.93 0.040 
10 46 22 34 835.28 0.040 
11 47 23 35 795.35 0.040 
12 48 24 36 786.91 0.040 
1 40 14 27 870.75 0.040 
2 41 15 28 865.20 0.040 
3 42 16 29 845.40 0.040 
4 43 17 30 865.87 0.040 
6 45 19 32 859.80 0.040 
7 46 20 33 874.41 0.040 
9 48 22 35 826.50 0.040 
1 43 15 29 825.77 0.040 
2 44 16 30 872.72 0.040 
4 46 18 32 871.41 0.040 
5 47 19 33 879.19 0.040 
6 48 20 34 839.38 0.040 
2 47 17 32 857.20 0.040 
3 48 18 33 863.60 0.040 
